Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1327;1328;2175;38;68;51;417;920;314;169;139;46;13;157;1820;198;32400;9
Binnenstad-Noord;559;562;830;14;8;3;160;381;120;55;68;19;2;25;716;89;29500;11
Noordereiland;353;373;582;12;22;18;49;140;118;93;96;26;8;52;400;130;34400;8
Het Noorden;1029;1034;1498;45;45;23;460;453;195;98;78;79;22;113;1206;179;21900;21
Schildersbuurt;175;175;362;14;32;16;39;76;83;42;36;22;2;62;240;60;26700;12
Bollebieste;940;940;1734;60;149;84;173;477;320;166;133;113;59;293;1136;305;21600;19
Dieze-Centrum;549;550;958;22;44;35;199;292;159;97;67;34;9;101;747;110;24300;12
Bagijneweide;421;434;806;21;29;26;151;179;134;81;83;68;34;76;545;185;31500;5
Hogenkamp;1912;1921;3121;155;206;120;328;1169;491;213;156;153;130;481;2201;439;22600;16
Indischebuurt;578;578;1050;51;85;49;139;335;183;93;71;31;13;185;750;115;19600;25
Meppelerstraatweg-Zuid;264;264;368;14;17;8;33;188;68;25;11;3;1;39;314;15;19900;16
Bedrijventerrein Floresstraat;185;186;440;49;70;13;11;150;90;27;17;13;0;132;278;30;32600;3
Wipstrik-Noord;1296;1299;3091;190;350;223;223;638;646;363;282;123;53;763;1870;458;36300;2
Wipstrik-Zuid;1857;1861;3405;145;225;170;277;873;640;390;362;220;103;540;2180;685;26500;13
Stationsbuurt;563;569;1391;75;105;75;292;341;233;107;86;45;32;255;973;163;32500;11
Oud-Assendorp;2095;2097;4166;205;253;145;922;1333;709;286;154;83;76;603;3250;313;27300;7
Nieuw-Assendorp;1408;1408;3172;202;336;182;439;787;632;279;198;89;28;720;2137;315;27000;9
Wezenlanden;340;381;631;16;47;29;31;105;128;103;107;42;23;92;367;172;24600;16
Pierik;1135;1146;2185;106;195;123;135;619;472;258;198;64;15;424;1484;277;24000;14
Bedrijventerrein Marslanden-Noord;0;13;32;0;2;7;4;2;12;5;0;0;0;9;23;0;-;-
Hanzeland;522;522;999;26;50;62;133;214;207;116;116;56;19;138;670;191;32300;4
Kamperpoort;750;750;1380;39;56;50;239;366;175;118;114;96;127;145;898;337;22000;20
Veerallee;598;598;1610;85;176;144;234;291;337;148;110;62;23;405;1010;195;38500;5
Bedrijventerrein Voorst-A;43;43;61;1;1;0;13;33;10;3;0;0;0;2;59;0;-;-
Bedrijventerrein Voorst-B;0;0;8;0;0;0;3;4;1;0;0;0;0;0;8;0;-;-
Spoolde;115;115;296;6;27;29;18;19;77;52;52;14;2;62;166;68;34400;4
Oud-Westenholte;975;981;2451;126;285;204;180;456;468;303;218;158;53;615;1407;429;28600;6
Westenholte-Stins;1101;1106;2728;119;291;233;206;444;591;462;297;75;10;643;1703;382;27900;6
Vreugderijk;65;65;183;3;18;18;19;11;38;40;24;12;0;39;108;36;-;-
Bedrijventerrein Voorst-C;1;2;6;0;0;0;3;1;0;1;1;0;0;0;5;1;-;-
Bedrijventerrein Voorst-D;1;1;5;0;0;0;2;0;2;0;0;1;0;0;4;1;-;-
Frankhuis;2163;2210;6393;409;1116;713;328;1430;1782;344;165;84;22;2238;3884;271;31300;5
Mastenbroek;19;19;63;1;7;7;7;9;15;10;6;1;0;15;41;7;-;-
Schoonhorst;1864;1864;4397;232;550;372;309;944;1120;411;276;150;33;1154;2784;459;30100;6
Werkeren;1407;1430;4542;445;943;348;147;1261;926;140;117;111;104;1736;2474;332;32900;4
Milligen;2811;2814;7189;387;956;732;408;1375;1877;619;561;213;61;2075;4279;835;30700;4
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;453;453;1273;153;209;92;68;523;188;32;8;0;0;454;811;8;30100;7
Breezicht;4;4;10;0;0;2;0;0;6;1;0;1;0;2;7;1;-;-
Stadsbroek;20;20;61;0;4;9;10;3;13;11;10;1;0;13;37;11;-;-
Holtenbroek IV;1624;1624;3108;109;217;157;303;583;532;346;364;323;174;483;1764;861;21100;22
Holtenbroek I;890;891;1888;141;210;119;143;631;335;144;112;40;13;470;1253;165;27800;8
Holtenbroek II;1318;1322;2647;157;292;166;311;848;504;163;132;66;8;615;1826;206;21900;19
Holtenbroek III;1078;1083;2354;102;260;164;226;592;502;252;148;93;15;526;1572;256;22100;17
Aa-landen-Zuid;1048;1048;2210;98;170;158;171;350;499;242;263;209;50;426;1262;522;24000;12
Aa-landen-Midden;1987;1987;3721;123;289;190;203;695;651;444;444;432;250;602;1993;1126;24900;13
Aa-landen-Noord;1593;1597;3838;162;388;272;256;506;743;528;644;277;62;822;2033;983;29500;5
Aa-landen-Oost;1432;1437;3289;162;310;213;188;520;603;512;571;184;26;685;1823;781;28800;6
Brinkhoek;265;265;611;14;37;48;34;49;120;92;135;66;16;99;295;217;65000;2
Langenholte;43;43;110;4;4;16;8;9;28;23;13;4;1;24;68;18;-;-
Haerst;107;108;268;6;10;30;24;32;56;57;35;11;7;46;169;53;36500;5
Berkum;1656;1673;3736;163;311;265;217;458;703;492;485;436;206;739;1870;1127;33100;5
Bedrijventerrein de Vrolijkheid;9;11;5;0;0;1;0;0;3;1;0;0;0;1;4;0;-;-
Veldhoek;99;99;244;5;12;32;21;27;43;42;32;24;6;49;133;62;-;-
Kantorenterrein Oosterenk;5;5;20;0;0;6;3;3;1;1;4;2;0;6;8;6;-;-
Bedrijventerrein Hessenpoort;29;29;73;3;6;8;5;9;16;14;3;8;1;17;44;12;-;-
Tolhuislanden;54;54;180;9;18;17;29;29;35;21;15;7;0;44;114;22;-;-
Herfte;139;139;388;14;31;53;33;34;75;75;42;25;6;98;217;73;39500;0
Bedrijventerrein Marslanden-Zuid;9;9;152;0;7;6;10;60;54;13;0;2;0;13;137;2;-;-
Wijthmen;248;249;622;32;55;38;55;89;118;106;68;50;11;125;368;129;30500;2
Oud-Schelle;484;484;1377;80;191;125;97;202;335;156;118;52;21;396;790;191;36900;1
Schellerhoek;368;371;1007;35;93;95;103;129;281;193;68;8;2;223;706;78;36900;1
Schellerbroek;694;694;1482;42;92;94;153;260;301;281;155;79;25;228;995;259;32800;6
Schellerlanden;1192;1200;2753;98;211;193;205;337;553;600;368;154;34;502;1695;556;31600;6
Oldenelerlanden-Oost;1005;1005;2436;129;235;193;180;446;564;433;181;55;20;557;1623;256;29200;5
Oldenelerlanden-West;556;556;1458;57;146;127;124;204;351;321;98;26;4;330;1000;128;37400;5
Oldenelerbroek;1441;1446;3369;99;316;315;255;515;892;520;284;144;29;730;2182;457;30600;7
Schelle-Zuid en Oldeneel;69;69;179;1;18;19;16;7;33;34;31;17;3;38;90;51;-;-
Katerveer-Engelse werk;199;204;591;18;70;67;31;53;156;75;61;29;31;155;315;121;50400;3
Oud-Ittersum;521;521;1308;70;118;113;96;204;281;162;134;100;30;301;743;264;30100;3
Ittersumerlanden;1868;1868;3865;180;357;222;261;828;762;543;322;223;167;759;2394;712;25000;11
Ittersumerbroek;981;1006;2430;91;196;244;216;318;624;417;196;103;25;531;1575;324;30600;6
Geren;450;453;810;22;46;47;117;228;183;102;40;23;2;115;630;65;22800;15
Gerenlanden;1205;1205;3183;158;341;292;266;521;731;497;288;70;19;791;2015;377;30500;4
Gerenbroek;1192;1192;3167;148;381;304;200;537;728;573;247;44;5;833;2038;296;30700;4
Oude Mars;18;18;92;2;17;8;5;4;34;19;3;0;0;27;62;3;-;-
Windesheim;153;153;398;26;47;22;31;74;83;54;43;14;4;95;242;61;30600;3
Harculo en Hoog-Zuthem;139;139;500;7;41;38;22;37;98;100;75;45;37;86;257;157;-;4
Onbekend;-;-;4;0;0;0;0;0;3;0;1;0;0;0;3;1;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
