Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8021DC,Zwolle,Dak Gevel Ramen Vloer,04/05/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
8021AV,Zwolle,Dak Gevel Ramen Vloer Zolder,04/05/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Bagijneweide,Diezerpoort
8012XB,Zwolle,Dak Gevel Ramen Zolder,18/05/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8013AE,Zwolle,Dak Gevel Ramen Vloer Zolder,19/05/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Pierik,Assendorp
8012TA,Zwolle,Dak Gevel Ramen Vloer Zolder,18/06/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012DA,Zwolle,Dak Gevel Vloer Zolder,08/07/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8014GG,Zwolle,Dak Gevel Vloer Zolder,09/07/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Gerenlanden,Ittersum
8033CJ,Zwolle,Dak Gevel Ramen Vloer Zolder,10/07/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8032LB,Zwolle,Dak Gevel Ramen Vloer Zolder,11/07/2024,1300,Bodemisolatie (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Noord,Aa-landen
8031KR,Zwolle,Dak Vloer Zolder,16/07/2024,1300,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Holtenbroek III,Holtenbroek
8021DP,Zwolle,Dak Gevel Ramen Vloer Zolder,02/09/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
