Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8012DX,Zwolle,Dak Gevel Ramen Vloer Zolder,15/05/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8033DH,Zwolle,Dak Gevel Ramen Zolder,20/05/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8012VK,Zwolle,Dak Gevel Ramen Vloer Zolder,03/06/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8023TV,Zwolle,Gevel Ramen Vloer,03/06/2024,1000,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8014LG,Zwolle,Dak Gevel Vloer Zolder,05/06/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Gerenbroek,Ittersum
8014PN,Zwolle,Dak Gevel Ramen Zolder,08/06/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Ittersumerlanden,Ittersum
8014CE,Zwolle,Dak Gevel Ramen Vloer Zolder,14/06/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Ja,Gerenlanden,Ittersum
8042HX,Zwolle,Dak,26/06/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Westenholte-Stins,Westenholte
8012VP,Zwolle,Dak Gevel Ramen Zolder,27/06/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8033BM,Zwolle,Dak Gevel Zolder,28/06/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8016AW,Zwolle,Dak Gevel Ramen Vloer,06/07/2024,1000,Bodemisolatie (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Oldenelerlanden-Oost,Schelle
8021VX,Zwolle,Dak Vloer,07/07/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Bollebieste,Diezerpoort
8042HS,Zwolle,Dak Gevel Ramen Vloer Zolder,08/07/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Westenholte-Stins,Westenholte
8013TE,Zwolle,Dak Gevel Ramen Zolder,08/07/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Pierik,Assendorp
8026PL,Zwolle,Dak Gevel Zolder,10/07/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Wijthmen,Marsweteringlanden
8013TE,Zwolle,Dak Gevel Ramen Vloer,11/07/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Pierik,Assendorp
8023TT,Zwolle,Gevel Vloer,14/07/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8032AA,Zwolle,Gevel Ramen Vloer,14/07/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8012WC,Zwolle,Gevel Ramen Vloer Zolder,18/07/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8022PA,Zwolle,Dak Gevel Ramen Zolder,18/07/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
8021DL,Zwolle,Gevel Ramen Vloer,24/07/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
8012TT,Zwolle,Dak Gevel Vloer Zolder,25/07/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8032EB,Zwolle,Dak Gevel Ramen Vloer Zolder,25/07/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie buitenzijde (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Midden,Aa-landen
8012VX,Zwolle,Dak Gevel Ramen Vloer Zolder,25/07/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8022EB,Zwolle,Dak Gevel Ramen Vloer Zolder,12/08/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Hogenkamp,Diezerpoort
8012AC,Zwolle,Dak Gevel Ramen Vloer Zolder,25/08/2024,1000,Bodemisolatie (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8042MH,Zwolle,Dak Zolder,02/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Westenholte-Stins,Westenholte
8014TV,Zwolle,Dak Ramen Zolder,02/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Ittersumerlanden,Ittersum
8012VC,Zwolle,Dak Gevel Ramen Vloer Zolder,04/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8013TA,Zwolle,Dak Gevel Ramen Vloer Zolder,06/09/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Pierik,Assendorp
8014JL,Zwolle,Dak Gevel Vloer Zolder,11/09/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Ja,Nee,Gerenbroek,Ittersum
8012XE,Zwolle,Dak Gevel Ramen Vloer Zolder,17/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8014LG,Zwolle,Dak Gevel Ramen Zolder,17/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Gerenbroek,Ittersum
8014WL,Zwolle,Dak Gevel Zolder,18/09/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Ittersumerlanden,Ittersum
8012XG,Zwolle,Dak Gevel Zolder,23/09/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8017NC,Zwolle,Gevel,23/09/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Schellerlanden,Schelle
8012XG,Zwolle,Gevel Ramen Zolder,23/09/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8032ZK,Zwolle,Gevel Ramen Vloer,24/09/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Noord,Aa-landen
8013TL,Zwolle,Dak Gevel Ramen Vloer Zolder,27/09/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8012DT,Zwolle,Dak Gevel Ramen Vloer Zolder,30/09/2024,1000,Vloerisolatie (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8013XN,Zwolle,Dak Gevel Ramen Vloer Zolder,04/10/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8012CS,Zwolle,Gevel Vloer Zolder,24/10/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8021CB,Zwolle,Dak Gevel Ramen Vloer Zolder,25/10/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Nee,Dieze-Centrum,Diezerpoort
8022BB,Zwolle,Dak Ramen Vloer Zolder,27/10/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Hogenkamp,Diezerpoort
8014ZD,Zwolle,Dak Gevel Ramen Vloer Zolder,27/10/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Nee,Oud-Ittersum,Ittersum
8013TP,Zwolle,Gevel Ramen Vloer Zolder,03/11/2024,1000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8015PM,Zwolle,Dak Gevel Ramen Vloer Zolder,05/11/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Dakisolatie buitenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Gevelisolatie buitenzijde (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Ja,Nee,Windesheim,Soestweteringlanden
8023TT,Zwolle,Dak Zolder,07/11/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8032CB,Zwolle,Dak Gevel Ramen,08/11/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8012TE,Zwolle,Gevel Ramen Vloer Zolder,08/11/2024,1000,Vloerisolatie (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8012TM,Zwolle,Dak Gevel Ramen Vloer Zolder,09/11/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8031KL,Zwolle,Dak Gevel Ramen Vloer Zolder,10/11/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Holtenbroek III,Holtenbroek
8019XE,Zwolle,Dak Gevel Ramen Vloer Zolder,11/11/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Ja,Veerallee,Kamperpoort-Veerallee
8012AN,Zwolle,Dak Gevel Ramen Zolder,15/11/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Ramen Vloer Zolder,19/11/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8013TP,Zwolle,Dak Gevel Ramen Vloer Zolder,19/11/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8043PN,Zwolle,Ramen Zolder,21/11/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Frankhuis,Stadshagen
8031JE,Zwolle,Gevel Ramen Vloer Zolder,22/11/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8031ZE,Zwolle,Gevel Ramen Vloer,23/11/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Holtenbroek IV,Holtenbroek
8012XD,Zwolle,Dak Gevel Ramen Vloer Zolder,01/12/2024,1000,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Ja,Nee,Nieuw-Assendorp,Assendorp
8012WL,Zwolle,Dak Gevel Ramen Vloer Zolder,12/12/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012AV,Zwolle,Dak Gevel Ramen Vloer Zolder,22/01/2025,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8015AH,Zwolle,Ramen Vloer Zolder,04/02/2025,1000,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Ittersumerbroek,Ittersum
8012WE,Zwolle,Dak Gevel Ramen Vloer Zolder,04/02/2025,1000,Zolder- of vlieringvloerisolatie (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8033CE,Zwolle,Dak Ramen Vloer Zolder,08/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8015BJ,Zwolle,Ramen,08/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Ittersumerbroek,Ittersum
8033AX,Zwolle,Dak Gevel Ramen Vloer Zolder,09/02/2025,1000,Gevelisolatie buitenzijde (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8012VG,Zwolle,Dak Gevel Ramen Vloer Zolder,12/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8023AE,Zwolle,Gevel Zolder,13/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Wipstrik-Noord,Wipstrik
8012BD,Zwolle,Dak Gevel Ramen Vloer Zolder,16/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8014JC,Zwolle,Gevel Vloer,21/02/2025,1000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Ja,Gerenbroek,Ittersum
8032XM,Zwolle,Dak Gevel Ramen Vloer Zolder,21/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Noord,Aa-landen
8015PN,Zwolle,Dak Gevel Ramen Vloer Zolder,25/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Windesheim,Soestweteringlanden
8022PD,Zwolle,Gevel Ramen Vloer,25/02/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Indischebuurt,Diezerpoort
8014KD,Zwolle,Dak Gevel Ramen Zolder,28/02/2025,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Gerenbroek,Ittersum
8014GD,Zwolle,Dak Ramen Vloer Zolder,08/03/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Gerenlanden,Ittersum
8031KL,Zwolle,Dak Gevel Ramen Vloer Zolder,10/03/2025,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek III,Holtenbroek
8032BN,Zwolle,Dak Gevel Ramen Vloer Zolder,12/03/2025,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8023TM,Zwolle,Dak Vloer Zolder,23/03/2024,997.5,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Wipstrik-Zuid,Wipstrik
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,15/05/2024,995,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8012WK,Zwolle,Dak Gevel Vloer Zolder,07/02/2025,950,Bodemisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8013TH,Zwolle,Dak Gevel Ramen Vloer Zolder,26/03/2024,883,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Pierik,Assendorp
8021BX,Zwolle,Dak Gevel Ramen Vloer Zolder,24/08/2024,810.97,Dakisolatie binnenzijde (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Ja,Nee,Dieze-Centrum,Diezerpoort
8014BB,Zwolle,Vloer Zolder,09/03/2024,700,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Ja,Oud-Ittersum,Ittersum
8021DE,Zwolle,Dak Ramen Zolder,20/02/2024,616.7,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Het Noorden,Diezerpoort
8021DX,Zwolle,Dak Ramen Zolder,23/04/2024,569.05,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Het Noorden,Diezerpoort
8012BA,Zwolle,Dak Ramen Vloer Zolder,03/06/2024,496.73,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),Ja,Nee,Oud-Assendorp,Assendorp
8012VW,Zwolle,Dak Gevel Zolder,01/04/2024,471.33,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),Ja,Nee,Oud-Assendorp,Assendorp
8023TP,Zwolle,Dak Gevel Ramen Zolder,29/02/2024,455,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8014GD,Zwolle,Dak Gevel Ramen Vloer Zolder,06/04/2024,0,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Gerenlanden,Ittersum
