Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Herfte,6,0.2,0.6,0.2,0.1,0.3,0.3,1.35,0.37,119,22,,,,,,165,405,?,?
Bedrijventerrein Marslanden-Zuid,0,0,0,0,0,0,0,1.35,0.37,?,?,,,,,,15,175,?,?
Wijthmen,10,0.3,0.8,0.3,0.2,0.5,0.5,1.35,0.37,218,20,,,,,,255,605,?,?
Oud-Schelle,17,0.5,1.4,0.5,0.3,0.9,0.9,1.35,0.37,442,44,,,,,,515,1430,?,?
Schellerhoek,11,0.3,0.9,0.3,0.2,0.6,0.5,1.35,0.37,319,26,,,,,,360,985,?,?
Schellerbroek,20,0.6,1.5,0.6,0.3,1.1,1,1.35,0.37,657,42,,,,,,700,1445,?,?
Schellerlanden,32,0.9,2.6,1,0.6,1.8,1.6,1.35,0.37,1122,72,,,,,,1200,2570,33700,72200
Oldenelerlanden-Oost,25,0.7,2.2,0.8,0.5,1.4,1.3,1.35,0.37,965,40,,,,,,1010,2340,?,?
Oldenelerlanden-West,16,0.5,1.4,0.5,0.3,0.9,0.8,1.35,0.37,523,45,,,,,,575,1420,?,?
Oldenelerbroek,36,1,3.2,1.1,0.7,2,1.8,1.35,0.37,1352,73,,,,,,1415,3155,35100,78300
Schelle-Zuid en Oldeneel,3,0.1,0.3,0.1,0.1,0.2,0.2,1.35,0.37,?,?,,,,,,65,170,?,?
Katerveer-Engelse werk,10,0.3,0.8,0.3,0.2,0.5,0.5,1.35,0.37,178,22,,,,,,210,650,?,?
Oud-Ittersum,17,0.5,1.4,0.5,0.3,1,0.9,1.35,0.37,538,46,,,,,,590,1480,?,?
Ittersumerlanden,39,1.1,3.6,1.2,0.8,2.2,2,1.35,0.37,1749,38,,,,,,1835,3810,27700,57500
Ittersumerbroek,25,0.7,2.2,0.8,0.5,1.4,1.3,1.35,0.37,934,49,,,,,,1020,2265,?,?
Geren,8,0.2,0.8,0.3,0.2,0.5,0.4,1.35,0.37,446,5,,,,,,490,805,?,?
Gerenlanden,36,1,2.9,1.1,0.6,2,1.8,1.35,0.37,1173,49,,,,,,1255,3025,32200,77600
Gerenbroek,31,0.9,2.8,1,0.6,1.8,1.6,1.35,0.37,1156,48,,,,,,1195,3040,30400,77300
Oude Mars,2,0,0.3,0.1,0.1,0.1,0.1,1.35,0.37,?,?,,,,,,50,200,?,?
Windesheim,5,0.1,0.4,0.2,0.1,0.3,0.3,1.35,0.37,144,12,,,,,,155,410,?,?
Harculo en Hoog-Zuthem,6,0.2,0.5,0.2,0.1,0.3,0.3,1.35,0.37,127,10,,,,,,140,490,?,?
