OBJECTID;Programma;Projectnummer;Indienronde;Realisatiejaar;Kwartaal;Aanvrager;Status;Vermogen;Maximale_subsidie;Looptijd;Rechtsvorm;Provincie;Latitude;Longitude;Categorie;Thema;label;RES_regio;Gemeente;Plaats;x;y
12660;SDE;SDE1460371;2014;2018;Q2;Esco Molenhoek B.V.;Gerealiseerd;0.2;200;15;BV;Overijssel;52.481.464;61.364.218;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.642.112.664.788;524.814.636.115.804
13253;SDE;SDE1483593;2014;2017;Q1;Warehouses De Pauw Nederland N.V.;Gerealiseerd;1;1000;15;NV;Overijssel;52.540.578;61.715.785;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.157.820.920.058;525.405.777.794.051
13285;SDE;SDE1485177;2014;2017;Q2;Pvefh SPV 3 B.V.;Gerealiseerd;0.16952;169.52;15;BV;Overijssel;52.491.784;61.244.631;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;6.124.462.419.783;524.917.835.907.126
13301;SDE;SDE1485893;2014;2018;Q1;Zon op Zorg B.V.;Gerealiseerd;0.072;72;15;BV;Overijssel;52.505.857;61.073.148;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.731.408.549.709;525.058.565.781.063
13371;SDE;SDE1488193;2014;2015;Q1;IKEA B.V.;Gerealiseerd;0.85436;854.36;15;BV;Overijssel;52.532.596;61.624.347;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.243.434.275.778;52.532.595.751.085
13410;SDE;SDE1500029;2015;2016;Q4;BeGreen Overijssel B.V.;Gerealiseerd;0.9;3600;12;BV;Overijssel;52.525.852;61.232.457;Biomassa;Ketel vaste biomassa < 5 MW (HW);Biomassa 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.324.512.499.745;525.258.516.706.663
13789;SDE;SDE1609205;2016;2018;Q1;Stichting Catent;Gerealiseerd;0.017;16.15;15;STICH;Overijssel;52.555.559;60.399.575;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;603.995.649.108.198;525.555.588.236.471
13890;SDE;SDE1613909;2016;2019;Q2;ProRail B.V.;Gerealiseerd;0.288;273.6;15;BV;Overijssel;52.506.791;60.912.692;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.126.841.065.031;525.067.905.548.801
13966;SDE;SDE1617655;2016;2017;Q1;Stichting Clubhuis S.V.I.;Gerealiseerd;0.05327;50.6;15;STICH;Overijssel;52.473.662;61.135.382;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.353.741.017.781;524.736.615.651.831
14105;SDE;SDE1624039;2016;2018;Q3;Christelijke Hogeschool Windesheim;Gerealiseerd;0.4;380;15;STICH;Overijssel;52.501.026;60.803.517;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.035.084.969.936;525.010.255.241.333
