Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1253;1254;2046;47;72;41;427;813;316;160;115;48;7;160;1716;170;29200;12
Binnenstad-Noord;548;551;801;13;9;8;154;358;114;62;65;16;2;30;688;83;26500;10
Noordereiland;316;337;556;21;21;20;49;145;93;93;77;23;14;62;380;114;31800;10
Het Noorden;902;906;1363;53;47;24;378;430;172;80;83;77;19;124;1060;179;22300;16
Schildersbuurt;174;174;391;21;30;20;46;100;80;38;37;18;1;71;264;56;24500;18
Bollebieste;856;856;1684;77;139;89;147;439;312;161;154;108;58;305;1059;320;19800;22
Dieze-Centrum;558;560;1013;39;49;40;201;307;164;102;63;40;8;128;774;111;22900;13
Bagijneweide;398;409;744;23;25;28;125;168;136;82;76;50;31;76;511;157;28800;11
Hogenkamp;1896;1905;3065;156;189;83;351;1180;476;188;165;142;135;428;2195;442;21100;18
Indischebuurt;579;579;1079;65;81;46;182;318;186;86;75;26;14;192;772;115;18900;24
Meppelerstraatweg-Zuid;264;264;376;23;14;6;47;170;73;25;10;5;3;43;315;18;18600;20
Bedrijventerrein Floresstraat;185;186;417;59;40;12;15;162;77;23;16;13;0;111;277;29;29400;5
Wipstrik-Noord;1292;1295;3061;175;355;229;202;624;658;378;246;141;53;759;1862;440;35000;3
Wipstrik-Zuid;1848;1852;3404;173;239;162;284;828;667;382;343;220;106;574;2161;669;24300;12
Stationsbuurt;563;569;1423;70;115;68;326;349;220;116;87;41;31;253;1011;159;32700;10
Oud-Assendorp;1973;1975;4190;226;256;133;938;1378;691;235;152;91;90;615;3242;333;25800;9
Nieuw-Assendorp;1405;1405;3171;229;332;169;427;818;621;274;179;95;27;730;2140;301;25400;9
Wezenlanden;340;378;617;18;39;27;32;105;111;100;113;48;24;84;348;185;23300;17
Pierik;1100;1110;2161;114;208;114;150;601;460;248;189;61;16;436;1459;266;23000;14
Bedrijventerrein Marslanden-Noord;0;14;36;1;2;9;2;3;14;5;0;0;0;12;24;0;-;.
Hanzeland;522;522;1021;37;51;49;124;226;230;131;108;46;19;137;711;173;32100;4
Kamperpoort;735;735;1338;40;48;34;266;353;158;94;101;113;131;122;871;345;20300;20
Veerallee;539;539;1450;69;160;116;225;226;311;156;97;64;26;345;918;187;34100;5
Bedrijventerrein Voorst-A;44;44;60;1;0;0;12;35;10;2;0;0;0;1;59;0;-;.
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Spoolde;116;116;309;6;36;25;21;25;79;58;47;11;1;67;183;59;32700;0
Oud-Westenholte;929;935;2327;129;270;197;153;436;462;273;199;161;47;596;1324;407;25900;7
Westenholte-Stins;1101;1106;2784;122;295;250;204;468;639;477;253;66;10;667;1788;329;26900;5
Vreugderijk;65;65;191;3;13;19;22;18;40;37;28;10;1;35;117;39;-;.
Bedrijventerrein Voorst-C;1;2;6;0;0;0;4;0;0;1;1;0;0;0;5;1;-;-
Bedrijventerrein Voorst-D;1;1;6;0;0;1;1;0;2;0;0;2;0;1;3;2;-;-
Frankhuis;1985;2033;5999;424;1214;572;254;1392;1596;311;134;81;21;2210;3553;236;29000;6
Mastenbroek;20;20;59;1;6;6;7;10;15;12;1;1;0;13;44;2;-;.
Schoonhorst;1860;1860;4487;266;573;374;300;1032;1123;370;277;141;31;1213;2825;449;28100;7
Werkeren;1337;1349;4240;524;789;276;133;1296;771;133;101;129;88;1589;2333;318;29900;4
Milligen;2740;2743;7081;407;1073;595;368;1484;1864;562;483;196;49;2075;4278;728;29400;4
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;338;338;880;113;132;62;62;387;97;20;6;1;0;307;566;7;26100;9
Breezicht;4;4;11;0;0;2;1;0;6;1;0;1;0;2;8;1;-;-
Stadsbroek;19;19;54;0;3;9;9;0;16;9;7;1;0;12;34;8;-;.
Holtenbroek IV;1624;1624;3117;120;218;142;284;623;517;329;362;319;203;480;1753;884;20300;20
Holtenbroek I;855;856;1825;142;211;97;152;636;320;130;105;21;11;450;1238;137;26000;9
Holtenbroek II;1244;1248;2576;182;299;148;307;825;469;151;126;62;7;629;1752;195;20900;18
Holtenbroek III;1077;1082;2420;145;250;137;260;654;490;248;138;87;11;532;1652;236;20800;17
