Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Aa-landen-Zuid;1045;1045;2253;103;176;168;194;349;472;240;290;214;47;447;1255;551;22900;12
Aa-landen-Midden;1987;1987;3694;139;274;167;200;677;681;440;460;423;233;580;1998;1116;23900;12
Aa-landen-Noord;1592;1596;3784;176;349;260;240;499;749;591;631;249;40;785;2079;920;28300;5
Aa-landen-Oost;1425;1430;3275;142;273;219;196;530;640;558;527;170;20;634;1924;717;27600;6
Brinkhoek;263;263;605;10;33;53;28;46;121;104;129;65;16;96;299;210;50300;4
Langenholte;41;41;110;1;6;19;9;6;33;20;13;3;0;26;68;16;-;.
Haerst;104;106;296;7;18;33;31;33;71;49;36;14;4;58;184;54;35200;9
Berkum;1657;1674;3709;128;310;280;195;401;751;505;506;420;213;718;1852;1139;31100;5
Bedrijventerrein de Vrolijkheid;9;12;9;0;0;1;1;1;5;1;0;0;0;1;8;0;-;-
Veldhoek;97;97;238;9;15;26;18;26;40;39;32;29;4;50;123;65;-;.
Kantorenterrein Oosterenk;10;10;13;0;0;0;3;3;1;2;2;2;0;0;9;4;-;.
Bedrijventerrein Hessenpoort;29;29;73;2;6;12;4;7;15;12;6;9;0;20;38;15;-;.
Tolhuislanden;52;52;184;11;15;24;31;27;36;18;18;4;0;50;112;22;-;.
Herfte;134;134;383;11;34;53;29;35;77;75;37;22;10;98;216;69;34400;0
Bedrijventerrein Marslanden-Zuid;7;7;138;1;10;4;19;43;48;10;1;2;0;15;120;3;-;.
Wijthmen;243;244;621;36;46;45;50;99;123;89;72;50;11;127;361;133;28500;4
Oud-Schelle;436;436;1188;53;139;114;87;149;312;141;119;48;26;306;689;193;32300;2
Schellerhoek;366;369;1036;37;114;106;101;121;327;164;57;8;1;257;713;66;34500;0
Schellerbroek;691;691;1511;47;82;106;168;253;329;277;150;77;22;235;1027;249;31400;5
Schellerlanden;1187;1195;2821;114;197;229;232;321;658;568;326;141;35;540;1779;502;29600;6
Oldenelerlanden-Oost;1005;1005;2496;140;244;202;199;446;639;411;141;55;19;586;1695;215;28100;5
Oldenelerlanden-West;556;556;1482;65;135;151;147;182;409;295;74;20;4;351;1033;98;32900;7
Oldenelerbroek;1438;1443;3420;111;346;351;240;536;940;489;253;128;26;808;2205;407;29000;7
Schelle-Zuid en Oldeneel;68;68;193;7;25;17;14;15;39;31;29;13;3;49;99;45;-;.
Katerveer-Engelse werk;196;201;589;17;76;71;22;60;156;65;59;24;39;164;303;122;44000;0
Oud-Ittersum;519;519;1292;52;115;119;89;205;300;151;132;106;23;286;745;261;28300;2
Ittersumerlanden;1868;1868;3916;220;355;238;232;851;802;523;296;260;139;813;2408;695;23600;11
Ittersumerbroek;980;1005;2471;86;220;273;204;318;703;354;184;102;27;579;1579;313;29300;6
Geren;450;453;830;26;45;57;140;215;193;90;44;18;2;128;638;64;21400;19
Gerenlanden;1205;1205;3217;155;361;312;265;507;789;489;257;66;16;828;2050;339;29000;4
Gerenbroek;1191;1191;3218;162;414;279;217;563;804;527;209;36;7;855;2111;252;29000;3
Oude Mars;14;14;75;2;13;4;2;8;27;18;1;0;0;19;55;1;-;.
Windesheim;154;154;401;29;34;36;31;72;87;54;42;11;5;99;244;58;28100;6
Harculo en Hoog-Zuthem;136;136;476;13;31;29;29;25;95;90;70;56;38;73;239;164;31300;8
Onbekend;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;. Verborgen waarde;;;;;;;;;;;;;;;;;
;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
