Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1526;1527;2338;29;56;70;487;977;321;174;145;63;16;155;1959;224;35100;8
Binnenstad-Noord;599;602;838;12;10;16;174;380;115;51;59;17;4;38;720;80;32000;10
Noordereiland;524;541;867;17;16;33;68;238;175;133;137;43;7;66;614;187;46700;6
Het Noorden;1245;1251;1642;43;41;22;463;578;217;101;82;69;26;106;1359;177;25800;19
Schildersbuurt;175;175;360;10;24;18;51;75;74;44;34;28;2;52;244;64;31200;12
Bollebieste;976;976;1626;52;100;72;176;451;284;166;147;115;63;224;1077;325;26300;19
Dieze-Centrum;604;607;1000;25;34;40;186;376;137;94;70;31;7;99;793;108;27600;12
Bagijneweide;477;489;830;21;23;24;152;216;125;85;83;70;31;68;578;184;36700;6
Hogenkamp;1985;1994;3365;167;231;170;293;1224;555;253;202;151;119;568;2325;472;27000;14
Indischebuurt;593;593;1038;44;90;53;142;321;185;91;72;31;9;187;739;112;22900;25
Meppelerstraatweg-Zuid;264;264;372;21;19;3;40;185;64;25;12;3;0;43;314;15;22600;18
Bedrijventerrein Floresstraat;185;186;428;26;76;24;13;94;122;37;17;16;3;126;266;36;34400;6
Wipstrik-Noord;1301;1304;3095;187;335;229;223;651;640;348;300;136;46;751;1862;482;43000;2
Wipstrik-Zuid;1856;1860;3319;125;206;143;226;877;630;373;427;223;89;474;2106;739;30500;13
Stationsbuurt;574;580;1344;55;82;75;260;362;214;121;93;54;28;212;957;175;38200;7
Oud-Assendorp;2126;2128;4087;161;274;136;801;1318;727;356;188;94;32;571;3202;314;31300;7
Nieuw-Assendorp;1420;1420;3053;165;318;187;409;735;609;295;219;93;23;670;2048;335;31800;8
Wezenlanden;623;663;1233;37;111;78;77;283;248;147;166;64;22;226;755;252;33600;11
Pierik;1164;1174;2135;107;139;129;151;613;461;246;189;87;13;375;1471;289;27800;13
Bedrijventerrein Marslanden-Noord;0;14;35;0;4;1;8;0;10;10;2;0;0;5;28;2;-;-
Hanzeland;636;636;1130;31;35;44;170;320;183;134;117;83;13;110;807;213;36000;5
Kamperpoort;1310;1310;2160;57;76;53;348;789;231;199;177;128;102;186;1567;407;27700;15
Veerallee;683;683;1905;113;240;161;237;355;407;172;139;50;31;514;1171;220;43200;3
Bedrijventerrein Voorst-A;42;42;55;0;0;0;6;35;9;3;2;0;0;0;53;2;-;-
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Spoolde;117;117;321;9;36;30;19;27;79;42;52;23;4;75;167;79;41800;0
Oud-Westenholte;1032;1038;2524;130;258;235;209;391;532;293;243;167;66;623;1425;476;32100;7
Westenholte-Stins;1102;1107;2614;82;237;222;199;421;539;419;371;114;10;541;1578;495;32200;6
Vreugderijk;65;65;181;1;16;20;16;14;39;37;21;16;1;37;106;38;-;-
Bedrijventerrein Voorst-C;1;1;4;0;0;0;3;1;0;0;0;0;0;0;4;0;-;-
Bedrijventerrein Voorst-D;1;1;4;0;0;0;1;1;2;0;0;0;0;0;4;0;-;-
Frankhuis;2317;2363;6649;426;902;781;465;1374;1811;493;275;95;27;2109;4143;397;37000;4
Mastenbroek;19;19;52;1;3;5;7;6;8;15;7;0;0;9;36;7;-;-
Schoonhorst;1867;1867;4286;205;421;362;337;871;1064;481;311;185;49;988;2753;545;34500;5
Werkeren;1653;1675;5261;356;1037;586;240;1125;1340;212;166;109;90;1979;2917;365;39200;3
Milligen;2820;2823;6938;303;747;703;519;1188;1765;700;617;322;74;1753;4172;1013;34800;4
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;818;818;2631;243;489;284;150;811;554;85;14;1;0;1016;1600;15;36300;5
Breezicht;154;154;371;37;55;36;29;132;62;11;6;3;0;128;234;9;30300;11
Stadsbroek;20;20;56;2;1;4;12;4;16;5;8;4;0;7;37;12;-;-
Holtenbroek IV;1663;1663;3145;87;213;214;310;607;494;362;384;313;161;514;1773;858;24500;20
Holtenbroek I;892;893;1875;103;206;150;143;517;392;165;135;57;7;459;1217;199;32300;8
Holtenbroek II;1379;1382;2613;132;250;172;255;863;517;204;129;78;13;554;1839;220;25600;19
Holtenbroek III;1078;1083;2222;89;200;165;226;527;471;281;161;87;15;454;1505;263;25900;17
Aa-landen-Zuid;1046;1046;2173;97;156;138;174;386;414;297;251;203;57;391;1271;511;28300;11
Aa-landen-Midden;2066;2066;3846;128;313;231;190;719;653;449;457;452;254;672;2011;1163;28200;12
Aa-landen-Noord;1593;1597;3823;146;387;306;278;507;723;479;582;343;72;839;1987;997;33500;5
Aa-landen-Oost;1451;1456;3371;135;349;235;185;498;612;498;545;281;33;719;1793;859;32100;7
Brinkhoek;265;265;643;25;39;52;43;52;107;108;114;79;24;116;310;217;67200;0
Langenholte;44;44;127;5;12;7;17;11;24;31;13;6;1;24;83;20;-;-
Haerst;108;108;283;10;18;11;28;45;58;55;43;8;7;39;186;58;40100;4
Berkum;1656;1671;3802;159;341;259;267;505;686;480;472;396;237;759;1938;1105;36200;5
Bedrijventerrein de Vrolijkheid;1;4;8;0;0;1;1;0;6;0;0;0;0;1;7;0;-;-
Veldhoek;105;105;267;8;20;20;27;30;61;37;34;22;8;48;155;64;61100;5
Kantorenterrein Oosterenk;123;123;181;0;0;7;67;73;15;10;7;2;0;7;165;9;20200;25
Bedrijventerrein Hessenpoort;32;32;77;1;6;5;10;9;18;15;6;6;1;12;52;13;-;-
Tolhuislanden;55;55;173;10;19;15;23;23;34;24;13;12;0;44;104;25;-;-
Herfte;141;141;386;9;26;39;43;37;67;80;58;17;10;74;227;85;43200;3
Bedrijventerrein Marslanden-Zuid;9;9;171;0;2;8;17;70;54;15;3;2;0;10;156;5;-;-
Wijthmen;247;248;596;15;52;40;57;79;111;111;58;62;11;107;358;131;35100;2
Oud-Schelle;486;486;1423;55;197;135;130;181;337;181;123;63;21;387;829;207;43900;1
Schellerhoek;370;373;976;43;86;85;76;144;223;223;83;11;2;214;666;96;41700;1
Schellerbroek;695;695;1453;50;99;81;140;267;250;258;192;88;28;230;915;308;35700;8
Schellerlanden;1194;1202;2616;74;220;145;171;310;420;598;450;178;50;439;1499;678;34700;5
Oldenelerlanden-Oost;1005;1005;2386;111;236;188;157;469;439;429;270;72;15;535;1494;357;33200;6
Oldenelerlanden-West;568;568;1437;59;146;112;110;208;292;322;148;36;4;317;932;188;40200;5
Oldenelerbroek;1452;1457;3238;98;239;262;290;474;704;588;379;162;42;599;2056;583;35300;6
Schelle-Zuid en Oldeneel;68;68;173;0;8;21;18;6;30;37;27;23;3;29;91;53;-;-
Katerveer-Engelse werk;202;207;659;7;62;74;63;40;160;91;58;49;55;143;354;162;59200;2
Oud-Ittersum;578;578;1466;78;162;96;109;256;301;183;150;93;38;336;849;281;34900;3
Ittersumerlanden;1874;1874;3794;190;298;224;230;843;645;533;405;267;159;712;2251;831;28500;11
Ittersumerbroek;981;1006;2311;77;172;171;219;313;504;465;256;109;25;420;1501;390;34600;7
Geren;450;453;797;27;31;46;122;222;170;96;51;27;5;104;610;83;26100;17
Gerenlanden;1222;1222;3067;126;319;249;269;536;617;478;354;100;19;694;1900;473;35300;3
Gerenbroek;1192;1192;3076;133;315;287;217;519;640;541;346;74;4;735;1917;424;34900;3
Oude Mars;29;29;130;0;21;15;8;2;41;35;8;0;0;36;86;8;-;-
Windesheim;155;155;397;21;50;18;33;70;83;57;39;26;0;89;243;65;34900;3
Harculo en Hoog-Zuthem;141;141;509;9;33;34;37;25;87;114;86;45;39;76;263;170;42200;0
Onbekend;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
