Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1464;1465;2296;33;60;74;458;977;317;168;143;51;15;167;1920;209;36300;9
Binnenstad-Noord;577;580;847;13;15;12;148;396;123;56;64;16;4;40;723;84;30000;9
Noordereiland;407;426;704;14;22;27;67;175;154;101;105;29;10;63;497;144;41500;8
Het Noorden;1050;1054;1451;43;48;19;400;484;194;89;77;74;23;110;1167;174;23100;21
Schildersbuurt;174;174;357;12;24;19;48;75;75;43;35;25;1;55;241;61;27600;11
Bollebieste;976;976;1724;60;118;89;188;466;304;169;150;118;62;267;1127;330;22600;20
Dieze-Centrum;577;579;958;24;45;37;169;334;151;97;61;32;8;106;751;101;26000;12
Bagijneweide;454;466;831;19;28;27;152;203;126;88;87;74;27;74;569;188;35500;5
Hogenkamp;1967;1975;3128;164;208;133;281;1161;514;227;163;152;125;505;2183;440;24400;15
Indischebuurt;581;581;1044;45;94;53;129;327;194;84;76;33;9;192;734;118;20900;24
Meppelerstraatweg-Zuid;264;264;365;15;18;5;23;202;62;24;11;4;1;38;311;16;20800;20
