Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Bedrijventerrein Hessenpoort;32;32;75;2;6;4;9;10;17;16;4;5;2;12;52;11;-;-
Tolhuislanden;55;55;174;12;18;13;22;28;32;29;8;12;0;43;111;20;-;-
Herfte;139;139;393;13;29;37;55;41;69;78;44;18;9;79;243;71;40400;3
Bedrijventerrein Marslanden-Zuid;9;9;171;0;2;10;11;67;61;18;1;1;0;12;157;2;-;-
Wijthmen;245;246;604;15;55;42;52;90;112;116;54;57;11;112;370;122;33700;4
Oud-Schelle;486;486;1393;47;187;149;119;178;331;177;122;59;24;383;805;205;40100;1
Schellerhoek;370;373;979;37;88;86;91;132;230;219;78;15;3;211;672;96;40700;1
Schellerbroek;695;695;1442;54;97;80;146;253;250;263;189;79;31;231;912;299;34200;8
Schellerlanden;1194;1202;2607;73;216;148;166;315;459;581;438;163;48;437;1521;649;33700;6
Oldenelerlanden-Oost;1005;1005;2390;121;238;189;143;476;468;429;249;64;13;548;1516;326;32100;6
Oldenelerlanden-West;568;568;1467;58;159;102;124;208;314;325;138;36;3;319;971;177;39400;5
Oldenelerbroek;1454;1459;3305;106;262;271;282;495;750;593;356;152;38;639;2120;546;33400;6
Schelle-Zuid en Oldeneel;68;68;174;0;8;22;21;3;33;34;27;23;3;30;91;53;-;-
Katerveer-Engelse werk;200;205;647;8;68;72;52;43;164;80;56;43;61;148;339;160;68700;3
Oud-Ittersum;576;576;1460;84;145;106;112;254;306;176;141;89;47;335;848;277;33800;4
Ittersumerlanden;1876;1876;3859;184;312;217;253;841;682;546;398;248;178;713;2322;824;28300;11
Ittersumerbroek;981;1006;2329;82;179;180;227;324;523;444;236;108;26;441;1518;370;33100;7
Geren;450;453;808;17;39;51;120;229;179;86;55;29;3;107;614;87;26000;16
Gerenlanden;1208;1208;3061;122;336;257;251;528;652;469;341;95;10;715;1900;446;33800;4
Gerenbroek;1192;1192;3096;137;322;303;206;532;646;554;327;64;5;762;1938;396;33500;3
Oude Mars;29;29;129;1;23;16;6;3;40;34;6;0;0;40;83;6;-;-
Windesheim;155;155;393;20;53;17;32;74;79;58;37;23;0;90;243;60;33700;3
Harculo en Hoog-Zuthem;141;141;515;11;31;43;32;31;94;112;78;45;38;85;269;161;39800;4
Onbekend;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
