Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1503;1504;2323;30;65;75;490;965;319;166;141;59;13;170;1940;213;35300;9
Binnenstad-Noord;592;595;856;13;15;16;168;397;113;51;60;19;4;44;729;83;30700;11
Noordereiland;465;484;783;19;13;30;69;209;161;120;120;32;10;62;559;162;42000;7
Het Noorden;1128;1132;1577;53;46;21;404;564;216;97;79;72;25;120;1281;176;24900;20
Schildersbuurt;174;174;360;9;28;17;54;69;76;49;30;26;2;54;248;58;28700;12
Bollebieste;975;975;1689;58;106;79;189;482;287;172;132;120;64;243;1130;316;24800;21
Dieze-Centrum;601;603;995;29;42;39;191;355;143;94;64;30;8;110;783;102;26500;12
Bagijneweide;454;466;837;24;27;25;156;204;126;84;85;78;28;76;570;191;35500;6
Hogenkamp;1929;1938;3232;157;208;149;296;1170;536;246;183;155;132;514;2248;470;25700;14
Indischebuurt;592;592;1039;41;93;60;124;322;202;82;76;32;7;194;730;115;22200;26
Meppelerstraatweg-Zuid;264;264;379;23;19;2;33;205;58;21;13;4;1;44;317;18;20000;20
Bedrijventerrein Floresstraat;185;186;434;26;78;22;18;113;109;33;19;14;2;126;273;35;33700;5
Wipstrik-Noord;1301;1304;3076;174;343;215;232;643;641;350;296;140;42;732;1866;478;40800;2
Wipstrik-Zuid;1852;1856;3332;138;207;145;236;879;618;382;413;221;93;490;2115;727;29200;12
Stationsbuurt;573;579;1357;51;94;66;274;356;220;123;90;50;33;211;973;173;36600;7
Oud-Assendorp;2113;2115;4110;171;274;131;835;1325;721;341;183;92;37;576;3222;312;30200;8
Nieuw-Assendorp;1418;1418;3055;168;323;194;431;694;627;292;215;89;22;685;2044;326;30200;8
Wezenlanden;516;556;1035;32;84;59;77;205;219;145;134;58;22;175;646;214;32800;11
Pierik;1164;1174;2141;102;149;128;153;606;458;244;209;81;11;379;1461;301;26600;13
Bedrijventerrein Marslanden-Noord;0;14;37;0;4;3;7;2;11;8;2;0;0;7;28;2;-;-
Hanzeland;636;636;1131;26;44;47;161;329;184;127;122;76;15;117;801;213;34500;4
Kamperpoort;1044;1044;1809;51;78;58;297;597;200;170;142;108;108;187;1264;358;25500;17
Veerallee;672;672;1870;98;233;153;259;362;389;173;126;49;28;484;1183;203;41300;3
Bedrijventerrein Voorst-A;42;43;54;0;0;0;7;33;9;5;0;0;0;0;54;0;-;-
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Spoolde;117;117;318;9;32;31;19;28;74;45;56;21;3;72;166;80;39600;0
Oud-Westenholte;1019;1025;2533;128;281;215;212;410;518;299;231;173;66;624;1439;470;30800;7
Westenholte-Stins;1102;1107;2654;96;252;231;208;415;552;427;357;105;11;579;1602;473;31000;6
Vreugderijk;65;65;182;1;16;22;15;13;40;40;19;16;0;39;108;35;-;-
Bedrijventerrein Voorst-C;1;1;5;0;0;0;3;1;0;1;0;0;0;0;5;0;-;-
Bedrijventerrein Voorst-D;1;1;4;0;0;0;1;0;2;0;0;0;1;0;3;1;-;-
Frankhuis;2297;2344;6644;422;957;756;451;1403;1841;466;230;92;26;2135;4161;348;35100;4
Mastenbroek;19;19;57;1;6;5;7;6;12;13;7;0;0;12;38;7;-;-
Schoonhorst;1867;1867;4306;208;430;364;339;902;1069;466;304;181;43;1002;2776;528;33000;5
Werkeren;1653;1676;5292;408;1074;543;219;1222;1276;183;156;104;107;2025;2900;367;37300;3
Milligen;2817;2820;7002;305;800;728;488;1184;1857;670;611;294;65;1833;4199;970;33900;4
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;721;721;2245;225;433;217;112;746;440;60;12;0;0;875;1358;12;34100;6
Breezicht;4;4;9;0;0;0;2;0;3;3;0;1;0;0;8;1;-;-
Stadsbroek;20;20;55;2;1;5;10;4;13;8;8;4;0;8;35;12;-;-
Holtenbroek IV;1662;1662;3108;87;214;188;317;587;505;345;391;315;159;489;1754;865;23400;21
Holtenbroek I;892;893;1896;114;222;136;148;526;398;164;130;50;8;472;1236;188;30700;7
Holtenbroek II;1379;1382;2675;134;265;167;282;879;535;190;137;70;16;566;1886;223;24500;19
Holtenbroek III;1078;1083;2284;104;227;167;219;566;463;273;165;83;17;498;1521;265;24600;19
Aa-landen-Zuid;1047;1047;2195;88;165;152;158;380;453;296;248;204;51;405;1287;503;27200;12
Aa-landen-Midden;2066;2066;3904;148;312;221;199;723;663;443;488;442;265;681;2028;1195;27100;13
Aa-landen-Noord;1593;1597;3865;143;416;289;291;505;721;495;613;329;63;848;2012;1005;31900;5
Aa-landen-Oost;1450;1455;3364;137;337;219;200;508;612;503;559;251;38;693;1823;848;30800;7
Brinkhoek;265;265;639;23;41;52;42;48;115;105;115;79;19;116;310;213;62800;2
Langenholte;44;44;123;5;9;7;20;10;22;33;11;6;0;21;85;17;-;-
Haerst;108;108;282;7;19;17;24;44;57;58;42;7;7;43;183;56;36300;8
Berkum;1656;1671;3761;160;313;279;235;497;689;474;485;402;227;752;1895;1114;35400;5
Bedrijventerrein de Vrolijkheid;1;4;8;0;0;2;0;0;6;0;0;0;0;2;6;0;-;-
Veldhoek;103;104;266;9;17;22;25;35;61;36;32;24;5;48;157;61;60500;0
Kantorenterrein Oosterenk;123;123;175;0;0;5;74;60;16;12;6;2;0;5;162;8;21100;20
