datum_afspraak_coachgesprek;postcode;telling
15/04/2024;8031TN;80
17/04/2024;8016BK;81
17/04/2024;8017MR;82
17/04/2024;8012DT;83
19/04/2024;8012CX;84
24/04/2024;8017BG;85
24/04/2024;8023BG;86
30/04/2024;8031KL;87
08/05/2024;8011VX;88
15/05/2024;8031GB;89
04/06/2024;8033DW;90
05/06/2024;8016BL;91
05/06/2024;8011CV;92
10/06/2024;8015BV;93
12/06/2024;8023VA;94
14/06/2024;8033CC;95
20/06/2024;8012CS;96
26/06/2024;8014ZD;97
05/07/2024;8023TX;98
09/07/2024;8043XG;99
09/07/2024;8033BH;100
10/07/2024;8032TV;101
12/08/2024;8032NJ;102
19/08/2024;8043VD;103
19/08/2024;8031DK;104
30/08/2024;8033DM;105
10/09/2024;8012EA;106
11/09/2024;8023AR;107
13/09/2024;8043XW;108
13/09/2024;8011GL;109
13/09/2024;8023AZ;110
20/09/2024;8032XK;111
21/09/2024;8016AV;112
25/09/2024;8014ZB;113
25/09/2024;8023DP;114
27/09/2024;8032XK;115
10/10/2024;8032TB;116
16/10/2024;8012AE;117
17/10/2024;8012VN;118
21/10/2024;8014PR;119
23/10/2024;8014BA;120
23/10/2024;8014EM;121
24/10/2024;8033DJ;122
25/10/2024;8031JH;123
28/10/2024;8032CW;124
28/10/2024;8014DA;125
30/10/2024;8042EZ;126
30/10/2024;8033DA;127
04/11/2024;8043XW;128
04/11/2024;8012DW;129
05/11/2024;8014CG;130
06/11/2024;8032TB;131
06/11/2024;8033DJ;132
08/11/2024;8033BE;133
09/11/2024;8019AT;134
12/11/2024;8032XD;135
13/11/2024;8013AE;136
14/11/2024;8043XL;137
18/11/2024;8015AL;138
18/11/2024;8031JR;139
19/11/2024;8032XM;140
20/11/2024;8012WV;141
21/11/2024;8032KM;142
21/11/2024;8032ZL;143
22/11/2024;8032XK;144
22/11/2024;8032LA;145
22/11/2024;8012XA;146
25/11/2024;8043AT;147
26/11/2024;8023CP;148
26/11/2024;8031WL;149
27/11/2024;8033GB;150
29/11/2024;8023DA;151
29/11/2024;8032HX;152
03/12/2024;8032CW;153
05/12/2024;8042ME;154
06/12/2024;8032XD;155
09/12/2024;8042GZ;156
12/12/2024;8017JB;157
13/12/2024;8012EH;158
16/12/2024;8032XX;159
17/12/2024;8032AJ;160
19/12/2024;8032ET;161
19/12/2024;8032EK;162
22/12/2024;8043NX;163
23/12/2024;8031KW;164
28/12/2024;8033AA;165
30/12/2024;8032AL;166
30/12/2024;8033BK;167
