Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Spoolde;116;116;299;5;32;27;19;22;79;51;51;11;2;64;171;64;33300;4
Oud-Westenholte;968;974;2401;126;274;204;167;465;452;301;200;157;55;604;1385;412;27300;7
Westenholte-Stins;1101;1106;2743;128;284;243;188;466;611;474;272;68;9;655;1739;349;27800;7
Vreugderijk;65;65;182;2;14;19;20;12;38;39;27;11;0;35;109;38;-;-
Bedrijventerrein Voorst-C;1;2;6;0;0;0;3;1;0;1;1;0;0;0;5;1;-;-
Bedrijventerrein Voorst-D;1;1;5;0;0;0;2;0;2;0;0;1;0;0;4;1;-;-
Frankhuis;2061;2108;6146;385;1189;652;297;1359;1684;333;144;79;24;2226;3673;247;30200;5
Mastenbroek;20;20;63;2;8;6;8;9;16;11;2;1;0;16;44;3;-;-
Schoonhorst;1864;1864;4462;260;546;380;314;991;1136;381;279;146;29;1186;2822;454;29200;6
Werkeren;1359;1381;4399;511;843;316;148;1252;864;130;113;124;98;1670;2394;335;32300;5
Milligen;2806;2809;7200;401;1024;661;413;1426;1897;590;525;207;56;2086;4326;788;30500;5
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;361;361;1018;125;164;75;57;425;145;21;5;1;0;364;648;6;28200;11
Breezicht;4;4;10;0;0;2;0;0;6;1;0;1;0;2;7;1;-;-
Stadsbroek;19;19;54;0;3;8;7;3;15;8;9;1;0;11;33;10;-;-
Holtenbroek IV;1623;1623;3110;121;223;137;285;602;522;337;364;323;196;481;1746;883;20900;21
Holtenbroek I;891;892;1872;150;203;107;150;648;328;136;106;33;11;460;1262;150;27200;7
Holtenbroek II;1244;1248;2574;168;296;157;308;810;478;161;128;61;7;621;1757;196;21700;19
Holtenbroek III;1078;1083;2413;117;263;155;248;643;494;244;147;88;14;535;1629;249;21900;18
Aa-landen-Zuid;1047;1047;2260;100;177;176;187;360;483;239;277;213;48;453;1269;538;23500;13
Aa-landen-Midden;1987;1987;3711;128;268;184;214;699;674;427;448;427;242;580;2014;1117;24700;13
Aa-landen-Noord;1593;1597;3791;166;354;276;250;476;754;570;636;258;51;796;2050;945;29100;5
Aa-landen-Oost;1432;1437;3301;157;297;223;192;521;628;524;552;179;28;677;1865;759;28000;6
Brinkhoek;265;265;597;9;31;47;26;53;123;95;136;63;14;87;297;213;56000;2
Langenholte;42;42;116;4;5;20;7;8;32;23;13;4;0;29;70;17;-;-
Haerst;108;109;281;10;14;29;31;28;62;56;34;14;3;53;177;51;38200;10
Berkum;1656;1672;3721;136;313;280;204;425;735;489;503;429;207;729;1853;1139;31900;5
Bedrijventerrein de Vrolijkheid;9;12;7;0;0;1;0;0;5;1;0;0;0;1;6;0;-;-
Veldhoek;98;98;243;9;14;26;17;31;39;41;30;30;6;49;128;66;-;-
Kantorenterrein Oosterenk;10;10;14;0;0;4;2;1;1;1;3;2;0;4;5;5;-;-
Bedrijventerrein Hessenpoort;29;29;72;2;7;12;4;5;17;13;4;8;0;21;39;12;-;-
Tolhuislanden;53;53;179;8;17;22;30;26;34;20;18;4;0;47;110;22;-;-
Herfte;138;138;392;14;33;56;29;38;74;77;38;25;8;103;218;71;36700;0
Bedrijventerrein Marslanden-Zuid;9;9;156;0;8;5;11;63;55;10;2;2;0;13;139;4;-;-
Wijthmen;242;243;626;35;51;44;54;89;128;95;72;48;10;130;366;130;30600;4
Oud-Schelle;484;484;1297;74;168;113;92;193;319;154;117;49;18;355;758;184;38400;1
Schellerhoek;368;371;1024;35;110;98;104;125;299;185;59;7;2;243;713;68;36500;0
Schellerbroek;694;694;1495;41;87;98;172;249;313;276;158;71;30;226;1010;259;32300;6
Schellerlanden;1192;1200;2784;100;198;216;218;328;607;599;339;146;33;514;1752;518;31100;6
Oldenelerlanden-Oost;1005;1005;2469;133;237;197;190;434;611;429;167;52;19;567;1664;238;28900;6
Oldenelerlanden-West;556;556;1463;59;137;136;140;190;374;313;86;24;4;332;1017;114;34400;6
Oldenelerbroek;1438;1443;3388;100;333;341;238;533;899;517;267;129;31;774;2187;427;29900;7
Schelle-Zuid en Oldeneel;70;70;189;3;25;19;11;12;37;33;31;15;3;47;93;49;-;-
Katerveer-Engelse werk;197;202;606;19;73;66;28;60;159;67;63;26;45;158;314;134;46300;3
Oud-Ittersum;521;521;1309;67;113;119;89;215;284;159;139;98;26;299;747;263;28900;4
Ittersumerlanden;1869;1869;3872;199;349;230;253;827;786;537;299;240;152;778;2403;691;24900;11
Ittersumerbroek;981;1006;2450;89;206;264;205;318;665;383;191;102;27;559;1571;320;30500;6
Geren;450;453;827;24;44;52;132;221;194;93;44;20;3;120;640;67;22500;17
Gerenlanden;1205;1205;3207;162;340;306;258;524;769;497;264;70;17;808;2048;351;30100;4
Gerenbroek;1192;1192;3198;157;395;286;213;562;762;545;232;40;6;838;2082;278;30300;4
Oude Mars;14;14;72;1;13;4;2;5;27;17;3;0;0;18;51;3;-;-
Windesheim;153;153;386;25;32;31;36;67;79;54;42;15;5;88;236;62;29400;3
Harculo en Hoog-Zuthem;136;136;480;12;35;35;20;34;102;94;66;50;32;82;250;148;34400;4
Onbekend;-;-;2;0;0;0;0;0;1;0;1;0;0;0;1;1;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
