Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1298;1299;2143;40;58;49;431;912;305;164;130;46;8;147;1812;184;30400;10
Binnenstad-Noord;563;565;838;16;8;12;173;370;116;58;66;17;2;36;717;85;27800;12
Noordereiland;321;341;545;16;21;20;48;145;103;80;76;25;11;57;376;112;31800;11
Het Noorden;1029;1034;1489;51;48;22;455;451;190;94;82;72;24;121;1190;178;21600;19
Schildersbuurt;175;175;393;24;35;18;40;92;84;39;39;20;2;77;255;61;25200;14
Bollebieste;938;938;1738;60;150;88;193;451;316;165;146;107;62;298;1125;315;20800;21
Dieze-Centrum;548;550;1003;41;55;33;204;297;161;101;62;41;8;129;763;111;23700;13
Bagijneweide;401;413;759;23;20;29;135;166;133;80;73;69;31;72;514;173;31200;7
Hogenkamp;1911;1920;3011;139;187;100;299;1175;474;194;161;151;131;426;2142;443;22000;18
Indischebuurt;578;578;1056;51;83;37;169;329;181;90;70;31;15;171;769;116;19600;24
Meppelerstraatweg-Zuid;264;264;374;16;14;6;47;182;67;26;11;4;1;36;322;16;19700;18
Bedrijventerrein Floresstraat;185;186;431;59;53;11;14;158;80;25;17;14;0;123;277;31;29400;3
Wipstrik-Noord;1296;1299;3078;178;357;229;222;618;654;370;260;141;49;764;1864;450;35700;3
Wipstrik-Zuid;1850;1854;3393;153;222;178;263;866;662;379;343;220;107;553;2170;670;25700;12
Stationsbuurt;567;573;1406;81;107;70;299;348;220;119;90;42;30;258;986;162;31500;10
Oud-Assendorp;1986;1988;4275;229;269;146;949;1383;717;255;152;94;81;644;3304;327;26700;8
Nieuw-Assendorp;1408;1408;3181;207;354;178;421;796;637;279;190;90;29;739;2133;309;26500;9
Wezenlanden;341;379;628;20;43;24;28;105;124;99;113;49;23;87;356;185;24100;15
Pierik;1135;1145;2183;112;195;116;159;619;467;249;193;61;12;423;1494;266;23300;15
Bedrijventerrein Marslanden-Noord;0;14;38;1;2;9;4;4;13;5;0;0;0;12;26;0;-;-
Hanzeland;522;522;1018;33;63;54;126;219;215;123;110;53;22;150;683;185;32100;5
Kamperpoort;746;746;1428;41;50;42;277;392;175;111;101;110;129;133;955;340;21100;21
Veerallee;543;543;1484;70;166;119;232;237;311;152;101;68;28;355;932;197;34500;5
Bedrijventerrein Voorst-A;43;43;59;0;0;0;12;34;11;2;0;0;0;0;59;0;-;-
