Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Katerveer-Engelse werk;202;207;648;7;46;76;65;40;139;109;53;59;54;129;353;166;;
Oud-Ittersum;578;578;1482;79;174;103;107;266;280;177;157;98;41;356;830;296;;
Ittersumerlanden;1881;1881;3811;177;323;217;240;805;664;508;434;295;148;717;2217;877;;
Ittersumerbroek;983;1008;2264;68;169;148;212;309;438;467;284;141;28;385;1426;453;;
Geren;450;453;804;29;42;37;124;227;173;88;59;22;3;108;612;84;;
Gerenlanden;1222;1222;3025;140;268;243;269;536;589;459;363;137;21;651;1853;521;;
Gerenbroek;1192;1192;3037;146;285;269;229;512;593;493;397;109;4;700;1827;510;;
Oude Mars;54;54;203;5;19;35;11;16;53;47;16;1;0;59;127;17;;
Windesheim;156;156;406;20;51;23;26;69;82;64;42;27;2;94;241;71;;
Harculo en Hoog-Zuthem;140;140;493;6;26;37;32;28;80;97;97;61;29;69;237;187;;
Onbekend;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
