Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,52,1.6,3,1.6,1.4,2.9,2.9,0.64,0.2,,,?,?,?,,?,1445,2145,32400,48100
Binnenstad-Noord,17,0.5,1.1,0.5,0.5,0.9,0.9,0.64,0.2,,,?,?,?,,?,585,835,29900,42700
Noordereiland,11,0.4,0.7,0.4,0.4,0.6,0.6,0.64,0.2,,,?,?,?,,?,335,545,33500,54500
Het Noorden,27,0.8,1.5,0.8,0.8,1.5,1.5,0.64,0.2,,,5,45,44,,0%,1065,1490,18700,26200
Schildersbuurt,5,0.2,0.4,0.2,0.2,0.3,0.3,0.64,0.2,,,?,?,?,,?,185,390,21400,45100
Bollebieste,33,1,1.9,1,0.9,1.8,1.8,0.64,0.2,,,65,125,133,,7%,880,1740,17700,35000
Dieze-Centrum,20,0.6,1.3,0.6,0.6,1.1,1.1,0.64,0.2,,,5,20,36,,1%,610,1000,21900,35900
Bagijneweide,15,0.5,1.1,0.5,0.5,0.9,0.9,0.64,0.2,,,10,15,38,,3%,445,760,29300,50000
Hogenkamp,60,1.9,3.6,1.9,1.8,3.4,3.3,0.64,0.2,,,85,150,79,,4%,1880,3010,21100,33800
Indischebuurt,17,0.5,1.2,0.5,0.6,1,1,0.64,0.2,,,45,90,155,,8%,615,1055,17200,29500
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.2,0.3,0.3,0.64,0.2,,,?,?,?,,?,260,375,21000,30300
Bedrijventerrein Floresstraat,5,0.2,0.4,0.2,0.2,0.3,0.3,0.64,0.2,,,?,?,?,,?,175,430,26400,64900
Wipstrik-Noord,63,1.9,3.6,2,1.8,3.5,3.5,0.64,0.2,,,80,220,170,,6%,1330,3075,30500,70500
Wipstrik-Zuid,65,2,4.3,2.1,2.1,3.7,3.6,0.64,0.2,,,55,185,100,,3%,1875,3390,24500,44300
Stationsbuurt,28,0.9,1.6,0.9,0.8,1.6,1.6,0.64,0.2,,,25,50,88,,4%,790,1405,27400,48700
Oud-Assendorp,77,2.4,4.5,2.4,2.2,4.3,4.3,0.64,0.2,,,85,195,98,,4%,2510,4275,23800,40500
