Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,54,1.7,3.5,1.7,1,3,3,0.83,0.23,1206,61,?,?,?,,?,1580,2340,37100,54900
Binnenstad-Noord,17,0.5,1.2,0.5,0.4,1,0.9,0.83,0.23,485,18,?,?,?,,?,580,840,34000,49200
Noordereiland,16,0.5,1.2,0.5,0.4,0.9,0.9,0.83,0.23,456,42,123,248,473,,23%,525,870,48500,80400
Het Noorden,27,0.8,1.8,0.8,0.6,1.5,1.5,0.83,0.23,1220,12,17,93,75,,1%,1260,1640,23800,31000
Schildersbuurt,5,0.2,0.4,0.2,0.1,0.3,0.3,0.83,0.23,173,0,11,37,211,,6%,195,360,28100,51900
Bollebieste,29,0.9,2,0.9,0.6,1.7,1.6,0.83,0.23,849,117,260,525,538,,27%,875,1625,22800,42300
Dieze-Centrum,19,0.6,1.3,0.6,0.4,1.1,1.1,0.83,0.23,556,0,54,139,230,,9%,650,995,27000,41300
Bagijneweide,17,0.5,1.1,0.5,0.3,0.9,0.9,0.83,0.23,434,14,28,114,239,,6%,510,830,36100,58800
Hogenkamp,56,1.7,3.7,1.8,1.1,3.2,3.1,0.83,0.23,1906,79,379,935,471,,19%,2000,3370,25300,42600
Indischebuurt,17,0.5,1.1,0.5,0.3,1,1,0.83,0.23,587,0,86,172,290,,15%,615,1035,20000,33700
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.1,0.3,0.3,0.83,0.23,264,0,0,0,0,,0%,265,375,22500,31800
Bedrijventerrein Floresstraat,5,0.2,0.4,0.2,0.1,0.3,0.3,0.83,0.23,185,0,43,162,876,,23%,180,430,29900,71400
Wipstrik-Noord,62,1.9,3.6,2,1.1,3.5,3.4,0.83,0.23,1275,0,222,682,524,,17%,1325,3090,35200,82100
Wipstrik-Zuid,62,1.9,4,1.9,1.2,3.5,3.4,0.83,0.23,1837,0,333,875,471,,18%,1880,3315,28800,50800
Stationsbuurt,29,0.9,1.6,0.9,0.5,1.6,1.6,0.83,0.23,545,0,67,195,340,,12%,780,1340,35100,60300
Oud-Assendorp,80,2.5,4.6,2.5,1.4,4.5,4.4,0.83,0.23,1977,0,250,659,310,,12%,2470,4085,28600,47300
Nieuw-Assendorp,53,1.6,3.1,1.7,0.9,3,2.9,0.83,0.23,1392,0,242,555,391,,17%,1500,3050,26800,54500
Wezenlanden,20,0.6,1.4,0.6,0.4,1.1,1.1,0.83,0.23,405,31,248,357,573,,40%,665,1230,35100,64900
Pierik,37,1.1,2.1,1.2,0.6,2.1,2,0.83,0.23,1106,35,429,1031,886,,37%,1160,2130,25500,46800
Bedrijventerrein Marslanden-Noord,?,?,?,?,?,?,?,0.83,0.23,?,?,8,29,-,,-,15,35,?,?
Hanzeland,16,0.5,1.3,0.5,0.4,0.9,0.9,0.83,0.23,477,0,67,204,321,,11%,665,1130,34900,59300
Kamperpoort,30,0.9,2.4,0.9,0.7,1.7,1.6,0.83,0.23,1140,131,313,513,392,,24%,1340,2160,27400,44200
Veerallee,35,1.1,2.1,1.1,0.6,2,2,0.83,0.23,649,20,240,673,985,,35%,840,1905,36500,82800
Bedrijventerrein Voorst-A,1,0,0.1,0,0,0.1,0.1,0.83,0.23,37,0,?,?,?,,?,50,55,?,?
Bedrijventerrein Voorst-B,?,?,?,?,?,?,?,0.83,0.23,?,?,0,0,-,,-,0,0,?,?
Spoolde,7,0.2,0.4,0.2,0.1,0.4,0.4,0.83,0.23,112,4,?,?,?,,?,120,320,32700,87200
Oud-Westenholte,40,1.3,2.8,1.3,0.8,2.3,2.2,0.83,0.23,960,41,265,912,884,,26%,1040,2525,25500,61900
Westenholte-Stins,41,1.3,2.7,1.3,0.8,2.3,2.3,0.83,0.23,1102,0,418,1204,1093,,38%,1100,2610,25800,61200
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,0.83,0.23,59,5,25,155,2385,,38%,65,185,30200,86000
