Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Bedrijventerrein Voorst-C,?,?,?,?,?,?,?,0.83,0.23,?,?,0,0,0,,0%,0,0,?,?
Bedrijventerrein Voorst-D,?,?,?,?,?,?,?,0.83,0.23,?,?,0,0,0,,0%,0,5,?,?
Frankhuis,72,2.3,6.6,2.3,2,4.1,4,0.83,0.23,2062,232,998,3060,1321,,43%,2340,6645,28600,81200
Mastenbroek,1,0,0.1,0,0,0.1,0.1,0.83,0.23,18,0,?,?,?,,?,20,50,?,?
Schoonhorst,56,1.7,4.6,1.8,1.4,3.1,3.1,0.83,0.23,1867,0,406,1325,710,,22%,1850,4285,29300,67900
Werkeren,56,1.7,5.1,1.8,1.5,3.1,3.1,0.83,0.23,1504,132,869,3180,1924,,53%,1635,5255,29500,94800
Milligen,78,2.4,7.4,2.5,2.2,4.4,4.3,0.83,0.23,2510,113,710,2393,849,,25%,2825,6945,28400,69800
Tippe bij de IJssel,?,?,?,?,?,?,?,0.83,0.23,?,?,0,0,-,,-,0,0,?,?
Breecamp,0,0,3.2,0,1,0,0,0.83,0.23,8,344,552,2382,2912,,67%,835,2630,26200,82500
Breezicht,?,?,0.6,?,0.2,?,?,0.83,0.23,?,?,347,1819,11812,,225%,145,375,21600,55900
Stadsbroek,2,0,0.1,0.1,0,0.1,0.1,0.83,0.23,19,0,?,?,?,,?,15,55,?,?
Holtenbroek IV,54,1.7,3.5,1.7,1.1,3,3,0.83,0.23,1414,249,257,728,438,,15%,1705,3150,21100,39000
Holtenbroek I,15,0.5,2.1,0.5,0.6,0.8,0.8,0.83,0.23,562,0,285,534,599,,32%,885,1875,27600,58500
Holtenbroek II,46,1.4,2.6,1.5,0.8,2.6,2.6,0.83,0.23,1379,0,226,569,413,,16%,1430,2620,21900,40100
Holtenbroek III,38,1.2,2.4,1.2,0.7,2.2,2.1,0.83,0.23,1067,0,189,549,509,,18%,1115,2220,21100,42000
Aa-landen-Zuid,38,1.2,2.7,1.2,0.8,2.2,2.1,0.83,0.23,1046,0,159,514,491,,15%,1070,2170,24200,49100
Aa-landen-Midden,70,2.2,4,2.2,1.2,3.9,3.9,0.83,0.23,1880,0,425,1264,612,,21%,2050,3845,25300,47500
Aa-landen-Noord,68,2.1,4.1,2.1,1.2,3.8,3.8,0.83,0.23,1577,0,356,1073,674,,22%,1635,3825,26600,62200
Aa-landen-Oost,58,1.8,3.5,1.8,1.1,3.3,3.2,0.83,0.23,1451,0,507,1407,970,,35%,1475,3370,26000,59400
Brinkhoek,22,0.7,1.2,0.7,0.4,1.2,1.2,0.83,0.23,249,11,92,565,2132,,35%,260,645,46100,114400
Langenholte,3,0.1,0.2,0.1,0.1,0.2,0.2,0.83,0.23,34,6,13,86,1955,,30%,40,130,50000,162500
Haerst,7,0.2,0.5,0.2,0.1,0.4,0.4,0.83,0.23,97,1,25,157,1454,,23%,120,285,32200,76500
Berkum,75,2.3,4.4,2.4,1.3,4.2,4.2,0.83,0.23,1540,50,545,1878,1134,,33%,1600,3805,29700,70600
Bedrijventerrein de Vrolijkheid,?,?,?,?,?,?,?,0.83,0.23,?,?,0,0,0,,0%,0,10,?,?
Veldhoek,7,0.2,0.5,0.2,0.1,0.4,0.4,0.83,0.23,91,7,23,148,1410,,22%,110,270,40700,99900
Kantorenterrein Oosterenk,2,0,0.2,0,0.1,0.1,0.1,0.83,0.23,34,41,3,9,73,,2%,135,180,22200,29600
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0,0.1,0.1,0.83,0.23,26,4,12,62,1938,,38%,30,75,?,?
Tolhuislanden,4,0.1,0.2,0.1,0.1,0.2,0.2,0.83,0.23,47,1,8,45,818,9.9,15%,55,175,25400,80800
Herfte,9,0.3,0.6,0.3,0.2,0.5,0.5,0.83,0.23,118,10,?,?,?,,?,170,390,34200,78500
Bedrijventerrein Marslanden-Zuid,1,0,0,0,0,0,0,0.83,0.23,5,0,?,?,?,,?,15,170,?,?
Wijthmen,14,0.4,0.9,0.4,0.3,0.8,0.8,0.83,0.23,225,5,50,234,947,,20%,245,595,27300,66300
Oud-Schelle,24,0.7,1.6,0.7,0.5,1.3,1.3,0.83,0.23,467,5,174,643,1323,,36%,510,1420,32200,89700
Schellerhoek,15,0.5,1.1,0.5,0.3,0.8,0.8,0.83,0.23,355,4,164,608,1643,,44%,360,975,34000,92100
Schellerbroek,27,0.8,1.7,0.8,0.5,1.5,1.5,0.83,0.23,688,7,221,735,1058,,32%,690,1455,31800,67100
Schellerlanden,44,1.4,3,1.4,0.9,2.5,2.5,0.83,0.23,1182,0,406,1310,1097,,34%,1205,2620,30600,66500
Oldenelerlanden-Oost,34,1.1,2.5,1.1,0.8,1.9,1.9,0.83,0.23,995,0,279,923,918,,28%,1010,2385,27100,64000
Oldenelerlanden-West,23,0.7,1.7,0.7,0.5,1.3,1.3,0.83,0.23,551,11,211,813,1431,,37%,570,1440,32900,83100
Oldenelerbroek,49,1.5,3.6,1.5,1.1,2.7,2.7,0.83,0.23,1437,0,413,1381,951,,28%,1410,3240,31000,71200
Schelle-Zuid en Oldeneel,5,0.1,0.3,0.1,0.1,0.3,0.3,0.83,0.23,60,5,25,148,2176,,37%,70,175,37000,92500
Katerveer-Engelse werk,13,0.4,0.9,0.4,0.3,0.8,0.7,0.83,0.23,198,4,80,399,1975,,40%,210,660,43800,137700
Oud-Ittersum,25,0.8,1.6,0.8,0.5,1.4,1.4,0.83,0.23,566,12,223,669,1157,,39%,590,1470,28200,70300
Ittersumerlanden,52,1.6,4.1,1.7,1.2,2.9,2.9,0.83,0.23,1743,0,353,996,531,,19%,1845,3795,24600,50600
Ittersumerbroek,35,1.1,2.6,1.1,0.8,2,1.9,0.83,0.23,971,10,333,1103,1124,,34%,1015,2310,30200,68700
Geren,10,0.3,0.9,0.3,0.3,0.6,0.6,0.83,0.23,446,0,58,195,433,,13%,495,795,25700,41300
Gerenlanden,52,1.6,3.5,1.6,1,2.9,2.9,0.83,0.23,1210,0,492,1499,1227,,40%,1245,3070,28200,69500
Gerenbroek,43,1.3,3.2,1.4,1,2.4,2.4,0.83,0.23,1180,0,440,1346,1129,,37%,1195,3075,27200,70000
Oude Mars,1,0,0.2,0,0.1,0.1,0.1,0.83,0.23,22,7,22,138,4759,,76%,30,130,53700,232700
Windesheim,7,0.2,0.5,0.2,0.1,0.4,0.4,0.83,0.23,147,5,55,232,1497,,35%,155,400,27400,70700
Harculo en Hoog-Zuthem,9,0.3,0.6,0.3,0.2,0.5,0.5,0.83,0.23,134,1,49,228,1617,,35%,140,510,31900,116200
