buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
holtenbroek i,890,891,1864,140.0,199.0,125.0,140.0,586.0,349.0,155.0,122.0,38.0,10.0,464,1230,170,28500,8
holtenbroek ii,1333,1337,2671,138.0,298.0,188.0,308.0,835.0,506.0,183.0,136.0,69.0,10.0,624,1832,215,22600,19
holtenbroek iii,1078,1083,2324,94.0,261.0,154.0,218.0,588.0,469.0,278.0,158.0,84.0,20.0,509,1553,262,22800,19
aa-landen-zuid,1046,1046,2211,95.0,171.0,163.0,177.0,361.0,472.0,261.0,265.0,198.0,48.0,429,1271,511,24900,12
aa-landen-midden,2042,2042,3779,122.0,286.0,195.0,210.0,720.0,637.0,461.0,443.0,440.0,265.0,603,2028,1148,25000,13
aa-landen-noord,1593,1597,3849,154.0,401.0,286.0,261.0,529.0,706.0,532.0,622.0,304.0,54.0,841,2028,980,29400,5
aa-landen-oost,1432,1437,3311,157.0,323.0,218.0,187.0,507.0,611.0,489.0,591.0,195.0,33.0,698,1794,819,29100,6
brinkhoek,261,261,610,17.0,32.0,48.0,39.0,46.0,111.0,105.0,126.0,67.0,19.0,97,301,212,67000,2
langenholte,43,43,111,4.0,6.0,12.0,13.0,8.0,24.0,27.0,10.0,6.0,1.0,22,72,17,,-
haerst,108,109,280,8.0,15.0,28.0,22.0,42.0,54.0,56.0,39.0,10.0,6.0,51,174,55,36900,5
berkum,1656,1672,3760,160.0,319.0,286.0,211.0,475.0,707.0,481.0,481.0,414.0,226.0,765,1874,1121,32800,5
bedrijventerrein de vrolijkheid,9,12,7,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0,7,0,,-
veldhoek,100,100,230,5.0,9.0,27.0,21.0,23.0,47.0,39.0,32.0,23.0,4.0,41,130,59,,-
kantorenterrein oosterenk,5,5,14,0.0,0.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,5,3,6,,-
bedrijventerrein hessenpoort,28,28,70,2.0,7.0,6.0,6.0,7.0,15.0,15.0,3.0,8.0,1.0,15,43,12,,-
tolhuislanden,55,55,177,10.0,16.0,17.0,28.0,29.0,29.0,25.0,14.0,9.0,0.0,43,111,23,,-
herfte,141,141,399,11.0,31.0,50.0,44.0,40.0,69.0,82.0,41.0,23.0,8.0,92,235,72,40600,4
bedrijventerrein marslanden-zuid,9,9,166,0.0,7.0,6.0,13.0,59.0,66.0,12.0,1.0,2.0,0.0,13,150,3,,-
wijthmen,246,247,629,28.0,59.0,47.0,54.0,86.0,120.0,108.0,64.0,50.0,13.0,134,368,127,31800,2
oud-schelle,486,486,1365,59.0,181.0,141.0,107.0,195.0,324.0,167.0,121.0,50.0,20.0,381,793,191,38000,1
schellerhoek,370,373,991,35.0,92.0,90.0,91.0,124.0,271.0,204.0,71.0,12.0,1.0,217,690,84,36800,0
schellerbroek,694,694,1477,49.0,97.0,77.0,160.0,259.0,275.0,285.0,166.0,81.0,28.0,223,979,275,31200,8
schellerlanden,1193,1201,2692,88.0,219.0,169.0,204.0,328.0,501.0,590.0,407.0,146.0,40.0,476,1623,593,31300,6
oldenelerlanden-oost,1005,1005,2437,125.0,240.0,189.0,185.0,458.0,525.0,443.0,195.0,61.0,16.0,554,1611,272,29500,5
oldenelerlanden-west,556,556,1453,53.0,148.0,113.0,126.0,206.0,336.0,324.0,116.0,28.0,3.0,314,992,147,35800,5
oldenelerbroek,1455,1460,3357,103.0,306.0,295.0,275.0,501.0,856.0,546.0,311.0,134.0,30.0,704,2178,475,31200,6
schelle-zuid en oldeneel,66,66,177,0.0,18.0,18.0,18.0,6.0,35.0,33.0,27.0,20.0,2.0,36,92,49,,-
