postal_code,place,bad_isolated_parts_of_the_house,date,amount_of_money,measures,do-it-yourself?,ventilation_measure?,buurt-naam,disctrict_cbs
8019XE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-11-11,1000.0,Bodemisolatie (meer dan 20 m2),nee,ja,Veerallee,Kamperpoort-Veerallee
8012AN,Zwolle,Dak Gevel Ramen Zolder,2024-11-15,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-11-19,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Oud-Assendorp,Assendorp
8013TP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-11-19,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Pierik,Assendorp
8043PN,Zwolle,Ramen Zolder,2024-11-21,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Frankhuis,Stadshagen
8031JE,Zwolle,Gevel Ramen Vloer Zolder,2024-11-22,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Holtenbroek II,Holtenbroek
8031ZE,Zwolle,Gevel Ramen Vloer,2024-11-23,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Holtenbroek IV,Holtenbroek
8012XD,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-01,1000.0,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),ja,nee,Nieuw-Assendorp,Assendorp
8012WL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-12,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012AV,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-01-22,1000.0,Dakisolatie buitenzijde (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8015AH,Zwolle,Ramen Vloer Zolder,2025-02-04,1000.0,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Ittersumerbroek,Ittersum
8012WE,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-04,1000.0,Zolder- of vlieringvloerisolatie (meer dan 20 m2),ja,nee,Oud-Assendorp,Assendorp
8033CE,Zwolle,Dak Ramen Vloer Zolder,2025-02-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Oost,Aa-landen
8015BJ,Zwolle,Ramen,2025-02-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Ittersumerbroek,Ittersum
8033AX,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-09,1000.0,Gevelisolatie buitenzijde (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Oost,Aa-landen
8012VG,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-12,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8023AE,Zwolle,Gevel Zolder,2025-02-13,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Wipstrik-Noord,Wipstrik
8012BD,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-16,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8014JC,Zwolle,Gevel Vloer,2025-02-21,1000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,ja,Gerenbroek,Ittersum
8032XM,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-21,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Noord,Aa-landen
8015PN,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-25,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Windesheim,Soestweteringlanden
8022PD,Zwolle,Gevel Ramen Vloer,2025-02-25,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Indischebuurt,Diezerpoort
8014KD,Zwolle,Dak Gevel Ramen Zolder,2025-02-28,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Gerenbroek,Ittersum
8014GD,Zwolle,Dak Ramen Vloer Zolder,2025-03-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Gerenlanden,Ittersum
8031KL,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-03-10,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek III,Holtenbroek
