postal_code,place,bad_isolated_parts_of_the_house,date,amount_of_money,measures,do-it-yourself?,ventilation_measure?,buurt-naam,disctrict_cbs
8012TG,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-08,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8032BN,Zwolle,Gevel Vloer Zolder,2024-12-16,1300.0,Gevelisolatie buitenzijde (meer dan 10 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8032BN,Zwolle,Ramen Vloer Zolder,2024-12-16,1300.0,Gevelisolatie buitenzijde (meer dan 10 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-18,1300.0,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012EA,Zwolle,Gevel Ramen Zolder,2025-01-20,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012VR,Zwolle,Dak Gevel Vloer Zolder,2025-02-13,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-02-13,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Ramen Zolder,2025-02-19,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012CW,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-03-02,1300.0,Dakisolatie binnenzijde (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,ja,Nieuw-Assendorp,Assendorp
8042MK,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-03-09,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Westenholte-Stins,Westenholte
8012VW,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-03-14,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Gevel Ramen Vloer Zolder,2024-12-07,1235.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8021BD,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-05,1000.0,Bodemisolatie (meer dan 20 m2),nee,nee,Bagijneweide,Diezerpoort
8032BN,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-06,1000.0,Dakisolatie buitenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8021XR,Zwolle,Dak Vloer Zolder,2024-02-06,1000.0,Vloerisolatie (meer dan 20 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),nee,nee,Bollebieste,Diezerpoort
8014PB,Zwolle,Dak Gevel Vloer Zolder,2024-02-06,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Ittersumerlanden,Ittersum
8042AV,Zwolle,Gevel Ramen Vloer Zolder,2024-02-07,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Westenholte,Westenholte
8032CJ,Zwolle,Dak Gevel Vloer Zolder,2024-02-08,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8012AX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-08,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Dakisolatie buitenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8013TE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-08,1000.0,Dakisolatie buitenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,ja,Pierik,Assendorp
8031GP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-09,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8032MR,Zwolle,Dak Gevel Vloer Zolder,2024-02-10,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Aa-landen-Noord,Aa-landen
8012XN,Zwolle,Ramen Zolder,2024-02-12,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-13,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),ja,nee,Oud-Assendorp,Assendorp
8012VN,Zwolle,Gevel Ramen Vloer Zolder,2024-02-15,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8021XD,Zwolle,Dak Zolder,2024-02-16,1000.0,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,ja,Bollebieste,Diezerpoort
8012XV,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-18,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8013ZC,Zwolle,Dak Vloer Zolder,2024-02-18,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Pierik,Assendorp
8012VK,Zwolle,Gevel Ramen Vloer Zolder,2024-02-19,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8021XL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-19,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Bollebieste,Diezerpoort
8023TD,Zwolle,Ramen Vloer Zolder,2024-02-21,1000.0,Bodemisolatie (meer dan 20 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8031JR,Zwolle,Dak Ramen Vloer Zolder,2024-02-21,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8032TV,Zwolle,Dak Gevel Zolder,2024-02-22,1000.0,Bodemisolatie (meer dan 20 m2),nee,nee,Aa-landen-Noord,Aa-landen
8012WK,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-23,1000.0,Zolder- of vlieringvloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Vloer Zolder,2024-02-26,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8023VS,Zwolle,Dak Gevel Ramen Vloer,2024-02-28,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8022BC,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-29,1000.0,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Hogenkamp,Diezerpoort
8012WL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-02,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8022PA,Zwolle,Dak Gevel Vloer Zolder,2024-03-02,1000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
8019XM,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-05,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Veerallee,Kamperpoort-Veerallee
8012XP,Zwolle,Ramen Vloer Zolder,2024-03-05,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Nieuw-Assendorp,Assendorp
8014JL,Zwolle,Dak Gevel Vloer,2024-03-07,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Gerenbroek,Ittersum
8012XK,Zwolle,Dak Ramen Vloer Zolder,2024-03-09,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Nieuw-Assendorp,Assendorp
8022PN,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-10,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
8022PR,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-11,1000.0,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
8012XK,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-12,1000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-12,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8012VM,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-12,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8021ER,Zwolle,Dak Gevel Ramen Vloer,2024-03-13,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Het Noorden,Diezerpoort
8021BX,Zwolle,Dak Gevel Ramen,2024-03-14,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Dieze-Centrum,Diezerpoort
8032CH,Zwolle,Gevel Ramen Vloer Zolder,2024-03-14,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8021XD,Zwolle,Gevel Vloer,2024-03-15,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),ja,nee,Bollebieste,Diezerpoort
8023AE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-15,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Wipstrik-Noord,Wipstrik
8042HL,Zwolle,Dak Gevel Ramen Vloer,2024-03-16,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Westenholte-Stins,Westenholte
8011BB,Zwolle,Zolder,2024-03-18,1000.0,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),nee,nee,Kamperpoort,Kamperpoort-Veerallee
8017AR,Zwolle,Dak Gevel Ramen Vloer,2024-03-18,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Schelle,Schelle
8042GM,Zwolle,Dak Gevel Ramen Zolder,2024-03-20,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Westenholte-Stins,Westenholte
8031JP,Zwolle,Gevel Vloer Zolder,2024-03-27,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8026PL,Zwolle,Dak Zolder,2024-03-30,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Wijthmen,Marsweteringlanden
8013TB,Zwolle,Dak Gevel Vloer Zolder,2024-04-02,1000.0,Dakisolatie buitenzijde (meer dan 20 m2),nee,nee,Pierik,Assendorp
8016BL,Zwolle,Dak Ramen Vloer Zolder,2024-04-12,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oldenelerbroek,Schelle
8042CS,Zwolle,Gevel Vloer,2024-04-14,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Westenholte,Westenholte
8013SX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-15,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Pierik,Assendorp
8023TW,Zwolle,Dak Ramen Vloer Zolder,2024-04-15,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8031JN,Zwolle,Gevel Ramen Zolder,2024-04-18,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Holtenbroek II,Holtenbroek
8011JT,Zwolle,Dak Gevel Ramen Zolder,2024-04-19,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8014AN,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-19,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Ittersum,Ittersum
8022RB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-22,1000.0,Dakisolatie buitenzijde (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
8012XK,Zwolle,Dak Gevel Vloer Zolder,2024-04-23,1000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8023VL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-26,1000.0,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8012TN,Zwolle,Gevel Ramen,2024-04-27,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,ja,Oud-Assendorp,Assendorp
8031JH,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-01,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8031JH,Zwolle,Gevel Ramen Vloer,2024-05-01,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8031JH,Zwolle,Dak Gevel Ramen Vloer,2024-05-01,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Holtenbroek II,Holtenbroek
8021DP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-06,1000.0,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8012VZ,Zwolle,Dak Gevel Ramen Zolder,2024-05-07,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8012CR,Zwolle,Dak Gevel Ramen Zolder,2024-05-11,1000.0,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8022RA,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-15,1000.0,Dakisolatie buitenzijde (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
8012DX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-15,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Nieuw-Assendorp,Assendorp
8033DH,Zwolle,Dak Gevel Ramen Zolder,2024-05-20,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Oost,Aa-landen
8012VK,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-06-03,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8023TV,Zwolle,Gevel Ramen Vloer,2024-06-03,1000.0,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8014LG,Zwolle,Dak Gevel Vloer Zolder,2024-06-05,1000.0,Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Gerenbroek,Ittersum
8014PN,Zwolle,Dak Gevel Ramen Zolder,2024-06-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Ittersumerlanden,Ittersum
8014CE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-06-14,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,ja,Gerenlanden,Ittersum
8042HX,Zwolle,Dak,2024-06-26,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Westenholte-Stins,Westenholte
8012VP,Zwolle,Dak Gevel Ramen Zolder,2024-06-27,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8033BM,Zwolle,Dak Gevel Zolder,2024-06-28,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Oost,Aa-landen
8016AW,Zwolle,Dak Gevel Ramen Vloer,2024-07-06,1000.0,Bodemisolatie (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Oldenelerlanden-Oost,Schelle
8021VX,Zwolle,Dak Vloer,2024-07-07,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Bollebieste,Diezerpoort
8042HS,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-07-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Westenholte-Stins,Westenholte
8013TE,Zwolle,Dak Gevel Ramen Zolder,2024-07-08,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Pierik,Assendorp
8026PL,Zwolle,Dak Gevel Zolder,2024-07-10,1000.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Wijthmen,Marsweteringlanden
8013TE,Zwolle,Dak Gevel Ramen Vloer,2024-07-11,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Pierik,Assendorp
8023TT,Zwolle,Gevel Vloer,2024-07-14,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8032AA,Zwolle,Gevel Ramen Vloer,2024-07-14,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8012WC,Zwolle,Gevel Ramen Vloer Zolder,2024-07-18,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8022PA,Zwolle,Dak Gevel Ramen Zolder,2024-07-18,1000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Indischebuurt,Diezerpoort
