Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Katerveer-Engelse werk,14,0.8,0.4,0.8,0.62,0.22,0.0,0.0,2015
Oud-Ittersum,24,1.5,0.8,1.4,0.62,0.22,0.0,0.0,2015
Ittersumerlanden,54,4.5,2.4,3,0.62,0.22,0.0,0.0,2015
Ittersumerbroek,35,2.9,1.5,2,0.62,0.22,0.0,0.0,2015
Geren,11,1.0,0.5,0.6,0.62,0.22,0.0,0.0,2015
Gerenlanden,53,3.9,2.1,3,0.62,0.22,0.0,0.0,2015
Gerenbroek,46,3.7,2.0,2.6,0.62,0.22,0.0,0.0,2015
Oude Mars,1,0.1,0.0,0,0.62,0.22,0.0,0.0,2015
Windesheim,8,0.5,0.3,0.4,0.62,0.22,0.0,0.0,2015
Harculo en Hoog-Zuthem,9,0.5,0.3,0.5,0.62,0.22,0.0,0.0,2015
Binnenstad-Zuid,52,3.0,1.4,2.9,0.64,0.2,0.0,?,2016
Binnenstad-Noord,17,1.1,0.5,0.9,0.64,0.2,0.0,?,2016
Noordereiland,11,0.7,0.4,0.6,0.64,0.2,0.0,?,2016
Het Noorden,27,1.5,0.8,1.5,0.64,0.2,0.0,5,2016
Schildersbuurt,5,0.4,0.2,0.3,0.64,0.2,0.0,?,2016
Bollebieste,33,1.9,0.9,1.8,0.64,0.2,0.0,65,2016
Dieze-Centrum,20,1.3,0.6,1.1,0.64,0.2,0.0,5,2016
Bagijneweide,15,1.1,0.5,0.9,0.64,0.2,0.0,10,2016
Hogenkamp,60,3.6,1.8,3.4,0.64,0.2,0.0,85,2016
Indischebuurt,17,1.2,0.6,1,0.64,0.2,0.0,45,2016
Meppelerstraatweg-Zuid,6,0.4,0.2,0.3,0.64,0.2,0.0,?,2016
Bedrijventerrein Floresstraat,5,0.4,0.2,0.3,0.64,0.2,0.0,?,2016
Wipstrik-Noord,63,3.6,1.8,3.5,0.64,0.2,0.0,80,2016
Wipstrik-Zuid,65,4.3,2.1,3.7,0.64,0.2,0.0,55,2016
Stationsbuurt,28,1.6,0.8,1.6,0.64,0.2,0.0,25,2016
Oud-Assendorp,77,4.5,2.2,4.3,0.64,0.2,0.0,85,2016
Nieuw-Assendorp,57,3.2,1.6,3.2,0.64,0.2,0.0,?,2016
Wezenlanden,15,0.8,0.4,0.8,0.64,0.2,0.0,5,2016
Pierik,38,2.3,1.1,2.2,0.64,0.2,0.0,160,2016
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Hanzeland,14,1.2,0.6,0.8,0.64,0.2,0.0,20,2016
Kamperpoort,19,1.5,0.7,1.1,0.64,0.2,0.0,30,2016
Veerallee,33,1.9,0.9,1.9,0.64,0.2,0.0,70,2016
Bedrijventerrein Voorst-A,1,0.1,0.0,0.1,0.64,0.2,0.0,?,2016
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Spoolde,7,0.4,0.2,0.4,0.64,0.2,0.0,15,2016
Oud-Westenholte,40,2.7,1.3,2.3,0.64,0.2,0.0,105,2016
Westenholte-Stins,42,3.1,1.5,2.4,0.64,0.2,0.0,135,2016
Vreugderijk,4,0.3,0.1,0.2,0.64,0.2,0.0,10,2016
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Frankhuis,72,6.4,3.1,4.1,0.64,0.2,0.0,305,2016
Mastenbroek,2,0.0,0.0,0.1,0.64,0.2,0.0,?,2016
Schoonhorst,57,5.0,2.4,3.2,0.64,0.2,0.0,145,2016
Werkeren,48,4.5,2.2,2.7,0.64,0.2,0.0,230,2016
Milligen,77,8.0,3.9,4.4,0.64,0.2,0.0,360,2016
Tippe bij de IJssel,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Breecamp,?,1.3,0.6,?,0.64,0.2,0.0,?,2016
Breezicht,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Stadsbroek,2,0.1,0.1,0.1,0.64,0.2,0.0,5,2016
Holtenbroek IV,51,3.6,1.8,2.9,0.64,0.2,0.0,115,2016
Holtenbroek I,14,2.1,1.0,0.8,0.64,0.2,0.0,215,2016
Holtenbroek II,41,2.6,1.3,2.3,0.64,0.2,0.0,25,2016
Holtenbroek III,42,2.6,1.3,2.4,0.64,0.2,0.0,30,2016
Aa-landen-Zuid,36,2.9,1.4,2,0.64,0.2,0.0,35,2016
Aa-landen-Midden,71,4.2,2.1,4,0.64,0.2,0.0,130,2016
Aa-landen-Noord,72,4.4,2.1,4.1,0.64,0.2,0.0,120,2016
Aa-landen-Oost,59,3.8,1.9,3.3,0.64,0.2,0.0,125,2016
Brinkhoek,24,1.2,0.6,1.3,0.64,0.2,0.0,25,2016
Langenholte,3,0.2,0.1,0.2,0.64,0.2,0.0,5,2016
Haerst,8,0.5,0.2,0.4,0.64,0.2,0.0,10,2016
Berkum,78,4.5,2.2,4.4,0.64,0.2,0.0,175,2016
