buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
binnenstad-zuid,1526,1527,2338,29.0,56.0,70.0,487.0,977.0,321.0,174.0,145.0,63.0,16.0,155,1959,224,35100,8
binnenstad-noord,599,602,838,12.0,10.0,16.0,174.0,380.0,115.0,51.0,59.0,17.0,4.0,38,720,80,32000,10
noordereiland,524,541,867,17.0,16.0,33.0,68.0,238.0,175.0,133.0,137.0,43.0,7.0,66,614,187,46700,6
het noorden,1245,1251,1642,43.0,41.0,22.0,463.0,578.0,217.0,101.0,82.0,69.0,26.0,106,1359,177,25800,19
schildersbuurt,175,175,360,10.0,24.0,18.0,51.0,75.0,74.0,44.0,34.0,28.0,2.0,52,244,64,31200,12
bollebieste,976,976,1626,52.0,100.0,72.0,176.0,451.0,284.0,166.0,147.0,115.0,63.0,224,1077,325,26300,19
dieze-centrum,604,607,1000,25.0,34.0,40.0,186.0,376.0,137.0,94.0,70.0,31.0,7.0,99,793,108,27600,12
bagijneweide,477,489,830,21.0,23.0,24.0,152.0,216.0,125.0,85.0,83.0,70.0,31.0,68,578,184,36700,6
hogenkamp,1985,1994,3365,167.0,231.0,170.0,293.0,1224.0,555.0,253.0,202.0,151.0,119.0,568,2325,472,27000,14
indischebuurt,593,593,1038,44.0,90.0,53.0,142.0,321.0,185.0,91.0,72.0,31.0,9.0,187,739,112,22900,25
meppelerstraatweg-zuid,264,264,372,21.0,19.0,3.0,40.0,185.0,64.0,25.0,12.0,3.0,0.0,43,314,15,22600,18
bedrijventerrein floresstraat,185,186,428,26.0,76.0,24.0,13.0,94.0,122.0,37.0,17.0,16.0,3.0,126,266,36,34400,6
wipstrik-noord,1301,1304,3095,187.0,335.0,229.0,223.0,651.0,640.0,348.0,300.0,136.0,46.0,751,1862,482,43000,2
wipstrik-zuid,1856,1860,3319,125.0,206.0,143.0,226.0,877.0,630.0,373.0,427.0,223.0,89.0,474,2106,739,30500,13
stationsbuurt,574,580,1344,55.0,82.0,75.0,260.0,362.0,214.0,121.0,93.0,54.0,28.0,212,957,175,38200,7
oud-assendorp,2126,2128,4087,161.0,274.0,136.0,801.0,1318.0,727.0,356.0,188.0,94.0,32.0,571,3202,314,31300,7
nieuw-assendorp,1420,1420,3053,165.0,318.0,187.0,409.0,735.0,609.0,295.0,219.0,93.0,23.0,670,2048,335,31800,8
wezenlanden,623,663,1233,37.0,111.0,78.0,77.0,283.0,248.0,147.0,166.0,64.0,22.0,226,755,252,33600,11
pierik,1164,1174,2135,107.0,139.0,129.0,151.0,613.0,461.0,246.0,189.0,87.0,13.0,375,1471,289,27800,13
bedrijventerrein marslanden-noord,0,14,35,0.0,4.0,1.0,8.0,0.0,10.0,10.0,2.0,0.0,0.0,5,28,2,,-
hanzeland,636,636,1130,31.0,35.0,44.0,170.0,320.0,183.0,134.0,117.0,83.0,13.0,110,807,213,36000,5
kamperpoort,1310,1310,2160,57.0,76.0,53.0,348.0,789.0,231.0,199.0,177.0,128.0,102.0,186,1567,407,27700,15
veerallee,683,683,1905,113.0,240.0,161.0,237.0,355.0,407.0,172.0,139.0,50.0,31.0,514,1171,220,43200,3
bedrijventerrein voorst-a,42,42,55,0.0,0.0,0.0,6.0,35.0,9.0,3.0,2.0,0.0,0.0,0,53,2,,-
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-
spoolde,117,117,321,9.0,36.0,30.0,19.0,27.0,79.0,42.0,52.0,23.0,4.0,75,167,79,41800,0
oud-westenholte,1032,1038,2524,130.0,258.0,235.0,209.0,391.0,532.0,293.0,243.0,167.0,66.0,623,1425,476,32100,7
westenholte-stins,1102,1107,2614,82.0,237.0,222.0,199.0,421.0,539.0,419.0,371.0,114.0,10.0,541,1578,495,32200,6
vreugderijk,65,65,181,1.0,16.0,20.0,16.0,14.0,39.0,37.0,21.0,16.0,1.0,37,106,38,,-
bedrijventerrein voorst-c,1,1,4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4,0,,-
bedrijventerrein voorst-d,1,1,4,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,4,0,,-
frankhuis,2317,2363,6649,426.0,902.0,781.0,465.0,1374.0,1811.0,493.0,275.0,95.0,27.0,2109,4143,397,37000,4
mastenbroek,19,19,52,1.0,3.0,5.0,7.0,6.0,8.0,15.0,7.0,0.0,0.0,9,36,7,,-
schoonhorst,1867,1867,4286,205.0,421.0,362.0,337.0,871.0,1064.0,481.0,311.0,185.0,49.0,988,2753,545,34500,5
werkeren,1653,1675,5261,356.0,1037.0,586.0,240.0,1125.0,1340.0,212.0,166.0,109.0,90.0,1979,2917,365,39200,3
milligen,2820,2823,6938,303.0,747.0,703.0,519.0,1188.0,1765.0,700.0,617.0,322.0,74.0,1753,4172,1013,34800,4
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-
breecamp,818,818,2631,243.0,489.0,284.0,150.0,811.0,554.0,85.0,14.0,1.0,0.0,1016,1600,15,36300,5
breezicht,154,154,371,37.0,55.0,36.0,29.0,132.0,62.0,11.0,6.0,3.0,0.0,128,234,9,30300,11
stadsbroek,20,20,56,2.0,1.0,4.0,12.0,4.0,16.0,5.0,8.0,4.0,0.0,7,37,12,,-
holtenbroek iv,1663,1663,3145,87.0,213.0,214.0,310.0,607.0,494.0,362.0,384.0,313.0,161.0,514,1773,858,24500,20
holtenbroek i,892,893,1875,103.0,206.0,150.0,143.0,517.0,392.0,165.0,135.0,57.0,7.0,459,1217,199,32300,8
holtenbroek ii,1379,1382,2613,132.0,250.0,172.0,255.0,863.0,517.0,204.0,129.0,78.0,13.0,554,1839,220,25600,19
holtenbroek iii,1078,1083,2222,89.0,200.0,165.0,226.0,527.0,471.0,281.0,161.0,87.0,15.0,454,1505,263,25900,17
aa-landen-zuid,1046,1046,2173,97.0,156.0,138.0,174.0,386.0,414.0,297.0,251.0,203.0,57.0,391,1271,511,28300,11
aa-landen-midden,2066,2066,3846,128.0,313.0,231.0,190.0,719.0,653.0,449.0,457.0,452.0,254.0,672,2011,1163,28200,12
aa-landen-noord,1593,1597,3823,146.0,387.0,306.0,278.0,507.0,723.0,479.0,582.0,343.0,72.0,839,1987,997,33500,5
aa-landen-oost,1451,1456,3371,135.0,349.0,235.0,185.0,498.0,612.0,498.0,545.0,281.0,33.0,719,1793,859,32100,7
brinkhoek,265,265,643,25.0,39.0,52.0,43.0,52.0,107.0,108.0,114.0,79.0,24.0,116,310,217,67200,0
langenholte,44,44,127,5.0,12.0,7.0,17.0,11.0,24.0,31.0,13.0,6.0,1.0,24,83,20,,-
haerst,108,108,283,10.0,18.0,11.0,28.0,45.0,58.0,55.0,43.0,8.0,7.0,39,186,58,40100,4
berkum,1656,1671,3802,159.0,341.0,259.0,267.0,505.0,686.0,480.0,472.0,396.0,237.0,759,1938,1105,36200,5
bedrijventerrein de vrolijkheid,1,4,8,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1,7,0,,-
veldhoek,105,105,267,8.0,20.0,20.0,27.0,30.0,61.0,37.0,34.0,22.0,8.0,48,155,64,61100,5
kantorenterrein oosterenk,123,123,181,0.0,0.0,7.0,67.0,73.0,15.0,10.0,7.0,2.0,0.0,7,165,9,20200,25
bedrijventerrein hessenpoort,32,32,77,1.0,6.0,5.0,10.0,9.0,18.0,15.0,6.0,6.0,1.0,12,52,13,,-
tolhuislanden,55,55,173,10.0,19.0,15.0,23.0,23.0,34.0,24.0,13.0,12.0,0.0,44,104,25,,-
herfte,141,141,386,9.0,26.0,39.0,43.0,37.0,67.0,80.0,58.0,17.0,10.0,74,227,85,43200,3
bedrijventerrein marslanden-zuid,9,9,171,0.0,2.0,8.0,17.0,70.0,54.0,15.0,3.0,2.0,0.0,10,156,5,,-
wijthmen,247,248,596,15.0,52.0,40.0,57.0,79.0,111.0,111.0,58.0,62.0,11.0,107,358,131,35100,2
oud-schelle,486,486,1423,55.0,197.0,135.0,130.0,181.0,337.0,181.0,123.0,63.0,21.0,387,829,207,43900,1
schellerhoek,370,373,976,43.0,86.0,85.0,76.0,144.0,223.0,223.0,83.0,11.0,2.0,214,666,96,41700,1
schellerbroek,695,695,1453,50.0,99.0,81.0,140.0,267.0,250.0,258.0,192.0,88.0,28.0,230,915,308,35700,8
schellerlanden,1194,1202,2616,74.0,220.0,145.0,171.0,310.0,420.0,598.0,450.0,178.0,50.0,439,1499,678,34700,5
oldenelerlanden-oost,1005,1005,2386,111.0,236.0,188.0,157.0,469.0,439.0,429.0,270.0,72.0,15.0,535,1494,357,33200,6
oldenelerlanden-west,568,568,1437,59.0,146.0,112.0,110.0,208.0,292.0,322.0,148.0,36.0,4.0,317,932,188,40200,5
oldenelerbroek,1452,1457,3238,98.0,239.0,262.0,290.0,474.0,704.0,588.0,379.0,162.0,42.0,599,2056,583,35300,6
schelle-zuid en oldeneel,68,68,173,0.0,8.0,21.0,18.0,6.0,30.0,37.0,27.0,23.0,3.0,29,91,53,,-
katerveer-engelse werk,202,207,659,7.0,62.0,74.0,63.0,40.0,160.0,91.0,58.0,49.0,55.0,143,354,162,59200,2
oud-ittersum,578,578,1466,78.0,162.0,96.0,109.0,256.0,301.0,183.0,150.0,93.0,38.0,336,849,281,34900,3
ittersumerlanden,1874,1874,3794,190.0,298.0,224.0,230.0,843.0,645.0,533.0,405.0,267.0,159.0,712,2251,831,28500,11
ittersumerbroek,981,1006,2311,77.0,172.0,171.0,219.0,313.0,504.0,465.0,256.0,109.0,25.0,420,1501,390,34600,7
geren,450,453,797,27.0,31.0,46.0,122.0,222.0,170.0,96.0,51.0,27.0,5.0,104,610,83,26100,17
gerenlanden,1222,1222,3067,126.0,319.0,249.0,269.0,536.0,617.0,478.0,354.0,100.0,19.0,694,1900,473,35300,3
gerenbroek,1192,1192,3076,133.0,315.0,287.0,217.0,519.0,640.0,541.0,346.0,74.0,4.0,735,1917,424,34900,3
oude mars,29,29,130,0.0,21.0,15.0,8.0,2.0,41.0,35.0,8.0,0.0,0.0,36,86,8,,-
windesheim,155,155,397,21.0,50.0,18.0,33.0,70.0,83.0,57.0,39.0,26.0,0.0,89,243,65,34900,3
harculo en hoog-zuthem,141,141,509,9.0,33.0,34.0,37.0,25.0,87.0,114.0,86.0,45.0,39.0,76,263,170,42200,0
