buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
binnenstad-zuid,1464,1465,2296,33.0,60.0,74.0,458.0,977.0,317.0,168.0,143.0,51.0,15.0,167,1920,209,36300,9
binnenstad-noord,577,580,847,13.0,15.0,12.0,148.0,396.0,123.0,56.0,64.0,16.0,4.0,40,723,84,30000,9
noordereiland,407,426,704,14.0,22.0,27.0,67.0,175.0,154.0,101.0,105.0,29.0,10.0,63,497,144,41500,8
het noorden,1050,1054,1451,43.0,48.0,19.0,400.0,484.0,194.0,89.0,77.0,74.0,23.0,110,1167,174,23100,21
schildersbuurt,174,174,357,12.0,24.0,19.0,48.0,75.0,75.0,43.0,35.0,25.0,1.0,55,241,61,27600,11
bollebieste,976,976,1724,60.0,118.0,89.0,188.0,466.0,304.0,169.0,150.0,118.0,62.0,267,1127,330,22600,20
dieze-centrum,577,579,958,24.0,45.0,37.0,169.0,334.0,151.0,97.0,61.0,32.0,8.0,106,751,101,26000,12
bagijneweide,454,466,831,19.0,28.0,27.0,152.0,203.0,126.0,88.0,87.0,74.0,27.0,74,569,188,35500,5
hogenkamp,1967,1975,3128,164.0,208.0,133.0,281.0,1161.0,514.0,227.0,163.0,152.0,125.0,505,2183,440,24400,15
indischebuurt,581,581,1044,45.0,94.0,53.0,129.0,327.0,194.0,84.0,76.0,33.0,9.0,192,734,118,20900,24
