postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011CD,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011CD,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,53.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,30.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,52.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,20.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,35.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,2.0,,95.0,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011CE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011CG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,56.0,
8011CJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011CJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,48.0,
8011CJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8011CJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8011CK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Warmtepomp,Lucht-water >= 3,,,,
8011CK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8011CM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 3,,,,
