postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8013AH,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,40.0,
8013AH,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,34.0,
8013AH,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013AH,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013SX,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Dakisolatie,Dakisolatie,1.0,,25.0,
8013SX,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013SX,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,40.0,
8013SX,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8013SX,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,48.0,
8013TA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,47.0,
8013TA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,140.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,90.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Vloerisolatie,Bodemisolatie,1.0,,38.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,25.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,30.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,3.0,,198.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,42.0,
8013TB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,33.0,
8013TE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,60.0,
8013TJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,135.0,
8013TJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,2.0,,58.0,
8013TJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8013TJ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8013TK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8013TK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,193.0,
8013TK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,80.0,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,32.0,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,37.0,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,52.0,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,25.0,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Vloerisolatie,Bodemisolatie,1.0,,40.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,32.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,3.0,,123.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Bodemisolatie,1.0,,28.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,2.0,,88.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,44.0,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TM,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,33.0,
8013TN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Dakisolatie,Dakisolatie,1.0,,80.0,
8013TN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Vloerisolatie,Vloerisolatie,1.0,,41.0,
8013TN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,30.0,
8013TN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,38.0,
8013TN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,45.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,45.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,36.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Bodemisolatie,1.0,,35.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,34.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,21.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,115.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8013TP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013TR,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,24.0,
8013TR,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8013XH,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8013XL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,23.0,
8013XL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,25.0,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,10.0,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,2.0,,62.0,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,50.0,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,50.0,
8013XN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,2.0,,82.0,
8013XP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,47.0,
8013XP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,32.0,
8013XP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8013XP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013XR,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8013XR,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013XS,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XS,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,35.0,
8013XS,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013XT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8013XT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,4.0,,176.0,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Vloerisolatie,Vloerisolatie,4.0,,145.0,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,3.0,,81.0,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,3.0,,106.0,
8013XV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,39.0,
8013XW,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,31.0,
8013XW,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8013XW,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8013XW,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,110.0,
8013XZ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XZ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013XZ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,45.0,
8013XZ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8013XZ,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8013ZA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,65.0,
8013ZA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,28.0,
8013ZA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,62.0,
8013ZB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,60.0,
8013ZB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2021.0,Vloerisolatie,Bodemisolatie,1.0,,42.0,
8013ZB,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,38.0,
8013ZC,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8013ZC,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Pierik,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,70.0,
8014AB,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8014AB,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,30.0,
8014AB,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,71.0,
8014AB,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,50.0,
8014AB,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8014AC,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2021.0,Warmtepomp,Lucht-water >= 3,,,,
8014AC,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2025.0,Warmtepomp,Lucht-water >= 3,,,,
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,148.0,
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water >= 3,,,,
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,90.0,
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8014AD,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AE,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8014AE,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Gerenlanden,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,3.0,,348.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,95.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,170.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,2.0,,152.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,42.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,111.0,
8014AG,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,53.0,
8014AH,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,104.0,
8014AH,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2022.0,Vloerisolatie,Bodemisolatie,1.0,,50.0,
8014AH,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,120.0,
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,100.0,
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Glasisolatie,Triple glas U <= 0,,,,
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,110.0,
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,2.0,0.0,,2.0
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Zonneboiler,> 5 m2 en <= 10 m2,1.0,,,1.0
8014AJ,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2025.0,Warmtepomp,Lucht-water >= 3,,,,
8014AK,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AL,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Ittersumerlanden,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AL,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Ittersumerlanden,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,44.0,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2021.0,Vloerisolatie,Bodemisolatie,1.0,,39.0,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,86.0,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,82.0,
8014AM,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,37.0,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2021.0,Dakisolatie,Dakisolatie,1.0,,50.0,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2021.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,72.0,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,12.0,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Glasisolatie,Triple glas U <= 0,,,,
8014AN,ZWOLLE,Zwolle,193.0,Wijk 51 Ittersum,Oud-Ittersum,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,54.0,
