buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
binnenstad-zuid,1298,1299,2143,40.0,58.0,49.0,431.0,912.0,305.0,164.0,130.0,46.0,8.0,147,1812,184,30400,10
binnenstad-noord,563,565,838,16.0,8.0,12.0,173.0,370.0,116.0,58.0,66.0,17.0,2.0,36,717,85,27800,12
noordereiland,321,341,545,16.0,21.0,20.0,48.0,145.0,103.0,80.0,76.0,25.0,11.0,57,376,112,31800,11
het noorden,1029,1034,1489,51.0,48.0,22.0,455.0,451.0,190.0,94.0,82.0,72.0,24.0,121,1190,178,21600,19
schildersbuurt,175,175,393,24.0,35.0,18.0,40.0,92.0,84.0,39.0,39.0,20.0,2.0,77,255,61,25200,14
bollebieste,938,938,1738,60.0,150.0,88.0,193.0,451.0,316.0,165.0,146.0,107.0,62.0,298,1125,315,20800,21
dieze-centrum,548,550,1003,41.0,55.0,33.0,204.0,297.0,161.0,101.0,62.0,41.0,8.0,129,763,111,23700,13
bagijneweide,401,413,759,23.0,20.0,29.0,135.0,166.0,133.0,80.0,73.0,69.0,31.0,72,514,173,31200,7
hogenkamp,1911,1920,3011,139.0,187.0,100.0,299.0,1175.0,474.0,194.0,161.0,151.0,131.0,426,2142,443,22000,18
indischebuurt,578,578,1056,51.0,83.0,37.0,169.0,329.0,181.0,90.0,70.0,31.0,15.0,171,769,116,19600,24
meppelerstraatweg-zuid,264,264,374,16.0,14.0,6.0,47.0,182.0,67.0,26.0,11.0,4.0,1.0,36,322,16,19700,18
bedrijventerrein floresstraat,185,186,431,59.0,53.0,11.0,14.0,158.0,80.0,25.0,17.0,14.0,0.0,123,277,31,29400,3
wipstrik-noord,1296,1299,3078,178.0,357.0,229.0,222.0,618.0,654.0,370.0,260.0,141.0,49.0,764,1864,450,35700,3
wipstrik-zuid,1850,1854,3393,153.0,222.0,178.0,263.0,866.0,662.0,379.0,343.0,220.0,107.0,553,2170,670,25700,12
stationsbuurt,567,573,1406,81.0,107.0,70.0,299.0,348.0,220.0,119.0,90.0,42.0,30.0,258,986,162,31500,10
oud-assendorp,1986,1988,4275,229.0,269.0,146.0,949.0,1383.0,717.0,255.0,152.0,94.0,81.0,644,3304,327,26700,8
nieuw-assendorp,1408,1408,3181,207.0,354.0,178.0,421.0,796.0,637.0,279.0,190.0,90.0,29.0,739,2133,309,26500,9
wezenlanden,341,379,628,20.0,43.0,24.0,28.0,105.0,124.0,99.0,113.0,49.0,23.0,87,356,185,24100,15
