datum_afspraak_coachgesprek,postcode,telling,valid_postcode,latitude,longitude
2023-09-20,8032DT,100,True,52.5286159,6.0996335
2023-09-22,8022BC,101,True,52.5231648,6.1150093
2023-09-28,8032AH,102,True,52.5250269,6.1016904
2023-02-10,8032GN,103,True,52.5310689,6.0997949
2023-11-10,8014PA,104,True,52.4777946,6.1146912
2023-10-13,8012XS,105,True,52.5027033,6.1085959
2023-10-16,8033CK,106,True,52.5370245,6.1110081
2023-10-17,8016GC,107,True,52.4884728,6.097649
2023-10-20,8012CW,108,True,52.5017274,6.1055553
2023-10-24,8017NM,109,True,52.4946295,6.0935105
2023-10-27,8032ZJ,110,True,52.5351028,6.0963389
2023-10-27,8012VH,111,True,52.5073158,6.1021295
2023-10-30,8014TM,112,True,52.4796201,6.1153052
2023-10-30,8032KX,113,True,52.530026,6.1066131
2023-10-31,8032EE,114,True,52.5291783,6.0980919
2023-03-11,8032TV,115,True,52.5376908,6.1001862
2023-05-11,8031JM,116,True,52.5275855,6.0795714
2023-10-11,8031JB,117,True,52.5287223,6.0766909
2023-11-14,8014ZG,118,True,52.4865412,6.1068912
2023-11-14,8033AB,119,True,52.5320098,6.1097449
2023-11-14,8032GA,120,True,52.5301649,6.0980251
2023-11-14,8032GA,121,True,52.5301649,6.0980251
2023-11-15,8043TW,122,True,52.5384534,6.034907
2023-11-16,8033BZ,123,True,52.5303551,6.1123856
2023-11-21,8042GL,124,True,52.5207424,6.0422138
2023-11-24,8043RW,125,True,52.534286,6.044883
2023-11-24,8013TB,126,True,52.4999865,6.1122687
2023-11-25,8032AH,127,True,52.5250269,6.1016904
2023-11-28,8042AB,128,True,52.5250126,6.0511787
2023-11-29,8017BB,129,True,52.4983143,6.1006427
2023-11-30,8031ZP,130,True,52.5235997,6.0847093
2023-02-12,8032CK,131,True,52.5271189,6.1114173
2023-05-12,8032CJ,132,True,52.527199,6.1098112
2023-07-12,8032KM,133,True,52.5340347,6.1055211
2023-08-12,8031EW,134,True,52.5237677,6.0837597
2023-08-12,8031AV,135,True,52.5225092,6.0874641
2023-12-13,8042AM,136,True,52.5253416,6.047395
2023-12-15,8033CP,137,True,52.5380619,6.1107298
2023-12-18,8032KM,138,True,52.5340347,6.1055211
2023-12-20,8043KP,139,True,52.5378479,6.0547377
2023-12-20,8032NK,140,True,52.5399882,6.0964488
2023-12-21,8033EB,141,True,52.537103,6.1079581
2023-12-22,8011AP,142,True,52.5120925,6.082826
2023-12-22,8031JH,143,True,52.5288043,6.077953
2023-12-23,8031AV,144,True,52.5225092,6.0874641
2023-12-27,8032LM,145,True,52.5374576,6.0904342
2024-03-01,8042BB,1,True,52.5255303,6.0478379
2024-05-01,8023AG,2,True,52.5148955,6.1109438
2024-08-01,8016BC,3,True,52.4818513,6.1048309
2024-09-01,3851BK,4,True,52.2896204,5.6123641
2024-10-01,8042AX,5,True,52.5210336,6.0528123
2024-11-01,8033DM,6,True,52.5385115,6.1059557
2024-12-01,8014CA,7,True,52.4919398,6.1093236
2024-12-01,8042AL,8,True,52.5252461,6.0464971
2024-12-01,8033CG,9,True,52.5373623,6.1107194
2024-12-01,8042MH,10,True,52.5164068,6.0465371
2024-01-15,8017DM,11,True,52.4976045,6.0868285
2024-01-15,8016LM,12,True,52.4765285,6.10261
2024-01-16,8013AH,13,True,52.5032632,6.1123973
2024-01-16,8012WK,14,True,52.5051435,6.0972251
2024-01-17,8043ZW,15,True,52.5271382,6.0694185
2024-01-19,8032AE,16,True,52.5249491,6.1009737
2024-01-22,8017DM,17,True,52.4976045,6.0868285
2024-01-22,8032LN,18,True,52.5383571,6.0919707
2024-01-23,8016MG,19,True,52.4750909,6.1085428
2024-01-26,8023AJ,20,True,52.5161784,6.1130241
2024-01-27,8032CC,21,True,52.5284838,6.1107889
2024-01-29,8016LL,22,True,52.4777643,6.1050875
2024-01-30,8033DC,23,True,52.5391393,6.1097464
2024-01-02,8032CV,24,True,52.527538,6.1091701
2024-08-02,8012DT,25,True,52.5058385,6.1030115
2024-09-02,8016MK,26,True,52.4731419,6.1076891
2024-09-02,8031PA,27,True,52.5233716,6.0803375
2024-12-02,8032XG,28,True,52.5347898,6.0921179
2024-02-13,8031ZG,29,True,52.5245463,6.0877847
2024-02-13,8014SB,30,True,52.4780609,6.1107254
2024-02-16,8032TX,31,True,52.5370732,6.1002627
2024-02-18,8043KE,32,True,52.5353451,6.0541796
2024-02-20,8017LV,33,True,52.4924456,6.0994224
2024-02-20,8012AE,34,True,52.5012449,6.1047147
2024-02-20,8012VZ,35,True,52.5039554,6.1002554
2024-02-20,8023CW,36,True,52.5133261,6.1141672
2024-02-22,8042GZ,37,True,52.5220243,6.0456937
2024-02-23,8016MA,38,True,52.4771496,6.109162
2024-02-27,8015BL,39,True,52.4748331,6.1190883
2024-02-27,8012AE,40,True,52.5012449,6.1047147
2024-02-27,8012XH,41,True,52.5014882,6.1086092
2024-02-27,8032EL,42,True,52.5305795,6.0952832
2024-02-28,8031JL,43,True,52.5289197,6.0785901
2024-02-28,8021DP,44,True,52.5180423,6.0922785
2024-02-28,8032EJ,45,True,52.53002,6.0941405
2024-02-28,8042AV,46,True,52.5221021,6.0493127
2024-02-29,8031ZV,47,True,52.5243314,6.0846825
2024-01-03,8043EW,48,True,52.5351163,6.0613167
2024-01-03,8017AV,49,True,52.4948514,6.1017998
2024-01-03,8023TT,50,True,52.5126457,6.1093774
2024-04-03,8033CJ,51,True,52.5368448,6.1096449
2024-04-03,8032AL,52,True,52.5258699,6.1019723
2024-05-03,8014DE,53,True,52.4890462,6.1134098
2024-05-03,8032ND,54,True,52.5398488,6.0938776
2024-06-03,8015DX,55,True,52.4775012,6.1161864
2024-06-03,8012ES,56,True,52.5052673,6.109725
2024-06-03,8033DM,57,True,52.5385115,6.1059557
2024-07-03,8011GP,58,True,52.5054649,6.0937648
2024-08-03,8016LE,59,True,52.4772003,6.103201
2024-08-03,8017DA,60,True,52.4990684,6.084111
2024-08-03,8033BT,61,True,52.5357774,6.1132811
2024-11-03,8012TT,62,True,52.5074299,6.0987797
2024-12-03,8023TT,63,True,52.5126457,6.1093774
2024-03-14,8012XG,64,True,52.5014778,6.1081823
2024-03-14,8012XG,65,True,52.5014778,6.1081823
2024-03-15,8012XG,66,True,52.5014778,6.1081823
2024-03-18,8033AX,67,True,52.5350844,6.1115039
