buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
binnenstad-zuid,1327,1328,2175,38.0,68.0,51.0,417.0,920.0,314.0,169.0,139.0,46.0,13.0,157,1820,198,32400,9
binnenstad-noord,559,562,830,14.0,8.0,3.0,160.0,381.0,120.0,55.0,68.0,19.0,2.0,25,716,89,29500,11
noordereiland,353,373,582,12.0,22.0,18.0,49.0,140.0,118.0,93.0,96.0,26.0,8.0,52,400,130,34400,8
het noorden,1029,1034,1498,45.0,45.0,23.0,460.0,453.0,195.0,98.0,78.0,79.0,22.0,113,1206,179,21900,21
schildersbuurt,175,175,362,14.0,32.0,16.0,39.0,76.0,83.0,42.0,36.0,22.0,2.0,62,240,60,26700,12
bollebieste,940,940,1734,60.0,149.0,84.0,173.0,477.0,320.0,166.0,133.0,113.0,59.0,293,1136,305,21600,19
dieze-centrum,549,550,958,22.0,44.0,35.0,199.0,292.0,159.0,97.0,67.0,34.0,9.0,101,747,110,24300,12
bagijneweide,421,434,806,21.0,29.0,26.0,151.0,179.0,134.0,81.0,83.0,68.0,34.0,76,545,185,31500,5
hogenkamp,1912,1921,3121,155.0,206.0,120.0,328.0,1169.0,491.0,213.0,156.0,153.0,130.0,481,2201,439,22600,16
indischebuurt,578,578,1050,51.0,85.0,49.0,139.0,335.0,183.0,93.0,71.0,31.0,13.0,185,750,115,19600,25
meppelerstraatweg-zuid,264,264,368,14.0,17.0,8.0,33.0,188.0,68.0,25.0,11.0,3.0,1.0,39,314,15,19900,16
bedrijventerrein floresstraat,185,186,440,49.0,70.0,13.0,11.0,150.0,90.0,27.0,17.0,13.0,0.0,132,278,30,32600,3
wipstrik-noord,1296,1299,3091,190.0,350.0,223.0,223.0,638.0,646.0,363.0,282.0,123.0,53.0,763,1870,458,36300,2
wipstrik-zuid,1857,1861,3405,145.0,225.0,170.0,277.0,873.0,640.0,390.0,362.0,220.0,103.0,540,2180,685,26500,13
stationsbuurt,563,569,1391,75.0,105.0,75.0,292.0,341.0,233.0,107.0,86.0,45.0,32.0,255,973,163,32500,11
oud-assendorp,2095,2097,4166,205.0,253.0,145.0,922.0,1333.0,709.0,286.0,154.0,83.0,76.0,603,3250,313,27300,7
nieuw-assendorp,1408,1408,3172,202.0,336.0,182.0,439.0,787.0,632.0,279.0,198.0,89.0,28.0,720,2137,315,27000,9
wezenlanden,340,381,631,16.0,47.0,29.0,31.0,105.0,128.0,103.0,107.0,42.0,23.0,92,367,172,24600,16
pierik,1135,1146,2185,106.0,195.0,123.0,135.0,619.0,472.0,258.0,198.0,64.0,15.0,424,1484,277,24000,14
bedrijventerrein marslanden-noord,0,13,32,0.0,2.0,7.0,4.0,2.0,12.0,5.0,0.0,0.0,0.0,9,23,0,,-
hanzeland,522,522,999,26.0,50.0,62.0,133.0,214.0,207.0,116.0,116.0,56.0,19.0,138,670,191,32300,4
kamperpoort,750,750,1380,39.0,56.0,50.0,239.0,366.0,175.0,118.0,114.0,96.0,127.0,145,898,337,22000,20
veerallee,598,598,1610,85.0,176.0,144.0,234.0,291.0,337.0,148.0,110.0,62.0,23.0,405,1010,195,38500,5
bedrijventerrein voorst-a,43,43,61,1.0,1.0,0.0,13.0,33.0,10.0,3.0,0.0,0.0,0.0,2,59,0,,-
bedrijventerrein voorst-b,0,0,8,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,8,0,,-
spoolde,115,115,296,6.0,27.0,29.0,18.0,19.0,77.0,52.0,52.0,14.0,2.0,62,166,68,34400,4
oud-westenholte,975,981,2451,126.0,285.0,204.0,180.0,456.0,468.0,303.0,218.0,158.0,53.0,615,1407,429,28600,6
westenholte-stins,1101,1106,2728,119.0,291.0,233.0,206.0,444.0,591.0,462.0,297.0,75.0,10.0,643,1703,382,27900,6
