datum_afspraak_coachgesprek,postcode,telling,valid_postcode
2024-04-03,8032AL,52,True
2024-05-03,8014DE,53,True
2024-05-03,8032ND,54,True
2024-06-03,8015DX,55,True
2024-06-03,8012ES,56,True
2024-06-03,8033DM,57,True
2024-07-03,8011GP,58,True
2024-08-03,8016LE,59,True
2024-08-03,8017DA,60,True
2024-08-03,8033BT,61,True
2024-11-03,8012TT,62,True
2024-12-03,8023TT,63,True
2024-03-14,8012XG,64,True
2024-03-14,8012XG,65,True
2024-03-15,8012XG,66,True
2024-03-18,8033AX,67,True
2024-03-20,8032MP,68,True
2024-03-21,8016HK,69,True
2024-03-23,8014MK,70,True
2024-03-28,8042AD,71,True
2024-03-28,8224HP,72,True
2024-03-30,8033DG,73,True
2024-04-04,8012CR,74,True
2024-08-04,8014PP,75,True
2024-09-04,8013AD,76,True
2024-11-04,8033CL,77,True
2024-11-04,8033AG,78,True
2024-12-04,8023AZ,79,True
2024-04-15,8031TN,80,True
2024-04-17,8016BK,81,True
2024-04-17,8017MR,82,True
2024-04-17,8012DT,83,True
2024-04-19,8012CX,84,True
2024-04-24,8017BG,85,True
2024-04-24,8023BG,86,True
2024-04-30,8031KL,87,True
2024-08-05,8011VX,88,True
2024-05-15,8031GB,89,True
2024-04-06,8033DW,90,True
2024-05-06,8016BL,91,True
2024-05-06,8011CV,92,True
2024-10-06,8015BV,93,True
2024-12-06,8023VA,94,True
2024-06-14,8033CC,95,True
2024-06-20,8012CS,96,True
2024-06-26,8014ZD,97,True
2024-05-07,8023TX,98,True
2024-09-07,8043XG,99,True
2024-09-07,8033BH,100,True
2024-10-07,8032TV,101,True
2024-12-08,8032NJ,102,True
2024-08-19,8043VD,103,True
2024-08-19,8031DK,104,True
2024-08-30,8033DM,105,True
2024-10-09,8012EA,106,True
2024-11-09,8023AR,107,True
2024-09-13,8043XW,108,True
2024-09-13,8011GL,109,True
2024-09-13,8023AZ,110,True
2024-09-20,8032XK,111,True
2024-09-21,8016AV,112,True
2024-09-25,8014ZB,113,True
2024-09-25,8023DP,114,True
2024-09-27,8032XK,115,True
2024-10-10,8032TB,116,True
2024-10-16,8012AE,117,True
2024-10-17,8012VN,118,True
2024-10-21,8014PR,119,True
2024-10-23,8014BA,120,True
2024-10-23,8014EM,121,True
2024-10-24,8033DJ,122,True
2024-10-25,8031JH,123,True
2024-10-28,8032CW,124,True
2024-10-28,8014DA,125,True
2024-10-30,8042EZ,126,True
2024-10-30,8033DA,127,True
2024-04-11,8043XW,128,True
2024-04-11,8012DW,129,True
2024-05-11,8014CG,130,True
2024-06-11,8032TB,131,True
2024-06-11,8033DJ,132,True
2024-08-11,8033BE,133,True
2024-09-11,8019AT,134,True
2024-12-11,8032XD,135,True
2024-11-13,8013AE,136,True
2024-11-14,8043XL,137,True
2024-11-18,8015AL,138,True
2024-11-18,8031JR,139,True
2024-11-19,8032XM,140,True
2024-11-20,8012WV,141,True
2024-11-21,8032KM,142,True
2024-11-21,8032ZL,143,True
2024-11-22,8032XK,144,True
2024-11-22,8032LA,145,True
2024-11-22,8012XA,146,True
2024-11-25,8043AT,147,True
2024-11-26,8023CP,148,True
2024-11-26,8031WL,149,True
2024-11-27,8033GB,150,True
2024-11-29,8023DA,151,True
2024-11-29,8032HX,152,True
2024-03-12,8032CW,153,True
2024-05-12,8042ME,154,True
2024-06-12,8032XD,155,True
2024-09-12,8042GZ,156,True
2024-12-12,8017JB,157,True
2024-12-13,8012EH,158,True
2024-12-16,8032XX,159,True
2024-12-17,8032AJ,160,True
2024-12-19,8032ET,161,True
2024-12-19,8032EK,162,True
2024-12-22,8043NX,163,True
2024-12-23,8031KW,164,True
2024-12-28,8033AA,165,True
2024-12-30,8032AL,166,True
2024-12-30,8033BK,167,True
