Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Spoolde,7,0.2,0.4,0.2,0.2,0.4,0.4,0.68,0.21,112,1,25,95,826,0.0,22%,120,310,28200,72900
Oud-Westenholte,42,1.3,2.7,1.3,1.2,2.4,2.3,0.68,0.21,955,30,145,430,428,0.0,14%,1015,2510,22900,56600
Westenholte-Stins,41,1.3,2.9,1.3,1.2,2.3,2.2,0.68,0.21,1100,0,205,515,468,0.0,19%,1110,2700,23000,55900
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,0.68,0.21,63,1,10,40,615,0.0,15%,65,185,30500,86800
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,?,?,?,?,?,0.0,?,0,5,?,?
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,?,?,?,?,?,0.0,?,0,5,?,?
Frankhuis,73,2.2,6.5,2.3,2.8,4.2,4.0,0.68,0.21,2025,156,620,1670,751,0.0,28%,2250,6510,25300,73200
Mastenbroek,2,0.0,0.1,0.1,0.0,0.1,0.1,0.68,0.21,19,0,0,0,0,0.0,0%,20,55,?,?
Schoonhorst,57,1.7,4.8,1.8,2.0,3.2,3.1,0.68,0.21,1865,0,220,710,381,0.0,12%,1850,4370,25900,61200
Werkeren,52,1.6,4.3,1.6,1.8,2.9,2.8,0.68,0.21,1411,14,0,0,0,0.0,0%,1485,4715,26100,82900
Milligen,79,2.4,7.7,2.5,3.3,4.5,4.3,0.68,0.21,2501,56,365,1080,384,0.0,13%,2785,7110,26200,66900
Tippe bij de IJssel,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,?,?,?,?,?,0.0,?,5,5,?,?
Breecamp,?,0.0,1.5,?,0.6,?,0.0,0.68,0.21,5,25,225,830,1694,0.0,46%,495,1475,23400,69700
Breezicht,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,5,0,0,0,0,0.0,0%,5,10,?,?
Stadsbroek,1,0.0,0.1,0,0.0,0.1,0.1,0.68,0.21,19,0,5,20,1000,0.0,25%,20,50,?,?
Holtenbroek IV,54,1.6,3.5,1.7,1.5,3.1,2.9,0.68,0.21,1409,194,70,260,160,0.0,4%,1725,3125,19100,34600
Holtenbroek I,14,0.4,2.1,0.4,0.9,0.8,0.8,0.68,0.21,543,0,230,350,393,0.0,26%,885,1865,25200,53100
Holtenbroek II,45,1.4,2.6,1.4,1.1,2.6,2.5,0.68,0.21,1335,0,185,435,326,0.0,14%,1380,2670,19100,37000
Holtenbroek III,42,1.3,2.5,1.3,1.1,2.4,2.3,0.68,0.21,1080,0,40,100,93,0.0,4%,1145,2325,18700,38000
Aa-landen-Zuid,38,1.1,2.8,1.2,1.2,2.2,2.1,0.68,0.21,951,0,65,220,211,0.0,6%,1055,2210,21600,45200
Aa-landen-Midden,71,2.1,4.1,2.2,1.8,4,3.8,0.68,0.21,1836,0,255,840,412,0.0,13%,2015,3780,23100,43300
Aa-landen-Noord,70,2.1,4.2,2.2,1.8,4,3.8,0.68,0.21,1595,0,165,475,298,0.0,10%,1650,3850,24000,56000
Aa-landen-Oost,60,1.8,3.6,1.9,1.5,3.4,3.3,0.68,0.21,1430,0,245,625,437,0.0,17%,1450,3310,24300,55500
Brinkhoek,23,0.7,1.1,0.7,0.5,1.3,1.2,0.68,0.21,252,3,40,230,885,0.0,15%,265,610,44000,101300
Langenholte,4,0.1,0.2,0.1,0.1,0.2,0.2,0.68,0.21,36,4,10,45,1000,0.0,22%,40,110,38000,104500
Haerst,8,0.2,0.4,0.3,0.2,0.4,0.4,0.68,0.21,99,1,10,65,591,0.0,9%,115,280,28700,69900
Berkum,77,2.3,4.4,2.4,1.9,4.4,4.2,0.68,0.21,1539,33,0,0,0,0.0,0%,1605,3760,28000,65600
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,0,0,0,0,0,0.0,0%,5,5,?,?
Veldhoek,9,0.3,0.4,0.3,0.2,0.5,0.5,0.68,0.21,88,2,20,75,750,0.0,20%,95,230,36300,87900
Kantorenterrein Oosterenk,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,5,0,5,30,6000,0.0,100%,5,15,?,?
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0.0,0.1,0.1,0.68,0.21,27,0,5,15,500,0.0,17%,25,70,?,?
Tolhuislanden,4,0.1,0.2,0.1,0.1,0.2,0.2,0.68,0.21,47,0,5,25,455,9.9,9%,60,175,22400,65300
Herfte,11,0.3,0.6,0.3,0.3,0.6,0.6,0.68,0.21,119,3,30,140,1000,0.0,21%,165,400,29300,71000
Bedrijventerrein Marslanden-Zuid,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,6,0,5,55,5500,0.0,50%,15,165,?,?
Wijthmen,14,0.4,0.9,0.4,0.4,0.8,0.8,0.68,0.21,223,2,25,115,469,0.0,10%,245,630,24900,64000
Oud-Schelle,24,0.7,1.5,0.8,0.6,1.4,1.3,0.68,0.21,470,5,95,300,619,0.0,20%,515,1365,29300,77700
Schellerhoek,15,0.5,1.2,0.5,0.5,0.9,0.8,0.68,0.21,340,0,90,280,757,0.0,24%,360,990,31000,85300
Schellerbroek,26,0.8,1.7,0.8,0.7,1.5,1.4,0.68,0.21,688,0,145,465,669,0.0,21%,710,1475,29000,60200
Schellerlanden,45,1.4,3.1,1.4,1.3,2.5,2.4,0.68,0.21,1195,0,200,605,506,0.0,17%,1210,2690,27900,62000
Oldenelerlanden-Oost,35,1.1,2.6,1.1,1.1,2,1.9,0.68,0.21,1005,0,150,435,433,0.0,15%,1010,2435,24900,60000
Oldenelerlanden-West,23,0.7,1.7,0.7,0.7,1.3,1.2,0.68,0.21,555,0,125,485,874,0.0,23%,565,1450,29700,76200
Oldenelerbroek,49,1.5,3.7,1.5,1.6,2.8,2.6,0.68,0.21,1426,0,235,765,526,0.0,16%,1415,3355,28100,66600
Schelle-Zuid en Oldeneel,5,0.1,0.3,0.2,0.1,0.3,0.3,0.68,0.21,61,1,10,50,769,0.0,15%,65,175,31800,85600
Katerveer-Engelse werk,14,0.4,0.9,0.5,0.4,0.8,0.8,0.68,0.21,196,2,40,175,875,0.0,20%,195,630,39100,126300
Oud-Ittersum,24,0.7,1.4,0.8,0.6,1.3,1.3,0.68,0.21,515,0,105,305,587,0.0,20%,535,1315,24400,60000
Ittersumerlanden,54,1.6,4.2,1.7,1.8,3.1,2.9,0.68,0.21,1739,19,240,605,324,0.0,13%,1835,3845,22300,46700
Ittersumerbroek,35,1.1,2.7,1.1,1.2,2,1.9,0.68,0.21,970,0,140,455,464,0.0,14%,1005,2385,26800,63600
Geren,11,0.3,0.9,0.3,0.4,0.6,0.6,0.68,0.21,446,0,20,65,144,0.0,4%,505,805,23900,38100
Gerenlanden,52,1.6,3.5,1.6,1.5,2.9,2.8,0.68,0.21,1205,0,250,720,598,0.0,21%,1220,3115,25300,64600
Gerenbroek,45,1.4,3.3,1.4,1.4,2.5,2.4,0.68,0.21,1190,0,205,565,475,0.0,17%,1195,3155,24900,65700
Oude Mars,1,0.0,0.1,0,0.0,0.1,0.1,0.68,0.21,15,2,15,70,3500,0.0,75%,20,100,?,?
Windesheim,7,0.2,0.5,0.2,0.2,0.4,0.4,0.68,0.21,149,3,35,130,839,0.0,23%,155,405,25400,66400
Harculo en Hoog-Zuthem,10,0.3,0.6,0.3,0.2,0.5,0.5,0.68,0.21,133,0,35,155,1107,0.0,25%,140,510,29100,106000
