Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,49,1.5,3.2,1.6,1.4,2.8,2.7,0.68,0.21,1159,14,0,0,0,0.0,0%,1515,2240,32900,48600
Binnenstad-Noord,17,0.5,1.1,0.5,0.5,1,0.9,0.68,0.21,473,6,0,0,0,0.0,0%,605,850,32100,45100
Noordereiland,12,0.4,0.8,0.4,0.3,0.7,0.6,0.68,0.21,322,0,45,115,329,0.0,13%,360,590,36400,59700
Het Noorden,27,0.8,1.5,0.9,0.6,1.5,1.5,0.68,0.21,1020,0,5,50,49,0.0,0%,1085,1475,19800,26900
Schildersbuurt,5,0.2,0.4,0.2,0.2,0.3,0.3,0.68,0.21,172,0,5,20,114,0.0,3%,190,365,23400,45000
Bollebieste,32,1.0,1.9,1,0.8,1.8,1.7,0.68,0.21,940,0,125,200,213,0.0,13%,890,1740,18900,37000
Dieze-Centrum,19,0.6,1.2,0.6,0.5,1.1,1.0,0.68,0.21,510,0,15,50,89,0.0,3%,625,980,24100,37800
Bagijneweide,15,0.5,1.1,0.5,0.5,0.9,0.8,0.68,0.21,391,0,20,70,163,0.0,5%,470,790,31400,52800
Hogenkamp,59,1.8,3.5,1.9,1.5,3.4,3.2,0.68,0.21,1872,20,130,275,141,0.0,7%,2005,3245,22100,35800
Indischebuurt,16,0.5,1.1,0.5,0.5,0.9,0.9,0.68,0.21,568,0,50,100,172,0.0,9%,605,1030,18200,31000
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.2,0.3,0.3,0.68,0.21,265,0,?,?,?,0.0,?,265,365,22000,30300
Bedrijventerrein Floresstraat,5,0.1,0.4,0.2,0.2,0.3,0.3,0.68,0.21,185,0,20,55,297,0.0,11%,185,435,26500,62300
Wipstrik-Noord,64,1.9,3.5,2,1.5,3.6,3.4,0.68,0.21,1282,0,100,280,216,0.0,8%,1325,3080,31800,73900
Wipstrik-Zuid,64,1.9,4.2,2,1.8,3.6,3.5,0.68,0.21,1836,0,85,275,148,0.0,5%,1920,3435,25800,46200
Stationsbuurt,29,0.9,1.6,0.9,0.7,1.6,1.5,0.68,0.21,546,0,35,75,130,0.0,6%,780,1365,31600,55300
Oud-Assendorp,79,2.4,4.5,2.5,2.0,4.5,4.3,0.68,0.21,1958,0,105,255,121,0.0,5%,2490,4080,25400,41600
Nieuw-Assendorp,55,1.7,3.1,1.7,1.3,3.1,3.0,0.68,0.21,1382,0,60,130,92,0.0,4%,1545,3085,23800,47500
Wezenlanden,16,0.5,0.8,0.5,0.4,0.9,0.9,0.68,0.21,211,0,120,165,423,0.0,31%,420,700,25800,43000
Pierik,38,1.1,2.1,1.2,0.9,2.1,2.0,0.68,0.21,1135,0,260,860,758,0.0,23%,1140,2130,22500,42000
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,?,?,5,10,-,0.0,-,10,30,?,?
Hanzeland,13,0.4,1.2,0.4,0.5,0.7,0.7,0.68,0.21,478,0,40,115,221,0.0,8%,550,990,29600,53300
Kamperpoort,21,0.6,1.6,0.7,0.7,1.2,1.1,0.68,0.21,761,0,115,215,265,0.0,14%,850,1470,22200,38400
Veerallee,33,1.0,1.9,1,0.8,1.9,1.8,0.68,0.21,594,13,160,380,608,0.0,26%,780,1715,31500,69300
Bedrijventerrein Voorst-A,1,0.0,0.1,0,0.0,0.1,0.1,0.68,0.21,39,0,?,?,?,0.0,?,50,60,?,?
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.0,?,0.0,0.68,0.21,?,?,?,?,?,0.0,?,0,0,?,?
