Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.1,0.3,0.3,2.26,0.5,265,0,0,0,0,0.0,0%,265,360,?,?
Bedrijventerrein Floresstraat,5,0.1,0.4,0.1,0.1,0.3,0.2,2.26,0.5,183,2,52,199,1076,0.0,28%,185,440,?,?
Wipstrik-Noord,54,1.5,3.3,1.7,0.9,3.1,2.7,2.26,0.5,1274,26,303,1008,775,0.0,23%,1325,3090,37300,87000
Wipstrik-Zuid,54,1.5,3.8,1.7,1.0,3.1,2.7,2.26,0.5,1841,0,403,1074,577,0.0,22%,1895,3305,30300,52800
Stationsbuurt,27,0.7,1.5,0.8,0.4,1.5,1.3,2.26,0.5,568,6,97,311,536,0.0,17%,785,1380,?,?
Oud-Assendorp,71,2.0,4.3,2.2,1.2,4,3.5,2.26,0.5,2083,0,311,847,399,0.0,15%,2425,4075,30300,50900
Nieuw-Assendorp,46,1.3,2.8,1.5,0.8,2.6,2.3,2.26,0.5,1420,0,327,750,528,0.0,23%,1540,3080,28900,57800
Wezenlanden,17,0.5,1.3,0.6,0.4,1,0.9,2.26,0.5,588,31,253,379,606,0.0,40%,650,1210,?,?
Pierik,33,0.9,1.9,1,0.5,1.9,1.6,2.26,0.5,1095,23,504,1250,1073,0.0,43%,1180,2150,?,?
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,9,37,-,0.0,-,15,30,?,?
Hanzeland,14,0.4,1.2,0.4,0.3,0.8,0.7,2.26,0.5,476,0,78,250,394,0.0,12%,665,1105,?,?
Kamperpoort,28,0.8,2.4,0.9,0.7,1.6,1.4,2.26,0.5,1251,110,340,705,513,0.0,25%,1405,2250,?,?
Veerallee,31,0.9,2.0,1,0.5,1.8,1.5,2.26,0.5,644,21,258,751,1096,0.0,38%,830,1900,?,?
Bedrijventerrein Voorst-A,1,0.0,0.1,0,0.0,0.1,0.0,2.26,0.5,?,?,?,?,?,0.0,?,45,55,?,?
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,0,0,-,0.0,-,0,0,?,?
Spoolde,6,0.2,0.4,0.2,0.1,0.3,0.3,2.26,0.5,109,6,?,?,?,0.0,?,115,310,?,?
Oud-Westenholte,35,1.0,2.7,1.1,0.7,2,1.7,2.26,0.5,952,72,361,1345,1300,0.0,35%,1040,2545,26500,64800
Westenholte-Stins,36,1.0,2.5,1.1,0.7,2,1.8,2.26,0.5,1089,11,490,1458,1325,0.0,45%,1105,2600,27200,64000
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,2.26,0.5,?,?,33,223,3431,0.0,51%,65,195,?,?
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,0,0,-,0.0,-,5,5,?,?
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,0,0,-,0.0,-,5,5,?,?
Frankhuis,64,1.8,6.2,2,1.7,3.6,3.2,2.26,0.5,2018,302,1154,3752,1617,0.0,50%,2345,6595,30900,86900
Mastenbroek,1,0.0,0.1,0,0.0,0.1,0.1,2.26,0.5,?,?,?,?,?,0.0,?,20,50,?,?
Schoonhorst,50,1.4,4.3,1.6,1.2,2.8,2.4,2.26,0.5,1846,19,511,1711,917,0.0,27%,1855,4220,30600,69600
Werkeren,50,1.4,4.8,1.6,1.3,2.8,2.5,2.26,0.5,1490,182,983,3832,2315,0.0,59%,1640,5310,31300,101300
Milligen,69,1.9,7.1,2.2,1.9,3.9,3.4,2.26,0.5,2411,201,841,2985,1040,0.0,29%,2870,6965,30100,73000
Tippe bij de IJssel,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,?,?,?,0.0,?,0,0,?,?
Breecamp,1,0.0,3.2,0,0.9,0,0.0,2.26,0.5,9,464,604,2640,3070,0.0,70%,875,2775,28700,91000
Breezicht,0,0.0,1.3,0,0.4,0,0.0,2.26,0.5,0,431,429,2270,5159,0.0,98%,390,1045,?,?
Stadsbroek,1,0.0,0.1,0,0.0,0.1,0.1,2.26,0.5,?,?,6,38,1900,0.0,30%,15,60,?,?
Holtenbroek IV,49,1.4,3.5,1.6,0.9,2.8,2.4,2.26,0.5,1407,271,291,850,501,0.0,17%,1715,3155,22400,41200
Holtenbroek I,14,0.4,2.0,0.4,0.5,0.8,0.7,2.26,0.5,561,36,324,663,745,0.0,36%,895,1875,?,?
Holtenbroek II,42,1.2,2.5,1.3,0.7,2.4,2.1,2.26,0.5,1366,0,401,754,546,0.0,29%,1445,2640,23100,42200
Holtenbroek III,34,0.9,2.2,1.1,0.6,1.9,1.7,2.26,0.5,1075,0,440,970,902,0.0,41%,1075,2155,?,?
Aa-landen-Zuid,33,0.9,2.6,1.1,0.7,1.9,1.6,2.26,0.5,1038,32,191,664,621,0.0,18%,1095,2220,?,?
Aa-landen-Midden,63,1.7,3.9,2,1.0,3.6,3.1,2.26,0.5,1859,0,464,1433,694,0.0,22%,2050,3805,26500,49200
Aa-landen-Noord,60,1.6,3.8,1.9,1.0,3.4,2.9,2.26,0.5,1579,16,502,1638,1027,0.0,31%,1635,3815,28000,65300
Aa-landen-Oost,51,1.4,3.3,1.6,0.9,2.9,2.5,2.26,0.5,1436,0,599,1753,1209,0.0,41%,1485,3350,27600,62300
Brinkhoek,19,0.5,1.1,0.6,0.3,1.1,0.9,2.26,0.5,233,29,106,655,2472,0.0,40%,265,630,?,?
Langenholte,2,0.1,0.2,0.1,0.1,0.1,0.1,2.26,0.5,?,?,18,121,2689,0.0,40%,45,120,?,?
Haerst,6,0.2,0.4,0.2,0.1,0.4,0.3,2.26,0.5,96,9,27,172,1564,0.0,25%,115,295,?,?
Berkum,65,1.8,4.1,2,1.1,3.7,3.2,2.26,0.5,1490,99,689,2533,1531,0.0,42%,1595,3825,31000,74300
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.0,?,0.0,2.26,0.5,?,?,?,?,?,0.0,?,5,15,?,?
Veldhoek,6,0.2,0.4,0.2,0.1,0.3,0.3,2.26,0.5,84,20,27,175,1667,0.0,26%,105,260,?,?
Kantorenterrein Oosterenk,4,0.1,0.3,0.1,0.1,0.2,0.2,2.26,0.5,34,0,?,?,?,0.0,?,165,225,?,?
Bedrijventerrein Hessenpoort,2,0.0,0.1,0.1,0.0,0.1,0.1,2.26,0.5,?,?,13,79,2633,0.0,43%,30,80,?,?
Tolhuislanden,3,0.1,0.2,0.1,0.1,0.2,0.2,2.26,0.5,?,?,10,57,1036,9.9,18%,55,180,?,?
Herfte,8,0.2,0.6,0.2,0.2,0.4,0.4,2.26,0.5,119,15,47,329,2350,0.0,34%,170,395,?,?
Bedrijventerrein Marslanden-Zuid,1,0.0,0.0,0,0.0,0,0.0,2.26,0.5,?,?,4,37,3700,0.0,40%,15,160,?,?
Wijthmen,12,0.3,0.8,0.4,0.2,0.7,0.6,2.26,0.5,230,10,70,347,1416,0.0,29%,245,595,?,?
Oud-Schelle,21,0.6,1.5,0.7,0.4,1.2,1.0,2.26,0.5,461,19,205,767,1581,0.0,42%,515,1430,?,?
Schellerhoek,13,0.4,1.0,0.4,0.3,0.7,0.6,2.26,0.5,333,11,207,776,2097,0.0,56%,365,975,?,?
Schellerbroek,23,0.6,1.6,0.7,0.4,1.3,1.2,2.26,0.5,681,14,253,879,1265,0.0,36%,705,1455,?,?
Schellerlanden,39,1.1,2.8,1.2,0.7,2.2,1.9,2.26,0.5,1171,36,531,1790,1498,0.0,44%,1205,2580,31800,68100
Oldenelerlanden-Oost,30,0.8,2.3,1,0.6,1.7,1.5,2.26,0.5,995,10,337,1138,1132,0.0,34%,1010,2355,?,?
Oldenelerlanden-West,20,0.5,1.5,0.6,0.4,1.1,1.0,2.26,0.5,547,23,237,938,1646,0.0,42%,565,1410,?,?
Oldenelerbroek,43,1.2,3.3,1.4,0.9,2.4,2.1,2.26,0.5,1411,29,490,1696,1166,0.0,34%,1420,3190,33000,74100
Schelle-Zuid en Oldeneel,4,0.1,0.3,0.1,0.1,0.2,0.2,2.26,0.5,?,?,33,209,2986,0.0,47%,70,170,?,?
Katerveer-Engelse werk,12,0.3,0.8,0.4,0.2,0.7,0.6,2.26,0.5,188,10,83,419,2095,0.0,42%,210,655,?,?
Oud-Ittersum,22,0.6,1.5,0.7,0.4,1.2,1.1,2.26,0.5,551,23,251,781,1347,0.0,43%,590,1470,?,?
Ittersumerlanden,48,1.3,3.8,1.5,1.0,2.7,2.3,2.26,0.5,1838,0,455,1344,717,0.0,24%,1835,3785,26200,54000
Ittersumerbroek,30,0.8,2.3,1,0.6,1.7,1.5,2.26,0.5,960,29,401,1392,1420,0.0,41%,1000,2265,?,?
Geren,10,0.3,0.9,0.3,0.2,0.6,0.5,2.26,0.5,450,0,78,373,829,0.0,17%,500,800,?,?
Gerenlanden,44,1.2,3.1,1.4,0.8,2.5,2.2,2.26,0.5,1196,12,571,1823,1494,0.0,47%,1240,3055,29900,73700
Gerenbroek,38,1.1,2.9,1.2,0.8,2.2,1.9,2.26,0.5,1166,12,539,1731,1455,0.0,45%,1195,3050,28500,72700
Oude Mars,1,0.0,0.2,0,0.1,0.1,0.1,2.26,0.5,?,?,34,240,6857,0.0,97%,35,145,?,?
Windesheim,6,0.2,0.5,0.2,0.1,0.4,0.3,2.26,0.5,147,8,64,282,1819,0.0,41%,155,395,?,?
Harculo en Hoog-Zuthem,8,0.2,0.5,0.2,0.1,0.4,0.4,2.26,0.5,129,8,51,254,1814,0.0,36%,145,525,?,?
