Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Breecamp,0,0.0,2.6,0,0.7,0,0.0,0.79,0.22,0,223,593,2535,3521,0.0,82%,725,2245,24600,76200
Breezicht,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,5,0,?,?,?,0.0,?,5,10,?,?
Stadsbroek,1,0.0,0.1,0,0.0,0.1,0.1,0.79,0.22,19,0,4,18,900,0.0,20%,20,55,?,?
Holtenbroek IV,54,1.5,3.4,1.7,1.0,3,2.6,0.79,0.22,1394,249,157,535,322,0.0,9%,1690,3110,20200,37200
Holtenbroek I,14,0.4,2.1,0.4,0.6,0.8,0.7,0.79,0.22,534,0,262,477,536,0.0,29%,900,1895,26300,55400
Holtenbroek II,44,1.2,2.6,1.4,0.8,2.5,2.1,0.79,0.22,1366,0,209,524,380,0.0,15%,1435,2680,20900,39000
Holtenbroek III,41,1.1,2.4,1.3,0.7,2.3,2.0,0.79,0.22,1069,0,161,462,428,0.0,15%,1115,2275,19900,40600
Aa-landen-Zuid,37,1.0,2.7,1.2,0.8,2.1,1.8,0.79,0.22,1045,0,99,328,314,0.0,9%,1075,2195,23300,47600
Aa-landen-Midden,70,1.9,4.0,2.2,1.2,3.9,3.4,0.79,0.22,1859,0,380,1271,615,0.0,18%,2055,3900,24400,46300
Aa-landen-Noord,68,1.9,4.1,2.2,1.2,3.9,3.3,0.79,0.22,1579,0,267,846,530,0.0,17%,1635,3865,25600,60500
Aa-landen-Oost,58,1.6,3.5,1.8,1.0,3.2,2.8,0.79,0.22,1450,0,432,1150,793,0.0,30%,1475,3360,25200,57400
Brinkhoek,22,0.6,1.2,0.7,0.3,1.3,1.1,0.79,0.22,252,8,68,386,1457,0.0,26%,260,640,45700,112500
Langenholte,3,0.1,0.2,0.1,0.1,0.2,0.2,0.79,0.22,32,6,12,83,1844,0.0,27%,40,120,37900,113700
Haerst,8,0.2,0.4,0.2,0.1,0.4,0.4,0.79,0.22,99,1,19,131,1191,0.0,17%,125,280,29400,65900
Berkum,75,2.0,4.3,2.4,1.2,4.2,3.6,0.79,0.22,1523,33,458,1552,938,0.0,28%,1600,3765,29100,68500
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,?,?,?,0.0,?,0,5,?,?
Veldhoek,8,0.2,0.4,0.2,0.1,0.4,0.4,0.79,0.22,85,8,25,140,1333,0.0,24%,105,265,39600,99900
Kantorenterrein Oosterenk,2,0.1,0.2,0.1,0.1,0.1,0.1,0.79,0.22,4,43,?,?,?,0.0,?,125,175,23100,32300
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0.0,0.1,0.1,0.79,0.22,22,4,8,42,1400,0.0,27%,30,75,?,?
Tolhuislanden,4,0.1,0.2,0.1,0.1,0.2,0.2,0.79,0.22,47,0,6,34,618,9.9,11%,55,175,21800,69400
Herfte,9,0.3,0.6,0.3,0.2,0.5,0.5,0.79,0.22,118,8,38,243,1736,0.0,27%,165,390,32500,76800
Bedrijventerrein Marslanden-Zuid,1,0.0,0.0,0,0.0,0,0.0,0.79,0.22,6,0,5,57,5700,0.0,50%,15,170,?,?
Wijthmen,13,0.4,0.8,0.4,0.2,0.7,0.6,0.79,0.22,221,5,43,208,849,0.0,18%,245,605,26300,64900
Oud-Schelle,24,0.6,1.5,0.7,0.4,1.3,1.1,0.79,0.22,466,5,148,537,1107,0.0,31%,510,1390,30900,84200
Schellerhoek,14,0.4,1.1,0.5,0.3,0.8,0.7,0.79,0.22,340,0,135,468,1265,0.0,36%,360,985,33200,90800
Schellerbroek,26,0.7,1.6,0.8,0.5,1.5,1.3,0.79,0.22,688,0,188,610,878,0.0,27%,690,1440,30800,64300
Schellerlanden,44,1.2,3.0,1.4,0.9,2.5,2.1,0.79,0.22,1183,0,299,977,818,0.0,25%,1200,2610,29600,64400
Oldenelerlanden-Oost,34,0.9,2.5,1.1,0.7,1.9,1.7,0.79,0.22,1005,0,235,738,734,0.0,23%,1010,2390,26500,62700
Oldenelerlanden-West,23,0.6,1.6,0.7,0.5,1.3,1.1,0.79,0.22,553,11,180,678,1189,0.0,32%,570,1465,31300,80400
Oldenelerbroek,49,1.3,3.5,1.5,1.0,2.7,2.4,0.79,0.22,1426,0,350,1160,797,0.0,24%,1410,3305,29500,69100
Schelle-Zuid en Oldeneel,5,0.1,0.3,0.1,0.1,0.3,0.2,0.79,0.22,63,4,19,118,1686,0.0,27%,70,175,35000,87500
Katerveer-Engelse werk,13,0.4,0.8,0.4,0.2,0.8,0.7,0.79,0.22,198,2,72,352,1760,0.0,36%,200,645,41400,133500
Oud-Ittersum,25,0.7,1.5,0.8,0.4,1.4,1.2,0.79,0.22,569,12,164,502,873,0.0,29%,590,1460,27700,68500
Ittersumerlanden,52,1.4,4.1,1.7,1.2,3,2.5,0.79,0.22,1744,0,310,849,453,0.0,17%,1845,3860,23800,49800
Ittersumerbroek,34,0.9,2.5,1.1,0.7,1.9,1.7,0.79,0.22,970,0,231,787,803,0.0,24%,995,2330,29000,67900
Geren,11,0.3,0.9,0.3,0.3,0.6,0.5,0.79,0.22,446,0,50,163,362,0.0,11%,500,805,25500,41100
Gerenlanden,50,1.4,3.4,1.6,1.0,2.8,2.4,0.79,0.22,1198,0,392,1152,952,0.0,32%,1225,3065,27200,68100
Gerenbroek,43,1.2,3.1,1.4,0.9,2.4,2.1,0.79,0.22,1178,0,352,1046,879,0.0,30%,1195,3095,26300,68100
Oude Mars,2,0.1,0.2,0.1,0.0,0.1,0.1,0.79,0.22,20,7,19,101,3367,0.0,63%,25,130,54100,281300
Windesheim,7,0.2,0.5,0.2,0.1,0.4,0.3,0.79,0.22,147,5,45,186,1200,0.0,29%,150,390,25700,66800
Harculo en Hoog-Zuthem,9,0.2,0.5,0.3,0.2,0.5,0.4,0.79,0.22,127,1,43,208,1486,0.0,31%,145,515,30300,107600
