Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,52,1.4,3.2,1.7,0.9,3,2.6,0.79,0.22,1174,60,113,175,116,0.0,8%,1555,2320,35000,52200
Binnenstad-Noord,16,0.4,1.1,0.5,0.3,0.9,0.8,0.79,0.22,466,18,?,?,?,0.0,?,595,855,33600,48300
Noordereiland,16,0.4,1.0,0.5,0.3,0.9,0.8,0.79,0.22,395,42,?,?,?,0.0,?,465,785,41200,69600
Het Noorden,26,0.7,1.7,0.8,0.5,1.5,1.3,0.79,0.22,1119,0,10,72,64,0.0,1%,1160,1570,23700,32100
Schildersbuurt,5,0.1,0.4,0.2,0.1,0.3,0.3,0.79,0.22,172,0,9,31,177,0.0,5%,190,360,26200,49600
Bollebieste,32,0.9,1.9,1,0.6,1.8,1.6,0.79,0.22,907,59,185,382,392,0.0,19%,905,1685,21800,40600
Dieze-Centrum,18,0.5,1.1,0.6,0.3,1,0.9,0.79,0.22,540,0,29,83,138,0.0,5%,650,990,25700,39100
Bagijneweide,16,0.4,1.0,0.5,0.3,0.9,0.8,0.79,0.22,414,0,23,83,182,0.0,5%,495,835,34100,57500
Hogenkamp,57,1.5,3.4,1.8,1.0,3.2,2.8,0.79,0.22,1872,39,279,705,365,0.0,14%,1955,3235,24200,40000
Indischebuurt,17,0.5,1.1,0.5,0.3,1,0.8,0.79,0.22,584,0,67,142,241,0.0,11%,610,1040,19200,32700
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.1,0.3,0.3,0.79,0.22,265,0,?,?,?,0.0,?,265,380,20600,29500
Bedrijventerrein Floresstraat,5,0.1,0.4,0.2,0.1,0.3,0.2,0.79,0.22,185,0,33,117,632,0.0,18%,185,435,29300,68900
Wipstrik-Noord,62,1.7,3.5,1.9,1.0,3.5,3.0,0.79,0.22,1274,0,173,524,403,0.0,13%,1335,3075,34400,79200
Wipstrik-Zuid,61,1.7,4.0,1.9,1.2,3.5,3.0,0.79,0.22,1832,0,279,728,394,0.0,15%,1885,3330,27400,48400
Stationsbuurt,28,0.8,1.5,0.9,0.4,1.6,1.4,0.79,0.22,535,0,47,128,223,0.0,8%,765,1355,33900,60000
Oud-Assendorp,77,2.1,4.3,2.4,1.3,4.4,3.8,0.79,0.22,1946,0,190,473,224,0.0,9%,2520,4110,27900,45500
Nieuw-Assendorp,52,1.4,3.0,1.7,0.9,3,2.5,0.79,0.22,1392,0,201,457,322,0.0,14%,1525,3055,25800,51700
Wezenlanden,18,0.5,1.1,0.6,0.3,1,0.9,0.79,0.22,335,0,183,288,559,0.0,36%,555,1035,34800,64900
Pierik,37,1.0,2.0,1.2,0.6,2.1,1.8,0.79,0.22,1130,23,384,1283,1101,0.0,33%,1170,2140,24400,44600
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,6,22,-,0.0,-,15,35,?,?
Hanzeland,16,0.4,1.3,0.5,0.4,0.9,0.8,0.79,0.22,483,0,63,184,290,0.0,10%,660,1130,33300,57000
Kamperpoort,29,0.8,1.9,0.9,0.6,1.6,1.4,0.79,0.22,878,115,227,368,352,0.0,22%,1100,1810,24300,40000
Veerallee,34,0.9,2.0,1.1,0.6,1.9,1.7,0.79,0.22,637,13,217,577,861,0.0,32%,835,1870,34400,77000
Bedrijventerrein Voorst-A,1,0.0,0.1,0,0.0,0.1,0.1,0.79,0.22,35,0,?,?,?,0.0,?,45,55,?,?
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,?,?,?,0.0,?,0,0,?,?
Spoolde,7,0.2,0.4,0.2,0.1,0.4,0.3,0.79,0.22,112,2,29,125,1087,0.0,25%,120,315,30700,80600
Oud-Westenholte,42,1.1,2.7,1.3,0.8,2.3,2.0,0.79,0.22,969,41,226,755,740,0.0,22%,1040,2535,24600,60000
Westenholte-Stins,40,1.1,2.6,1.3,0.8,2.3,2.0,0.79,0.22,1100,0,334,934,849,0.0,30%,1100,2650,24800,59700
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,0.79,0.22,59,5,21,107,1646,0.0,32%,65,180,31500,87200
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,?,?,?,0.0,?,0,5,?,?
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,?,?,?,0.0,?,0,5,?,?
Frankhuis,75,2.0,6.3,2.4,1.8,4.2,3.6,0.79,0.22,2043,207,851,2518,1097,0.0,37%,2320,6640,27200,77800
Mastenbroek,2,0.0,0.1,0.1,0.0,0.1,0.1,0.79,0.22,19,0,?,?,?,0.0,?,20,55,?,?
Schoonhorst,55,1.5,4.5,1.8,1.3,3.1,2.7,0.79,0.22,1865,0,357,1198,642,0.0,19%,1865,4300,28100,64800
Werkeren,59,1.6,4.8,1.9,1.4,3.3,2.9,0.79,0.22,1506,116,706,2582,1560,0.0,43%,1630,5290,28000,90900
Milligen,79,2.1,7.3,2.5,2.1,4.4,3.8,0.79,0.22,2477,56,550,1787,635,0.0,20%,2830,7000,27500,68000
Tippe bij de IJssel,?,0.0,0.0,?,0.0,?,0.0,0.79,0.22,?,?,?,?,?,0.0,?,0,10,?,?
