Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,48,1.4,3.1,1.5,1.4,2.7,2.6,0.63,0.2,1087,0,?,?,?,0.0,?,1450,2175,35200,52800
Binnenstad-Noord,16,0.5,1.1,0.5,0.5,0.9,0.9,0.63,0.2,454,6,?,?,?,0.0,?,590,830,31600,44500
Noordereiland,12,0.4,0.8,0.4,0.4,0.7,0.6,0.63,0.2,316,0,?,?,?,0.0,?,355,580,35100,57300
Het Noorden,28,0.8,1.5,0.9,0.7,1.6,1.5,0.63,0.2,1020,0,5,50,49,0.0,0%,1085,1500,19200,26500
Schildersbuurt,5,0.2,0.4,0.2,0.2,0.3,0.3,0.63,0.2,173,0,5,10,57,0.0,3%,180,360,23500,47000
Bollebieste,33,1.0,1.9,1,0.9,1.9,1.8,0.63,0.2,931,0,70,135,144,0.0,7%,890,1735,18400,35900
Dieze-Centrum,19,0.6,1.2,0.6,0.6,1.1,1.0,0.63,0.2,490,0,15,40,73,0.0,3%,625,960,22900,35200
Bagijneweide,16,0.5,1.1,0.5,0.5,0.9,0.8,0.63,0.2,382,0,10,15,36,0.0,2%,465,805,30300,52500
Hogenkamp,59,1.8,3.5,1.9,1.6,3.4,3.2,0.63,0.2,1891,19,115,245,128,0.0,6%,1925,3120,21400,34700
Indischebuurt,17,0.5,1.1,0.5,0.5,0.9,0.9,0.63,0.2,568,0,50,90,155,0.0,9%,615,1050,17100,29200
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.2,0.3,0.3,0.63,0.2,265,0,?,?,?,0.0,?,260,365,20800,29200
Bedrijventerrein Floresstraat,5,0.1,0.4,0.2,0.2,0.3,0.3,0.63,0.2,185,0,10,30,162,0.0,5%,185,440,27800,66100
Wipstrik-Noord,64,1.9,3.6,2,1.6,3.6,3.4,0.63,0.2,1282,0,85,240,185,0.0,7%,1335,3090,31300,72400
Wipstrik-Zuid,65,1.9,4.3,2,1.9,3.7,3.5,0.63,0.2,1836,0,70,235,127,0.0,4%,1915,3405,25500,45300
Stationsbuurt,28,0.8,1.6,0.9,0.7,1.6,1.5,0.63,0.2,520,0,25,60,106,0.0,4%,790,1395,29700,52400
Oud-Assendorp,82,2.4,4.7,2.6,2.1,4.6,4.4,0.63,0.2,1886,0,100,225,107,0.0,5%,2485,4165,24600,41200
Nieuw-Assendorp,56,1.7,3.2,1.8,1.4,3.2,3.0,0.63,0.2,1325,0,50,100,71,0.0,4%,1545,3170,22700,46600
Wezenlanden,14,0.4,0.8,0.5,0.3,0.8,0.8,0.63,0.2,160,0,50,70,206,0.0,15%,380,630,24900,41300
