postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN
8011CD,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50751544,6.089080717,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024,Dakisolatie,Dakisolatie,52.50751544,6.089080717,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024,Gevelisolatie,Binnen- of buitengevelisolatie,52.50751544,6.089080717,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,HR++ glas U <= 1,52.50751544,6.089080717,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024,Vloerisolatie,Vloerisolatie,52.50751544,6.089080717,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022,Glasisolatie,HR++ glas U <= 1,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023,Dakisolatie,Dakisolatie,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023,Gevelisolatie,Binnen- of buitengevelisolatie,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Vloerisolatie,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,HR++ glas U <= 1,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CE,Wijk 13 Assendorp,Stationsbuurt,2024,Warmtepomp,Lucht-water >= 3,52.50723656,6.089295615,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CG,Wijk 13 Assendorp,Stationsbuurt,2022,Spouwmuurisolatie,Spouwmuurisolatie,52.50776449,6.089525564,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50768062,6.088382929,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023,Spouwmuurisolatie,Spouwmuurisolatie,52.50768062,6.088382929,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Vloerisolatie,52.50768062,6.088382929,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023,Warmtepomp,Lucht-water >= 3,52.50768062,6.088382929,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CK,Wijk 13 Assendorp,Stationsbuurt,2021,Warmtepomp,Lucht-water >= 3,52.50842696,6.087437883,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CK,Wijk 13 Assendorp,Stationsbuurt,2023,Warmtepomp,Lucht-water >= 3,52.50842696,6.087437883,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CM,Wijk 13 Assendorp,Stationsbuurt,2023,Warmtepomp,Lucht-water >= 3,52.50983853,6.08689165,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CN,Wijk 13 Assendorp,Stationsbuurt,2021,Spouwmuurisolatie,Spouwmuurisolatie,52.50892253,6.086579048,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
