projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
SDE1453641,SDE,2017,Zonne-energie,"637,158",52.498722,6.0724315,51.0,130.0,508.0,Katerveer-Engelse werk,Katerveer-Engelse werk,1589979.99880414,5011.45412260187,Katerveer-Engelse werk
SDE1453942,SDE,2016,Zonne-energie,"369,255",52.533595,6.1769997,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1455867,SDE,2018,Zonne-energie,"258,015",52.509803,6.0797528,71.0,150.0,141.0,Veerallee,Veerallee,598495.377041683,3378.86492425106,Veerallee
SDE1457080,SDE,2017,Zonne-energie,"256,470",52.50489,6.1145449,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
SDE1460167,SDE,2015,Zonne-energie,"131,580",52.515414,6.0758396,1.0,80.0,200.0,Bedrijventerrein Voorst-A,Bedrijventerrein Voorst-A,713035.579721149,3729.35067426883,Bedrijventerrein Voorst-A
SDE1460201,SDE,2018,Zonne-energie,"305,910",52.504722,6.1225094,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
SDE1460371,SDE,2018,Zonne-energie,"309,000",52.481464,6.1364218,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1483593,SDE,2017,Zonne-energie,"1,545,000",52.540578,6.1715785,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1485177,SDE,2017,Zonne-energie,"261,909",52.491784,6.1244631,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1485893,SDE,2018,Zonne-energie,"111,240",52.505857,6.1073148,44.0,123.0,133.0,Wezenlanden,Wezenlanden,571359.566811339,3546.55421354131,Wezenlanden
SDE1488193,SDE,2015,Zonne-energie,"1,102,125",52.532596,6.1624347,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1500029,SDE,2016,Biomassa,"1,036,800",52.525852,6.1232457,42.0,121.0,401.0,Bedrijventerrein de Vrolijkheid,Bedrijventerrein de Vrolijkheid,426470.21488048404,2735.00117692064,Bedrijventerrein de Vrolijkheid
SDE1609205,SDE,2018,Zonne-energie,"17,685",52.555559,6.0399575,67.0,146.0,221.0,Mastenbroek,Mastenbroek,5784331.32285213,11288.809315706401,Mastenbroek
SDE1613909,SDE,2019,Zonne-energie,"225,720",52.506791,6.0912692,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
SDE1617655,SDE,2017,Zonne-energie,"56,169",52.473662,6.1135382,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
SDE1624039,SDE,2018,Zonne-energie,"416,100",52.501026,6.0803517,15.0,94.0,502.0,Schellerbroek,Schellerbroek,632342.762411758,4437.08256042035,Schellerbroek
SDE1627202,SDE,2019,Zonne-energie,"186,846",52.517973,6.1265787,64.0,143.0,403.0,Kantorenterrein Oosterenk,Kantorenterrein Oosterenk,1093895.85983143,5213.289011864311,Kantorenterrein Oosterenk
