buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1576,2373,142,1986,245,
binnenstad-noord,718,975,34,841,100,
noordereiland,562,877,53,598,226,
het noorden,1249,1710,133,1398,179,
schildersbuurt,175,346,45,241,60,
bollebieste,990,1730,256,1157,317,
dieze-centrum,650,1064,80,870,114,
bagijneweide,502,860,69,593,198,
hogenkamp,2059,3445,554,2416,475,
indischebuurt,581,1014,161,753,100,
meppelerstraatweg-zuid,264,366,44,310,12,
bedrijventerrein floresstraat,186,426,130,251,45,
wipstrik-noord,1305,3039,731,1821,487,
wipstrik-zuid,1864,3340,513,2110,717,
stationsbuurt,593,1415,217,983,215,
oud-assendorp,2130,4139,588,3211,340,
nieuw-assendorp,1426,3088,636,2101,351,
wezenlanden,678,1161,206,724,231,
pierik,1182,2139,367,1464,308,
bedrijventerrein marslanden-noord,14,30,4,22,4,
hanzeland,636,1111,97,778,236,
kamperpoort,1381,2439,260,1742,437,
veerallee,684,1879,504,1151,224,
bedrijventerrein voorst-a,42,54,0,52,2,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,314,64,168,82,
oud-westenholte,1057,2606,635,1469,502,
westenholte-stins,1108,2553,505,1484,564,
vreugderijk,68,197,35,111,51,
bedrijventerrein voorst-c,1,8,4,4,0,
bedrijventerrein voorst-d,1,4,0,3,1,
frankhuis,2368,6529,1898,4154,477,
mastenbroek,21,51,8,34,9,
schoonhorst,1870,4160,846,2741,573,
werkeren,1685,5341,1882,3059,400,
milligen,2874,6899,1541,4208,1150,
de tippe,135,299,78,212,9,
breecamp,868,2770,1045,1687,38,
breezicht,731,2027,658,1323,46,
stadsbroek,20,52,6,35,11,
holtenbroek iv,1694,3182,530,1815,837,
holtenbroek i,893,1892,421,1245,226,
holtenbroek ii,1397,2658,550,1904,204,
holtenbroek iii,1131,2300,446,1557,297,
aa-landen-zuid,1072,2215,388,1329,498,
aa-landen-midden,2171,3953,694,2083,1176,
aa-landen-noord,1598,3850,846,2002,1002,
aa-landen-oost,1456,3335,703,1718,914,
brinkhoek,265,616,106,309,201,
langenholte,46,126,26,74,26,
haerst,108,291,53,173,65,
berkum,1715,3936,823,2009,1104,
bedrijventerrein de vrolijkheid,4,14,2,12,0,
veldhoek,106,276,50,159,67,
kantorenterrein oosterenk,198,796,151,592,53,
bedrijventerrein hessenpoort,32,74,15,44,15,
tolhuislanden,55,163,35,100,28,
herfte,146,412,82,243,87,
bedrijventerrein marslanden-zuid,10,181,7,171,3,
wijthmen,248,601,99,370,132,
oud-schelle,486,1397,369,813,215,
schellerhoek,375,956,198,607,151,
schellerbroek,699,1424,224,832,368,
schellerlanden,1202,2553,436,1345,772,
oldenelerlanden-oost,1005,2310,483,1400,427,
oldenelerlanden-west,568,1403,310,823,270,
oldenelerbroek,1459,3099,522,1933,644,
schelle-zuid en oldeneel,67,163,21,84,58,
katerveer-engelse werk,207,623,115,330,178,
oud-ittersum,578,1480,357,827,296,
ittersumerlanden,1881,3822,719,2191,912,
ittersumerbroek,1007,2226,363,1392,471,
geren,453,796,106,601,89,
gerenlanden,1222,3004,651,1806,547,
gerenbroek,1192,3024,679,1800,545,
oude mars,76,267,75,171,21,
windesheim,156,389,90,219,80,
harculo en hoog-zuthem,139,491,65,242,184,
