buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1465,2296,167,1920,209,36300.0
binnenstad-noord,580,847,40,723,84,30000.0
noordereiland,426,704,63,497,144,41500.0
het noorden,1054,1451,110,1167,174,23100.0
schildersbuurt,174,357,55,241,61,27600.0
bollebieste,976,1724,267,1127,330,22600.0
dieze-centrum,579,958,106,751,101,26000.0
bagijneweide,466,831,74,569,188,35500.0
hogenkamp,1975,3128,505,2183,440,24400.0
indischebuurt,581,1044,192,734,118,20900.0
meppelerstraatweg-zuid,264,365,38,311,16,20800.0
bedrijventerrein floresstraat,186,438,129,276,33,32400.0
wipstrik-noord,1304,3072,710,1892,470,40200.0
wipstrik-zuid,1856,3374,513,2159,702,28200.0
stationsbuurt,578,1352,218,965,169,37900.0
oud-assendorp,2119,4103,578,3228,297,29200.0
nieuw-assendorp,1411,3057,693,2047,317,28800.0
wezenlanden,501,903,147,544,212,28600.0
pierik,1145,2110,383,1430,297,25400.0
bedrijventerrein marslanden-noord,14,38,8,28,2,
hanzeland,635,1142,113,826,203,33000.0
kamperpoort,936,1668,176,1140,352,24100.0
veerallee,662,1822,476,1146,200,40000.0
bedrijventerrein voorst-a,42,51,0,51,0,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,316,73,162,81,36400.0
oud-westenholte,1017,2506,620,1438,448,30400.0
westenholte-stins,1105,2678,613,1624,441,30000.0
vreugderijk,63,184,36,113,35,
bedrijventerrein voorst-c,2,4,0,3,1,
bedrijventerrein voorst-d,1,4,0,3,1,
frankhuis,2321,6564,2173,4077,314,33600.0
mastenbroek,19,60,14,37,9,
schoonhorst,1866,4309,1041,2785,483,31800.0
werkeren,1588,4987,1917,2726,344,35700.0
milligen,2820,7094,1927,4237,930,33000.0
de tippe,0,0,0,0,0,
breecamp,594,1809,677,1123,9,32500.0
breezicht,4,9,1,7,1,
stadsbroek,20,51,6,33,12,
holtenbroek iv,1662,3174,516,1783,875,22800.0
holtenbroek i,906,1890,473,1244,173,29900.0
holtenbroek ii,1380,2710,596,1895,219,23600.0
holtenbroek iii,1083,2300,499,1540,261,24100.0
aa-landen-zuid,1047,2226,421,1301,504,25900.0
aa-landen-midden,2066,3855,638,2028,1189,26200.0
aa-landen-noord,1598,3905,869,2040,996,32100.0
aa-landen-oost,1455,3358,706,1814,838,29900.0
brinkhoek,263,633,107,320,206,74800.0
langenholte,43,122,22,84,16,
haerst,109,279,46,178,55,59800.0
berkum,1671,3723,739,1879,1105,34900.0
bedrijventerrein de vrolijkheid,4,8,2,6,0,
veldhoek,102,250,48,141,61,53800.0
kantorenterrein oosterenk,74,131,7,117,7,
bedrijventerrein hessenpoort,28,72,13,49,10,
tolhuislanden,55,170,42,109,19,
herfte,139,399,85,241,73,41800.0
bedrijventerrein marslanden-zuid,9,162,12,145,5,
wijthmen,246,619,123,371,125,33800.0
oud-schelle,486,1400,399,810,191,41100.0
schellerhoek,373,995,215,686,94,38600.0
schellerbroek,695,1489,234,964,291,33000.0
schellerlanden,1201,2652,451,1574,627,32600.0
oldenelerlanden-oost,1005,2387,544,1543,300,30900.0
oldenelerlanden-west,568,1482,326,994,162,37400.0
oldenelerbroek,1459,3319,685,2126,508,32600.0
schelle-zuid en oldeneel,66,176,37,90,49,
katerveer-engelse werk,204,645,157,327,161,58800.0
oud-ittersum,520,1324,299,766,259,32400.0
ittersumerlanden,1869,3817,710,2321,786,26300.0
ittersumerbroek,1006,2354,476,1514,364,32000.0
geren,453,799,111,616,72,24400.0
gerenlanden,1205,3093,742,1919,432,33700.0
gerenbroek,1192,3126,771,2000,355,32300.0
oude mars,25,125,40,80,5,
windesheim,154,406,96,247,63,31300.0
harculo en hoog-zuthem,139,502,90,250,162,41700.0
