buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1254,2046,160,1716,170,29200.0
binnenstad-noord,551,801,30,688,83,26500.0
noordereiland,337,556,62,380,114,31800.0
het noorden,906,1363,124,1060,179,22300.0
schildersbuurt,174,391,71,264,56,24500.0
bollebieste,856,1684,305,1059,320,19800.0
dieze-centrum,560,1013,128,774,111,22900.0
bagijneweide,409,744,76,511,157,28800.0
hogenkamp,1905,3065,428,2195,442,21100.0
indischebuurt,579,1079,192,772,115,18900.0
meppelerstraatweg-zuid,264,376,43,315,18,18600.0
bedrijventerrein floresstraat,186,417,111,277,29,29400.0
wipstrik-noord,1295,3061,759,1862,440,35000.0
wipstrik-zuid,1852,3404,574,2161,669,24300.0
stationsbuurt,569,1423,253,1011,159,32700.0
oud-assendorp,1975,4190,615,3242,333,25800.0
nieuw-assendorp,1405,3171,730,2140,301,25400.0
wezenlanden,378,617,84,348,185,23300.0
pierik,1110,2161,436,1459,266,23000.0
bedrijventerrein marslanden-noord,14,36,12,24,0,
hanzeland,522,1021,137,711,173,32100.0
kamperpoort,735,1338,122,871,345,20300.0
veerallee,539,1450,345,918,187,34100.0
bedrijventerrein voorst-a,44,60,1,59,0,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,116,309,67,183,59,32700.0
oud-westenholte,935,2327,596,1324,407,25900.0
westenholte-stins,1106,2784,667,1788,329,26900.0
vreugderijk,65,191,35,117,39,
bedrijventerrein voorst-c,2,6,0,5,1,
bedrijventerrein voorst-d,1,6,1,3,2,
frankhuis,2033,5999,2210,3553,236,29000.0
mastenbroek,20,59,13,44,2,
schoonhorst,1860,4487,1213,2825,449,28100.0
werkeren,1349,4240,1589,2333,318,29900.0
milligen,2743,7081,2075,4278,728,29400.0
de tippe,0,0,0,0,0,
breecamp,338,880,307,566,7,26100.0
breezicht,4,11,2,8,1,
stadsbroek,19,54,12,34,8,
holtenbroek iv,1624,3117,480,1753,884,20300.0
holtenbroek i,856,1825,450,1238,137,26000.0
holtenbroek ii,1248,2576,629,1752,195,20900.0
holtenbroek iii,1082,2420,532,1652,236,20800.0
aa-landen-zuid,1045,2253,447,1255,551,22900.0
aa-landen-midden,1987,3694,580,1998,1116,23900.0
aa-landen-noord,1596,3784,785,2079,920,28300.0
aa-landen-oost,1430,3275,634,1924,717,27600.0
brinkhoek,263,605,96,299,210,50300.0
langenholte,41,110,26,68,16,
haerst,106,296,58,184,54,35200.0
berkum,1674,3709,718,1852,1139,31100.0
bedrijventerrein de vrolijkheid,12,9,1,8,0,
veldhoek,97,238,50,123,65,
kantorenterrein oosterenk,10,13,0,9,4,
bedrijventerrein hessenpoort,29,73,20,38,15,
tolhuislanden,52,184,50,112,22,
herfte,134,383,98,216,69,34400.0
bedrijventerrein marslanden-zuid,7,138,15,120,3,
wijthmen,244,621,127,361,133,28500.0
oud-schelle,436,1188,306,689,193,32300.0
schellerhoek,369,1036,257,713,66,34500.0
schellerbroek,691,1511,235,1027,249,31400.0
schellerlanden,1195,2821,540,1779,502,29600.0
oldenelerlanden-oost,1005,2496,586,1695,215,28100.0
oldenelerlanden-west,556,1482,351,1033,98,32900.0
oldenelerbroek,1443,3420,808,2205,407,29000.0
schelle-zuid en oldeneel,68,193,49,99,45,
katerveer-engelse werk,201,589,164,303,122,44000.0
oud-ittersum,519,1292,286,745,261,28300.0
ittersumerlanden,1868,3916,813,2408,695,23600.0
ittersumerbroek,1005,2471,579,1579,313,29300.0
geren,453,830,128,638,64,21400.0
gerenlanden,1205,3217,828,2050,339,29000.0
gerenbroek,1191,3218,855,2111,252,29000.0
oude mars,14,75,19,55,1,
windesheim,154,401,99,244,58,28100.0
harculo en hoog-zuthem,136,476,73,239,164,31300.0
