buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1299,2143,147,1812,184,30400.0
binnenstad-noord,565,838,36,717,85,27800.0
noordereiland,341,545,57,376,112,31800.0
het noorden,1034,1489,121,1190,178,21600.0
schildersbuurt,175,393,77,255,61,25200.0
bollebieste,938,1738,298,1125,315,20800.0
dieze-centrum,550,1003,129,763,111,23700.0
bagijneweide,413,759,72,514,173,31200.0
hogenkamp,1920,3011,426,2142,443,22000.0
indischebuurt,578,1056,171,769,116,19600.0
meppelerstraatweg-zuid,264,374,36,322,16,19700.0
bedrijventerrein floresstraat,186,431,123,277,31,29400.0
wipstrik-noord,1299,3078,764,1864,450,35700.0
wipstrik-zuid,1854,3393,553,2170,670,25700.0
stationsbuurt,573,1406,258,986,162,31500.0
oud-assendorp,1988,4275,644,3304,327,26700.0
nieuw-assendorp,1408,3181,739,2133,309,26500.0
wezenlanden,379,628,87,356,185,24100.0
pierik,1145,2183,423,1494,266,23300.0
bedrijventerrein marslanden-noord,14,38,12,26,0,
hanzeland,522,1018,150,683,185,32100.0
kamperpoort,746,1428,133,955,340,21100.0
veerallee,543,1484,355,932,197,34500.0
bedrijventerrein voorst-a,43,59,0,59,0,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,116,299,64,171,64,33300.0
oud-westenholte,974,2401,604,1385,412,27300.0
westenholte-stins,1106,2743,655,1739,349,27800.0
vreugderijk,65,182,35,109,38,
bedrijventerrein voorst-c,2,6,0,5,1,
bedrijventerrein voorst-d,1,5,0,4,1,
frankhuis,2108,6146,2226,3673,247,30200.0
mastenbroek,20,63,16,44,3,
schoonhorst,1864,4462,1186,2822,454,29200.0
werkeren,1381,4399,1670,2394,335,32300.0
milligen,2809,7200,2086,4326,788,30500.0
de tippe,0,0,0,0,0,
breecamp,361,1018,364,648,6,28200.0
breezicht,4,10,2,7,1,
stadsbroek,19,54,11,33,10,
holtenbroek iv,1623,3110,481,1746,883,20900.0
holtenbroek i,892,1872,460,1262,150,27200.0
holtenbroek ii,1248,2574,621,1757,196,21700.0
holtenbroek iii,1083,2413,535,1629,249,21900.0
aa-landen-zuid,1047,2260,453,1269,538,23500.0
aa-landen-midden,1987,3711,580,2014,1117,24700.0
aa-landen-noord,1597,3791,796,2050,945,29100.0
aa-landen-oost,1437,3301,677,1865,759,28000.0
brinkhoek,265,597,87,297,213,56000.0
langenholte,42,116,29,70,17,
haerst,109,281,53,177,51,38200.0
berkum,1672,3721,729,1853,1139,31900.0
bedrijventerrein de vrolijkheid,12,7,1,6,0,
veldhoek,98,243,49,128,66,
kantorenterrein oosterenk,10,14,4,5,5,
bedrijventerrein hessenpoort,29,72,21,39,12,
tolhuislanden,53,179,47,110,22,
herfte,138,392,103,218,71,36700.0
bedrijventerrein marslanden-zuid,9,156,13,139,4,
wijthmen,243,626,130,366,130,30600.0
oud-schelle,484,1297,355,758,184,38400.0
schellerhoek,371,1024,243,713,68,36500.0
schellerbroek,694,1495,226,1010,259,32300.0
schellerlanden,1200,2784,514,1752,518,31100.0
oldenelerlanden-oost,1005,2469,567,1664,238,28900.0
oldenelerlanden-west,556,1463,332,1017,114,34400.0
oldenelerbroek,1443,3388,774,2187,427,29900.0
schelle-zuid en oldeneel,70,189,47,93,49,
katerveer-engelse werk,202,606,158,314,134,46300.0
oud-ittersum,521,1309,299,747,263,28900.0
ittersumerlanden,1869,3872,778,2403,691,24900.0
ittersumerbroek,1006,2450,559,1571,320,30500.0
geren,453,827,120,640,67,22500.0
gerenlanden,1205,3207,808,2048,351,30100.0
gerenbroek,1192,3198,838,2082,278,30300.0
oude mars,14,72,18,51,3,
windesheim,153,386,88,236,62,29400.0
harculo en hoog-zuthem,136,480,82,250,148,34400.0
