postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie
8014GN,Wijk 51 Ittersum,Gerenlanden,2021.0,Glasisolatie,Triple glas U <= 0
8014GN,Wijk 51 Ittersum,Gerenlanden,2021.0,Vloerisolatie,Vloerisolatie
8014GN,Wijk 51 Ittersum,Gerenlanden,2022.0,Glasisolatie,Triple glas U <= 0
8014GN,Wijk 51 Ittersum,Gerenlanden,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014GN,Wijk 51 Ittersum,Gerenlanden,2022.0,Vloerisolatie,Vloerisolatie
8014GN,Wijk 51 Ittersum,Gerenlanden,2023.0,Glasisolatie,Triple glas U <= 0
8014GN,Wijk 51 Ittersum,Gerenlanden,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014GN,Wijk 51 Ittersum,Gerenlanden,2024.0,Vloerisolatie,Vloerisolatie
8014GP,Wijk 51 Ittersum,Gerenlanden,2022.0,Vloerisolatie,Vloerisolatie
8014GP,Wijk 51 Ittersum,Gerenlanden,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014GP,Wijk 51 Ittersum,Gerenlanden,2023.0,Vloerisolatie,Bodemisolatie
8014GP,Wijk 51 Ittersum,Gerenlanden,2023.0,Vloerisolatie,Vloerisolatie
8014GP,Wijk 51 Ittersum,Gerenlanden,2024.0,Vloerisolatie,Vloerisolatie
8014GR,Wijk 51 Ittersum,Gerenlanden,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014GR,Wijk 51 Ittersum,Gerenlanden,2022.0,Vloerisolatie,Vloerisolatie
8014HB,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,HR++ glas U <= 1
8014HB,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014HB,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014HB,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Triple glas U <= 0
8014HB,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HB,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014HC,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014HC,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,Triple glas U <= 0
8014HC,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014HC,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HC,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HD,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014HD,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HD,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HD,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014HD,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HD,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HG,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014HG,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HG,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HG,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014HG,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HG,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014HG,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014HG,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HH,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014HH,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HH,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HH,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014HH,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014HH,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HH,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014HJ,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014HJ,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HJ,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014HJ,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014HJ,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HK,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014HK,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014HK,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014HK,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014HK,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water >= 3
8014HK,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014HK,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014HK,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014HK,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014HK,Wijk 51 Ittersum,Gerenbroek,2025.0,Glasisolatie,HR++ glas U <= 1
8014JA,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014JA,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JA,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JA,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,Triple glas U <= 0
8014JA,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JA,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014JC,Wijk 51 Ittersum,Gerenbroek,2022.0,Dakisolatie,Dakisolatie
8014JC,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014JC,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JC,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014JD,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,HR++ glas U <= 1
8014JD,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,Triple glas U <= 0
8014JD,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014JD,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JE,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JG,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JG,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JG,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014JG,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water < 1 kW
8014JH,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014JH,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Bodemisolatie
8014JH,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014JJ,Wijk 51 Ittersum,Gerenbroek,2021.0,Dakisolatie,Dakisolatie
8014JJ,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014JJ,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JJ,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JJ,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014JJ,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014JK,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014JK,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014JK,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JK,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014JL,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,HR++ glas U <= 1
8014JL,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014JL,Wijk 51 Ittersum,Gerenbroek,2022.0,Dakisolatie,Dakisolatie
8014JM,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014JM,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JN,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JP,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014JP,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Triple glas U <= 0
8014JP,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014JP,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JP,Wijk 51 Ittersum,Gerenbroek,2023.0,Dakisolatie,Dakisolatie
8014JP,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JP,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JR,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JR,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water >= 3
8014JR,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014JS,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JS,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JT,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014JT,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JT,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 3
8014JV,Wijk 51 Ittersum,Gerenbroek,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014JV,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water < 1 kW
8014JW,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JW,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water < 1 kW
8014JX,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014JX,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014JZ,Wijk 51 Ittersum,Gerenbroek,2021.0,Dakisolatie,Dakisolatie
8014JZ,Wijk 51 Ittersum,Gerenbroek,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8014JZ,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KA,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,Triple glas U <= 0
8014KA,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014KA,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014KA,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014KA,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KC,Wijk 51 Ittersum,Gerenbroek,2021.0,Dakisolatie,Dakisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,HR++ glas U <= 1
8014KC,Wijk 51 Ittersum,Gerenbroek,2021.0,Vloerisolatie,Vloerisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014KC,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Panelen in kozijn U <= 1
8014KC,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water >= 3
8014KC,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KC,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2024.0,Dakisolatie,Dakisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014KC,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014KD,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,Isolerende deur Ud <= 1
8014KD,Wijk 51 Ittersum,Gerenbroek,2022.0,Dakisolatie,Dakisolatie
8014KD,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014KD,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Triple glas U <= 0
8014KD,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KD,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KD,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014KD,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014KD,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014KD,Wijk 51 Ittersum,Gerenbroek,2024.0,Dakisolatie,Dakisolatie
8014KD,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KD,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KD,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014KE,Wijk 51 Ittersum,Gerenbroek,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8014KE,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014KE,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KE,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KE,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014KE,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KG,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KG,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,Triple glas U <= 0
8014KG,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014KH,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014KH,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KH,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KH,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014KH,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 3
8014KK,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014KK,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Bodemisolatie
8014KK,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KK,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KK,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KK,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014KL,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014KL,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KL,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014KL,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KL,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014KN,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014KN,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014KN,Wijk 51 Ittersum,Gerenbroek,2024.0,Dakisolatie,Dakisolatie
8014KN,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014KN,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water < 1 kW
8014LA,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014LB,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014LB,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LB,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014LB,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water < 1 kW
8014LB,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014LB,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014LC,Wijk 51 Ittersum,Gerenbroek,2021.0,Glasisolatie,HR++ glas U <= 1
8014LC,Wijk 51 Ittersum,Gerenbroek,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LD,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014LD,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LD,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014LE,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014LE,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014LE,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014LG,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014LG,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LG,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Bodemisolatie
8014LG,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014LG,Wijk 51 Ittersum,Gerenbroek,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014LG,Wijk 51 Ittersum,Gerenbroek,2024.0,Dakisolatie,Dakisolatie
8014LH,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014LJ,Wijk 51 Ittersum,Gerenbroek,2022.0,Dakisolatie,Dakisolatie
8014LL,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LL,Wijk 51 Ittersum,Gerenbroek,2023.0,Dakisolatie,Dakisolatie
8014LM,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LN,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LN,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014LN,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014LN,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014LP,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014LR,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014LR,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8014LR,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MB,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Bodemisolatie
8014MB,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MB,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014MB,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 3
8014MC,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MC,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Vloerisolatie
8014MC,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014MD,Wijk 51 Ittersum,Gerenbroek,2022.0,Dakisolatie,Dakisolatie
8014MD,Wijk 51 Ittersum,Gerenbroek,2022.0,Glasisolatie,HR++ glas U <= 1
8014MD,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MD,Wijk 51 Ittersum,Gerenbroek,2023.0,Glasisolatie,HR++ glas U <= 1
8014MD,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MD,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014MD,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 3
8014MD,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MG,Wijk 51 Ittersum,Gerenbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MG,Wijk 51 Ittersum,Gerenbroek,2023.0,Vloerisolatie,Vloerisolatie
8014MH,Wijk 51 Ittersum,Gerenbroek,2024.0,Dakisolatie,Dakisolatie
8014MH,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MH,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Vloerisolatie
8014MK,Wijk 51 Ittersum,Gerenbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MK,Wijk 51 Ittersum,Gerenbroek,2022.0,Vloerisolatie,Bodemisolatie
8014MK,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MK,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014MK,Wijk 51 Ittersum,Gerenbroek,2024.0,Vloerisolatie,Bodemisolatie
8014ML,Wijk 51 Ittersum,Gerenbroek,2025.0,Glasisolatie,HR++ glas U <= 1
8014MN,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,Triple glas U <= 0
8014MN,Wijk 51 Ittersum,Gerenbroek,2024.0,Warmtepomp,Lucht-water >= 3
8014MR,Wijk 51 Ittersum,Gerenbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014MR,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,HR++ glas U <= 1
8014MR,Wijk 51 Ittersum,Gerenbroek,2024.0,Glasisolatie,Isolerende deur Ud <= 1
8014MR,Wijk 51 Ittersum,Gerenbroek,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8014NA,Wijk 51 Ittersum,Geren,2022.0,Glasisolatie,HR++ glas U <= 1
8014NA,Wijk 51 Ittersum,Geren,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8014NA,Wijk 51 Ittersum,Geren,2022.0,Vloerisolatie,Vloerisolatie
8014NB,Wijk 51 Ittersum,Geren,2024.0,Warmtepomp,Lucht-water >= 3
8014NC,Wijk 51 Ittersum,Geren,2022.0,Glasisolatie,HR++ glas U <= 1
8014NC,Wijk 51 Ittersum,Geren,2022.0,Vloerisolatie,Vloerisolatie
8014NM,Wijk 51 Ittersum,Geren,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014NZ,Wijk 51 Ittersum,Geren,2022.0,Warmtepomp,Lucht-water >= 3
8014NZ,Wijk 51 Ittersum,Geren,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014NZ,Wijk 51 Ittersum,Geren,2023.0,Warmtepomp,Lucht-water >= 3
8014NZ,Wijk 51 Ittersum,Geren,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8014NZ,Wijk 51 Ittersum,Geren,2025.0,Warmtepomp,Lucht-water >= 3
8014PA,Wijk 51 Ittersum,Ittersumerlanden,2022.0,Vloerisolatie,Vloerisolatie
8014PA,Wijk 51 Ittersum,Ittersumerlanden,2022.0,Warmtepomp,Lucht-water >= 3
8014PA,Wijk 51 Ittersum,Ittersumerlanden,2023.0,Glasisolatie,HR++ glas U <= 1
8014PA,Wijk 51 Ittersum,Ittersumerlanden,2024.0,Glasisolatie,HR++ glas U <= 1
