postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie
8011CV,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Grond-water > 10 kW en <= 70 kW
8011EA,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie
8011EA,Wijk 13 Assendorp,Stationsbuurt,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023.0,Dakisolatie,Dakisolatie
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1
8011GA,Wijk 13 Assendorp,Stationsbuurt,2022.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Zolder- of vlieringvloer
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,Isolerende deur Ud <= 1
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Dakisolatie
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Dakisolatie
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8011GP,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie
8011GR,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Lucht-water >= 3
8011GS,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1
8011GS,Wijk 13 Assendorp,Stationsbuurt,2024.0,Vloerisolatie,Vloerisolatie
8011GT,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1
8011GT,Wijk 13 Assendorp,Stationsbuurt,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021.0,Dakisolatie,Dakisolatie
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Bodemisolatie
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024.0,Vloerisolatie,Vloerisolatie
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Dakisolatie,Dakisolatie
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Vloerisolatie,Bodemisolatie
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Vloerisolatie,Vloerisolatie
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Bodemisolatie
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Bodemisolatie
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Zolder- of vlieringvloer
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie
8011JL,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie
8011JL,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1
8011JP,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water >= 3
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Water-water > 10 kW en <= 70 kW
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Glasisolatie,HR++ glas U <= 1
8011LC,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Dakisolatie,Dakisolatie
8011LK,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011LM,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water < 1 kW
8011MZ,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water >= 3
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2021.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Glasisolatie,HR++ glas U <= 1
8011NC,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Dakisolatie,Dakisolatie
8011NE,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011NL,Wijk 10 Binnenstad,Binnenstad-Zuid,2025.0,Warmtepomp,Grond-water > 10 kW en <= 70 kW
8011NP,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water < 1 kW
8011NP,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3
8011NR,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 3
8011NT,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1
8011NT,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3
8011NV,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Glasisolatie,HR++ glas U <= 1
8011NV,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3
