projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude
SDE1820339,SDE,2020,Zonne-energie,"162,792",52.534526,6.1729359
SDE1820351,SDE,2021,Zonne-energie,"114,727",52.556157,6.1743608
SDE1820614,SDE,2021,Zonne-energie,"579,548",52.471081,6.1084907
SDE1821091,SDE,2020,Zonne-energie,"26,163",52.51334,6.083944
SDE1821296,SDE,2020,Zonne-energie,"117,093",52.500033,6.1299002
SDE1822155,SDE,2019,Zonne-energie,"134,963",52.499075,6.1239317
SDE1822538,SDE,2019,Zonne-energie,"145,350",52.583911,6.1922607
SDE1822875,SDE,2019,Zonne-energie,"60,648",52.4922,6.1073333
SDE1823332,SDE,2020,Zonne-energie,"148,428",52.500024,6.1102217
SDE1823419,SDE,2021,Zonne-energie,"234,185",52.534548,6.0490296
SDE1823805,SDE,2020,Zonne-energie,"467,187",52.461786,6.1451947
SDE1825179,SDE,2022,Zonne-energie,"532,238",52.478497,6.1273252
SDE1825987,SDE,2021,Zonne-energie,"17,158,824",52.5072,6.097708
SDE1827899,SDE,2021,Zonne-energie,"151,207",52.511849,6.0512535
SDE1828650,SDE,2021,Zonne-energie,"59,138",52.534548,6.0490296
SDE1828745,SDE,2021,Zonne-energie,"317,205",52.49111,6.1367629
SDE1828977,SDE,2019,Zonne-energie,"75,953",52.544049,6.1764078
SDE1829178,SDE,2020,Zonne-energie,"211,228",52.490822,6.1408806
SDE1910975,SDE,2021,Zonne-energie,"117,563",52.539386,6.0322984
SDE1915766,SDE,2020,Zonne-energie,"213,750",52.499958,6.1337614
SDE1915850,SDE,2023,Zonne-energie,"708,345",52.534526,6.1729359
SDE1916001,SDE,2020,Zonne-energie,"350,892",52.491784,6.1244631
SDE1916830,SDE,2021,Zonne-energie,"819,347",52.509288,6.1377469
SDE1917615,SDE,2020,Zonne-energie,"106,875",52.530155,6.1725409
SDE1919560,SDE,2020,Zonne-energie,"97,037",52.5072,6.097708
SDE1922881,SDE,2019,Windenergie,"14,333",52.520888,6.1831097
SDE1926239,SDE,2021,Zonne-energie,"41,682",52.489908,6.1252912
SDE1926706,SDE,2021,Zonne-energie,"479,712",52.497947,6.1213956
SDE1926725,SDE,2021,Zonne-energie,"64,838",52.489523,6.127931
SDE1928282,SDE,2023,Zonne-energie,"127,823",52.515489,6.0885447
SDE1929527,SDE,2020,Windenergie,"13,748",52.556157,6.1743608
SDE1929902,SDE,2022,Zonne-energie,"655,823",52.510421,6.0426833
SDE2011409,SDE,2021,Zonne-energie,"440,103",52.492857,6.1428715
SDE2012036,SDE,2021,Zonne-energie,"37,392",52.495671,6.1358006
SDE2013174,SDE,2021,Zonne-energie,"46,313",52.504783,6.0838541
SDE2013495,SDE,2021,Zonne-energie,"277,320",52.492857,6.1428715
SDE2013704,SDE,2022,Zonne-energie,"28,586",52.494547,6.1390944
SDE2015226,SDE,2020,Windenergie,"7,980",52.556157,6.1743608
SDE2016637,SDE,2022,Zonne-energie,"35,055",52.500024,6.1102217
SDE2017001,SDE,2021,Zonne-energie,"30,966",52.480771,6.1069515
SDE2017144,SDE,2022,Zonne-energie,"46,313",52.503188,6.0843461
SDE2017771,SDE,2021,Zonne-energie,"82,010",52.533595,6.1769997
SDE2019952,SDE,2021,Zonne-energie,"1,339,671",52.46374,6.1231535
SDE2021851,SDE,2023,Zonne-energie,"40,619",52.487745,6.1314385
SDE2024584,SDE,2021,Zonne-energie,"50,873",52.480771,6.1069515
SDE2028980,SDE,2023,Zonne-energie,"414,954",52.53467,6.1675392
SDE2113603,SDE,2024,Zonne-energie,"456,425",52.533595,6.1769997
SDE2119174,SDE,2024,Zonne-energie,"285,404",52.522145,6.1240136
SDE2119207,SDE,2023,Zonne-energie,"62,241",52.525419,6.1402064
