buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1527,2338,155,1959,224,35100.0
binnenstad-noord,602,838,38,720,80,32000.0
noordereiland,541,867,66,614,187,46700.0
het noorden,1251,1642,106,1359,177,25800.0
schildersbuurt,175,360,52,244,64,31200.0
bollebieste,976,1626,224,1077,325,26300.0
dieze-centrum,607,1000,99,793,108,27600.0
bagijneweide,489,830,68,578,184,36700.0
hogenkamp,1994,3365,568,2325,472,27000.0
indischebuurt,593,1038,187,739,112,22900.0
meppelerstraatweg-zuid,264,372,43,314,15,22600.0
bedrijventerrein floresstraat,186,428,126,266,36,34400.0
wipstrik-noord,1304,3095,751,1862,482,43000.0
wipstrik-zuid,1860,3319,474,2106,739,30500.0
stationsbuurt,580,1344,212,957,175,38200.0
oud-assendorp,2128,4087,571,3202,314,31300.0
nieuw-assendorp,1420,3053,670,2048,335,31800.0
wezenlanden,663,1233,226,755,252,33600.0
pierik,1174,2135,375,1471,289,27800.0
bedrijventerrein marslanden-noord,14,35,5,28,2,
hanzeland,636,1130,110,807,213,36000.0
kamperpoort,1310,2160,186,1567,407,27700.0
veerallee,683,1905,514,1171,220,43200.0
bedrijventerrein voorst-a,42,55,0,53,2,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,321,75,167,79,41800.0
oud-westenholte,1038,2524,623,1425,476,32100.0
westenholte-stins,1107,2614,541,1578,495,32200.0
vreugderijk,65,181,37,106,38,
bedrijventerrein voorst-c,1,4,0,4,0,
bedrijventerrein voorst-d,1,4,0,4,0,
frankhuis,2363,6649,2109,4143,397,37000.0
mastenbroek,19,52,9,36,7,
schoonhorst,1867,4286,988,2753,545,34500.0
werkeren,1675,5261,1979,2917,365,39200.0
milligen,2823,6938,1753,4172,1013,34800.0
de tippe,0,0,0,0,0,
breecamp,818,2631,1016,1600,15,36300.0
breezicht,154,371,128,234,9,30300.0
stadsbroek,20,56,7,37,12,
holtenbroek iv,1663,3145,514,1773,858,24500.0
holtenbroek i,893,1875,459,1217,199,32300.0
holtenbroek ii,1382,2613,554,1839,220,25600.0
holtenbroek iii,1083,2222,454,1505,263,25900.0
aa-landen-zuid,1046,2173,391,1271,511,28300.0
aa-landen-midden,2066,3846,672,2011,1163,28200.0
aa-landen-noord,1597,3823,839,1987,997,33500.0
aa-landen-oost,1456,3371,719,1793,859,32100.0
brinkhoek,265,643,116,310,217,67200.0
langenholte,44,127,24,83,20,
haerst,108,283,39,186,58,40100.0
berkum,1671,3802,759,1938,1105,36200.0
bedrijventerrein de vrolijkheid,4,8,1,7,0,
veldhoek,105,267,48,155,64,61100.0
kantorenterrein oosterenk,123,181,7,165,9,20200.0
bedrijventerrein hessenpoort,32,77,12,52,13,
tolhuislanden,55,173,44,104,25,
herfte,141,386,74,227,85,43200.0
bedrijventerrein marslanden-zuid,9,171,10,156,5,
wijthmen,248,596,107,358,131,35100.0
oud-schelle,486,1423,387,829,207,43900.0
schellerhoek,373,976,214,666,96,41700.0
schellerbroek,695,1453,230,915,308,35700.0
schellerlanden,1202,2616,439,1499,678,34700.0
oldenelerlanden-oost,1005,2386,535,1494,357,33200.0
oldenelerlanden-west,568,1437,317,932,188,40200.0
oldenelerbroek,1457,3238,599,2056,583,35300.0
schelle-zuid en oldeneel,68,173,29,91,53,
katerveer-engelse werk,207,659,143,354,162,59200.0
oud-ittersum,578,1466,336,849,281,34900.0
ittersumerlanden,1874,3794,712,2251,831,28500.0
ittersumerbroek,1006,2311,420,1501,390,34600.0
geren,453,797,104,610,83,26100.0
gerenlanden,1222,3067,694,1900,473,35300.0
gerenbroek,1192,3076,735,1917,424,34900.0
oude mars,29,130,36,86,8,
windesheim,155,397,89,243,65,34900.0
harculo en hoog-zuthem,141,509,76,263,170,42200.0
