buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1382,2242,165,1870,207,30400.0
binnenstad-noord,574,848,36,723,89,28600.0
noordereiland,365,590,50,408,132,36100.0
het noorden,1035,1478,105,1201,172,22000.0
schildersbuurt,175,368,60,250,58,26200.0
bollebieste,941,1741,291,1140,310,22100.0
dieze-centrum,561,983,121,757,105,25000.0
bagijneweide,442,793,73,538,182,32400.0
hogenkamp,1960,3247,495,2309,443,23000.0
indischebuurt,581,1029,185,730,114,20400.0
meppelerstraatweg-zuid,264,367,35,316,16,20500.0
bedrijventerrein floresstraat,186,436,133,270,33,29400.0
wipstrik-noord,1300,3080,754,1866,460,36900.0
wipstrik-zuid,1858,3436,527,2203,706,26700.0
stationsbuurt,579,1365,225,965,175,33900.0
oud-assendorp,2109,4083,588,3217,278,27500.0
nieuw-assendorp,1408,3084,696,2072,316,27500.0
wezenlanden,431,700,98,408,194,24800.0
pierik,1144,2132,396,1451,285,24400.0
bedrijventerrein marslanden-noord,13,32,7,24,1,
hanzeland,522,991,125,667,199,31900.0
kamperpoort,810,1468,162,964,342,22900.0
veerallee,627,1718,445,1080,193,36300.0
bedrijventerrein voorst-a,43,60,2,58,0,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,313,69,168,76,35900.0
oud-westenholte,1013,2510,629,1443,438,29100.0
westenholte-stins,1106,2703,640,1646,417,28400.0
vreugderijk,65,185,41,111,33,
bedrijventerrein voorst-c,2,5,0,4,1,
bedrijventerrein voorst-d,1,6,0,5,1,
frankhuis,2270,6509,2232,3983,294,31800.0
mastenbroek,19,58,13,38,7,
schoonhorst,1863,4369,1109,2785,475,30100.0
werkeren,1463,4716,1823,2560,333,33300.0
milligen,2814,7111,1983,4242,886,31500.0
de tippe,0,0,0,0,0,
breecamp,491,1474,544,923,7,31100.0
breezicht,4,9,1,7,1,
stadsbroek,20,51,7,32,12,
holtenbroek iv,1620,3123,492,1768,863,21500.0
holtenbroek i,891,1864,464,1230,170,28500.0
holtenbroek ii,1337,2671,624,1832,215,22600.0
holtenbroek iii,1083,2324,509,1553,262,22800.0
aa-landen-zuid,1046,2211,429,1271,511,24900.0
aa-landen-midden,2042,3779,603,2028,1148,25000.0
aa-landen-noord,1597,3849,841,2028,980,29400.0
aa-landen-oost,1437,3311,698,1794,819,29100.0
brinkhoek,261,610,97,301,212,67000.0
langenholte,43,111,22,72,17,
haerst,109,280,51,174,55,36900.0
berkum,1672,3760,765,1874,1121,32800.0
bedrijventerrein de vrolijkheid,12,7,0,7,0,
veldhoek,100,230,41,130,59,
kantorenterrein oosterenk,5,14,5,3,6,
bedrijventerrein hessenpoort,28,70,15,43,12,
tolhuislanden,55,177,43,111,23,
herfte,141,399,92,235,72,40600.0
bedrijventerrein marslanden-zuid,9,166,13,150,3,
wijthmen,247,629,134,368,127,31800.0
oud-schelle,486,1365,381,793,191,38000.0
schellerhoek,373,991,217,690,84,36800.0
schellerbroek,694,1477,223,979,275,31200.0
schellerlanden,1201,2692,476,1623,593,31300.0
oldenelerlanden-oost,1005,2437,554,1611,272,29500.0
oldenelerlanden-west,556,1453,314,992,147,35800.0
oldenelerbroek,1460,3357,704,2178,475,31200.0
schelle-zuid en oldeneel,66,177,36,92,49,
katerveer-engelse werk,204,632,154,320,158,55800.0
oud-ittersum,520,1315,291,759,265,30300.0
ittersumerlanden,1868,3847,734,2355,758,25300.0
ittersumerbroek,1005,2387,509,1537,341,30400.0
geren,453,805,110,623,72,22900.0
gerenlanden,1205,3117,755,1948,414,30900.0
gerenbroek,1192,3157,818,2020,319,31300.0
oude mars,22,101,33,66,2,
windesheim,154,404,94,251,59,31300.0
harculo en hoog-zuthem,139,511,93,258,160,40600.0
