buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1328,2175,157,1820,198,32400.0
binnenstad-noord,562,830,25,716,89,29500.0
noordereiland,373,582,52,400,130,34400.0
het noorden,1034,1498,113,1206,179,21900.0
schildersbuurt,175,362,62,240,60,26700.0
bollebieste,940,1734,293,1136,305,21600.0
dieze-centrum,550,958,101,747,110,24300.0
bagijneweide,434,806,76,545,185,31500.0
hogenkamp,1921,3121,481,2201,439,22600.0
indischebuurt,578,1050,185,750,115,19600.0
meppelerstraatweg-zuid,264,368,39,314,15,19900.0
bedrijventerrein floresstraat,186,440,132,278,30,32600.0
wipstrik-noord,1299,3091,763,1870,458,36300.0
wipstrik-zuid,1861,3405,540,2180,685,26500.0
stationsbuurt,569,1391,255,973,163,32500.0
oud-assendorp,2097,4166,603,3250,313,27300.0
nieuw-assendorp,1408,3172,720,2137,315,27000.0
wezenlanden,381,631,92,367,172,24600.0
pierik,1146,2185,424,1484,277,24000.0
bedrijventerrein marslanden-noord,13,32,9,23,0,
hanzeland,522,999,138,670,191,32300.0
kamperpoort,750,1380,145,898,337,22000.0
veerallee,598,1610,405,1010,195,38500.0
bedrijventerrein voorst-a,43,61,2,59,0,
bedrijventerrein voorst-b,0,8,0,8,0,
spoolde,115,296,62,166,68,34400.0
oud-westenholte,981,2451,615,1407,429,28600.0
westenholte-stins,1106,2728,643,1703,382,27900.0
vreugderijk,65,183,39,108,36,
bedrijventerrein voorst-c,2,6,0,5,1,
bedrijventerrein voorst-d,1,5,0,4,1,
frankhuis,2210,6393,2238,3884,271,31300.0
mastenbroek,19,63,15,41,7,
schoonhorst,1864,4397,1154,2784,459,30100.0
werkeren,1430,4542,1736,2474,332,32900.0
milligen,2814,7189,2075,4279,835,30700.0
de tippe,0,0,0,0,0,
breecamp,453,1273,454,811,8,30100.0
breezicht,4,10,2,7,1,
stadsbroek,20,61,13,37,11,
holtenbroek iv,1624,3108,483,1764,861,21100.0
holtenbroek i,891,1888,470,1253,165,27800.0
holtenbroek ii,1322,2647,615,1826,206,21900.0
holtenbroek iii,1083,2354,526,1572,256,22100.0
aa-landen-zuid,1048,2210,426,1262,522,24000.0
aa-landen-midden,1987,3721,602,1993,1126,24900.0
aa-landen-noord,1597,3838,822,2033,983,29500.0
aa-landen-oost,1437,3289,685,1823,781,28800.0
brinkhoek,265,611,99,295,217,65000.0
langenholte,43,110,24,68,18,
haerst,108,268,46,169,53,36500.0
berkum,1673,3736,739,1870,1127,33100.0
bedrijventerrein de vrolijkheid,11,5,1,4,0,
veldhoek,99,244,49,133,62,
kantorenterrein oosterenk,5,20,6,8,6,
bedrijventerrein hessenpoort,29,73,17,44,12,
tolhuislanden,54,180,44,114,22,
herfte,139,388,98,217,73,39500.0
bedrijventerrein marslanden-zuid,9,152,13,137,2,
wijthmen,249,622,125,368,129,30500.0
oud-schelle,484,1377,396,790,191,36900.0
schellerhoek,371,1007,223,706,78,36900.0
schellerbroek,694,1482,228,995,259,32800.0
schellerlanden,1200,2753,502,1695,556,31600.0
oldenelerlanden-oost,1005,2436,557,1623,256,29200.0
oldenelerlanden-west,556,1458,330,1000,128,37400.0
oldenelerbroek,1446,3369,730,2182,457,30600.0
schelle-zuid en oldeneel,69,179,38,90,51,
katerveer-engelse werk,204,591,155,315,121,50400.0
oud-ittersum,521,1308,301,743,264,30100.0
ittersumerlanden,1868,3865,759,2394,712,25000.0
ittersumerbroek,1006,2430,531,1575,324,30600.0
geren,453,810,115,630,65,22800.0
gerenlanden,1205,3183,791,2015,377,30500.0
gerenbroek,1192,3167,833,2038,296,30700.0
oude mars,18,92,27,62,3,
windesheim,153,398,95,242,61,30600.0
harculo en hoog-zuthem,139,500,86,257,157,
