telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
37,2023-02-18,8014CX,52.48682896923077,6.115579469230769,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
38,2023-02-20,8015BL,52.47483314705882,6.1190883,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
39,2023-02-20,8042AT,52.52051880892857,6.051550432142857,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
40,2023-02-20,8031CA,52.52763728,6.080883993333333,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
41,2023-02-22,8033EG,52.53611576666667,6.106721476190476,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
42,2023-02-23,8042GB,52.52308135714286,6.044538566666667,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
43,2023-02-23,8043EH,52.537654596875,6.060523128125,68.0,147.0,222.0,Schoonhorst,Schoonhorst,720372.310721911,3657.84389300165,Schoonhorst
44,2023-02-24,8032JN,52.53318012857142,6.104458528571429,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
45,2023-02-28,8016LM,52.47652853448276,6.102609979310345,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
46,2023-02-28,8035RA,52.57235228,6.16251404,37.0,116.0,322.0,Haerst,Haerst,13150215.9604373,25404.8628740021,Haerst
47,2023-01-03,8042NR,52.5184481,6.047541653333333,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
48,2023-01-03,8011LC,52.5111132826087,6.087621960869565,9.0,88.0,100.0,Binnenstad-zuid,Binnenstad-Zuid,333124.598670346,2950.20272861734,Binnenstad-Zuid
49,2023-07-03,8014HD,52.48383058666667,6.1243483,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
50,2023-07-03,8016DS,52.485534771428576,6.097967921428571,46.0,125.0,505.0,Oldenelerlanden-west,Oldenelerlanden-West,374528.946531023,2865.53159950766,Oldenelerlanden-West
51,2023-07-03,8017NA,52.49434791111111,6.097803033333333,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
