telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
11,2024-01-15,8017DM,52.49760446818182,6.08682855,15.0,94.0,502.0,Schellerbroek,Schellerbroek,632342.762411758,4437.08256042035,Schellerbroek
12,2024-01-15,8016LM,52.47652853448276,6.102609979310345,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
13,2024-01-16,8013AH,52.50326324285714,6.112397271428572,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
14,2024-01-16,8012WK,52.50514351578947,6.097225107894737,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
15,2024-01-17,8043ZW,52.5271382425,6.0694185350000005,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
16,2024-01-19,8032AE,52.52494907,6.10097369,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
17,2024-01-22,8017DM,52.49760446818182,6.08682855,15.0,94.0,502.0,Schellerbroek,Schellerbroek,632342.762411758,4437.08256042035,Schellerbroek
18,2024-01-22,8032LN,52.538357125,6.091970725,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
19,2024-01-23,8016MG,52.47509087272727,6.108542836363637,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
20,2024-01-26,8023AJ,52.51617840952381,6.113024066666666,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
21,2024-01-27,8032CC,52.52848376666667,6.110788925,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
22,2024-01-29,8016LL,52.47776426315789,6.1050874578947365,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
23,2024-01-30,8033DC,52.53913934285714,6.109746435714285,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
24,2024-01-02,8032CV,52.52753795294118,6.109170088235294,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
25,2024-08-02,8012DT,52.50583846875,6.10301154375,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
26,2024-09-02,8016MK,52.47314188,6.107689135,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
27,2024-09-02,8031PA,52.52337162424242,6.080337463636363,61.0,140.0,301.0,Holtenbroek I,Holtenbroek I,332903.676021958,3085.4383464158404,Holtenbroek I
28,2024-12-02,8032XG,52.53478981428572,6.0921179,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
29,2024-02-13,8031ZG,52.5245462652174,6.0877847,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
30,2024-02-13,8014SB,52.478060925,6.110725425,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
31,2024-02-16,8032TX,52.53707322727273,6.100262663636364,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
32,2024-02-18,8043KE,52.535345095,6.054179635000001,76.0,155.0,224.0,Milligen,Milligen,1617664.30720597,7156.91013286262,Milligen
33,2024-02-20,8017LV,52.492445573333335,6.0994224,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
34,2024-02-20,8012AE,52.50124490909091,6.1047147,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
35,2024-02-20,8012VZ,52.50395542727272,6.100255427272727,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
36,2024-02-20,8023CW,52.513326095,6.114167215,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
37,2024-02-22,8042GZ,52.52202431052632,6.045693721052632,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
38,2024-02-23,8016MA,52.47714960740741,6.109161955555555,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
39,2024-02-27,8015BL,52.47483314705882,6.1190883,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
40,2024-02-27,8012AE,52.50124490909091,6.1047147,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
41,2024-02-27,8012XH,52.50148823888889,6.108609172222223,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
42,2024-02-27,8032EL,52.530579509375,6.095283209375,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
43,2024-02-28,8031JL,52.52891968125,6.07859008125,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
44,2024-02-28,8021DP,52.51804233333333,6.092278533333333,30.0,109.0,110.0,Het noorden,Het Noorden,250575.999896122,2149.23921637447,Het Noorden
45,2024-02-28,8032EJ,52.53002004285714,6.094140485714286,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
46,2024-02-28,8042AV,52.5221020625,6.049312733333333,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
47,2024-02-29,8031ZV,52.524331446153845,6.084682515384615,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
48,2024-01-03,8043EW,52.53511631666667,6.061316688888889,68.0,147.0,222.0,Schoonhorst,Schoonhorst,720372.310721911,3657.84389300165,Schoonhorst
49,2024-01-03,8017AV,52.4948513525,6.101799845,17.0,96.0,500.0,Oud Schelle,Oud-Schelle,350500.37417387,3357.77484968226,Oud-Schelle
50,2024-01-03,8023TT,52.512645675,6.109377441666666,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
51,2024-04-03,8033CJ,52.536844765384615,6.109644888461538,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
52,2024-04-03,8032AL,52.525869905,6.10197225,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
53,2024-05-03,8014DE,52.489046185,6.113409795,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
54,2024-05-03,8032ND,52.53984876956522,6.093877552173914,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
55,2024-06-03,8015DX,52.47750115,6.11618638125,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
56,2024-06-03,8012ES,52.50526734583333,6.109725,44.0,123.0,133.0,Wezenlanden,Wezenlanden,571359.566811339,3546.55421354131,Wezenlanden
57,2024-06-03,8033DM,52.53851154,6.1059556950000005,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
58,2024-07-03,8011GP,52.50546490869565,6.093764791304348,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
59,2024-08-03,8016LE,52.47720034,6.103201038181818,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
60,2024-08-03,8017DA,52.499068441666665,6.0841109583333335,15.0,94.0,502.0,Schellerbroek,Schellerbroek,632342.762411758,4437.08256042035,Schellerbroek
61,2024-08-03,8033BT,52.53577743571429,6.113281135714286,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
62,2024-11-03,8012TT,52.507429856,6.098779668,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
63,2024-12-03,8023TT,52.512645675,6.109377441666666,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
64,2024-03-14,8012XG,52.501477775,6.10818233125,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
65,2024-03-14,8012XG,52.501477775,6.10818233125,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
66,2024-03-15,8012XG,52.501477775,6.10818233125,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
67,2024-03-18,8033AX,52.535084375,6.1115039125,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
68,2024-03-20,8032MP,52.53713428666667,6.095580086666667,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
69,2024-03-21,8016HK,52.49077783125,6.10297385,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
70,2024-03-23,8014MK,52.48241910833333,6.119285320833334,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
71,2024-03-28,8042AD,52.525783948739495,6.051096955462184,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
72,2024-03-28,8224HP,52.50990721111111,5.495955422222222,,,,,,,,
73,2024-03-30,8033DG,52.54033305,6.10859606,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
74,2024-04-04,8012CR,52.5034784,6.104100694444445,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
75,2024-08-04,8014PP,52.477025385000005,6.11262549,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
76,2024-09-04,8013AD,52.5042623452381,6.1126225071428575,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
77,2024-11-04,8033CL,52.53654644444444,6.112147438888889,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
78,2024-11-04,8033AG,52.5323167,6.111045942857142,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
79,2024-12-04,8023AZ,52.51638994,6.116691673333333,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
80,2024-04-15,8031TN,52.53047888888889,6.08339795,5.0,84.0,303.0,Holtenbroek III,Holtenbroek III,470746.311350332,2944.4646626072,Holtenbroek III
81,2024-04-17,8016BK,52.48029621578947,6.107785378947368,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
82,2024-04-17,8017MR,52.49227662307692,6.095340584615385,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
83,2024-04-17,8012DT,52.50583846875,6.10301154375,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
84,2024-04-19,8012CX,52.50158403846154,6.105591430769231,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
85,2024-04-24,8017BG,52.49908875714286,6.099129060714286,54.0,133.0,501.0,Schellerhoek,Schellerhoek,239976.69866863,3514.24854989088,Schellerhoek
86,2024-04-24,8023BG,52.516095,6.116290338461538,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
87,2024-04-30,8031KL,52.5284457,6.08474033,5.0,84.0,303.0,Holtenbroek III,Holtenbroek III,470746.311350332,2944.4646626072,Holtenbroek III
88,2024-08-05,8011VX,52.514474914285714,6.09982138095238,10.0,89.0,102.0,Noordereiland,Noordereiland,148535.831484469,2148.7882429227,Noordereiland
89,2024-05-15,8031GB,52.527342571428576,6.075396021428571,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
90,2024-04-06,8033DW,52.538050708,6.107186292,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
91,2024-05-06,8016BL,52.47967266875,6.1077454875,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
92,2024-05-06,8011CV,52.50778900625,6.09316075,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
93,2024-10-06,8015BV,52.4750747047619,6.1227198523809525,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
94,2024-12-06,8023VA,52.51106501929824,6.107555642105264,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
95,2024-06-14,8033CC,52.53639366190476,6.109980190476191,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
96,2024-06-20,8012CS,52.50281779166667,6.103712408333333,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
97,2024-06-26,8014ZD,52.48640244375,6.107312325,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
98,2024-05-07,8023TX,52.5119679,6.108873572727273,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
99,2024-09-07,8043XG,52.52441237012987,6.060577996103897,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
100,2024-09-07,8033BH,52.532349571428576,6.1143250857142855,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
101,2024-10-07,8032TV,52.53769077272728,6.100186186363636,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
102,2024-12-08,8032NJ,52.540371796,6.095680924,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
103,2024-08-19,8043VD,52.53056194285714,6.053430871428572,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
104,2024-08-19,8031DK,52.52331347916667,6.089460629166666,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
105,2024-08-30,8033DM,52.53851154,6.1059556950000005,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
106,2024-10-09,8012EA,52.50398609333333,6.105687746666667,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
107,2024-11-09,8023AR,52.51673401875,6.1156142,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
108,2024-09-13,8043XW,52.52686062857143,6.056770857142857,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
109,2024-09-13,8011GL,52.50594516818182,6.093664613636364,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
110,2024-09-13,8023AZ,52.51638994,6.116691673333333,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
111,2024-09-20,8032XK,52.533500975,6.09413861,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
112,2024-09-21,8016AV,52.483999835714286,6.104401771428572,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
113,2024-09-25,8014ZB,52.48629291428571,6.110914957142858,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
114,2024-09-25,8023DP,52.50971542727272,6.116572663636363,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
115,2024-09-27,8032XK,52.533500975,6.09413861,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
116,2024-10-10,8032TB,52.539291128,6.0989880240000005,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
117,2024-10-16,8012AE,52.50124490909091,6.1047147,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
118,2024-10-17,8012VN,52.50568119565217,6.100250178260869,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
119,2024-10-21,8014PR,52.4761675875,6.111794779166666,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
120,2024-10-23,8014BA,52.487514330434784,6.108345130434783,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
121,2024-10-23,8014EM,52.49128467,6.115077879999999,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
122,2024-10-24,8033DJ,52.53947416470589,6.106921135294118,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
123,2024-10-25,8031JH,52.528804330769226,6.077953030769231,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
124,2024-10-28,8032CW,52.52809423793104,6.110618089655172,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
125,2024-10-28,8014DA,52.49022074347826,6.1116960043478255,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
126,2024-10-30,8042EZ,52.52033230714286,6.051789664285714,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
127,2024-10-30,8033DA,52.538750525,6.10950695625,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
128,2024-04-11,8043XW,52.52686062857143,6.056770857142857,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
129,2024-04-11,8012DW,52.50442939047619,6.104588761904762,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
130,2024-05-11,8014CG,52.49184585714286,6.111033621428572,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
131,2024-06-11,8032TB,52.539291128,6.0989880240000005,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
132,2024-06-11,8033DJ,52.53947416470589,6.106921135294118,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
133,2024-08-11,8033BE,52.5323386,6.113068941666667,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
134,2024-09-11,8019AT,52.50762917272728,6.077096772727272,71.0,150.0,141.0,Veerallee,Veerallee,598495.377041683,3378.86492425106,Veerallee
135,2024-12-11,8032XD,52.533808231818185,6.09192565909091,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
136,2024-11-13,8013AE,52.501388045,6.110411325,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
137,2024-11-14,8043XL,52.52336467191012,6.060425920224719,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
138,2024-11-18,8015AL,52.47297808181818,6.118377190909091,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
139,2024-11-18,8031JR,52.52745704,6.08025815,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
140,2024-11-19,8032XM,52.534221495,6.093612525,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
141,2024-11-20,8012WV,52.505787062857145,6.103842491428571,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
142,2024-11-21,8032KM,52.53403466666667,6.105521095238095,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
143,2024-11-21,8032ZL,52.53504337,6.098794865,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
144,2024-11-22,8032XK,52.533500975,6.09413861,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
145,2024-11-22,8032LA,52.5346101375,6.09182674375,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
146,2024-11-22,8012XA,52.505306960000006,6.105441406666667,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
147,2024-11-25,8043AT,52.532982960000005,6.068448693333333,68.0,147.0,222.0,Schoonhorst,Schoonhorst,720372.310721911,3657.84389300165,Schoonhorst
148,2024-11-26,8023CP,52.51333841578947,6.117127289473684,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
149,2024-11-26,8031WL,52.528941632,6.088104072,5.0,84.0,303.0,Holtenbroek III,Holtenbroek III,470746.311350332,2944.4646626072,Holtenbroek III
150,2024-11-27,8033GB,52.53102126315789,6.110318315789474,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
151,2024-11-29,8023DA,52.51318315882353,6.113769511764706,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
152,2024-11-29,8032HX,52.53095492891566,6.101299112048193,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
153,2024-03-12,8032CW,52.52809423793104,6.110618089655172,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
154,2024-05-12,8042ME,52.51674412727272,6.049332845454545,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
155,2024-06-12,8032XD,52.533808231818185,6.09192565909091,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
156,2024-09-12,8042GZ,52.52202431052632,6.045693721052632,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
157,2024-12-12,8017JB,52.5015206,6.0935362,6.0,85.0,136.0,Hanzeland,Hanzeland,709901.277793967,4977.733776532761,Hanzeland
158,2024-12-13,8012EH,52.50706288,6.102729916666666,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
159,2024-12-16,8032XX,52.535688132,6.103935724,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
160,2024-12-17,8032AJ,52.52512497,6.1026016,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
161,2024-12-19,8032ET,52.53199085652174,6.096437147826086,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
162,2024-12-19,8032EK,52.529911473913046,6.095213865217391,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
163,2024-12-22,8043NX,52.54069825373135,6.059530519402985,76.0,155.0,224.0,Milligen,Milligen,1617664.30720597,7156.91013286262,Milligen
164,2024-12-23,8031KW,52.52770216,6.086879244,5.0,84.0,303.0,Holtenbroek III,Holtenbroek III,470746.311350332,2944.4646626072,Holtenbroek III
165,2024-12-28,8033AA,52.53173365416667,6.10988635,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
166,2024-12-30,8032AL,52.525869905,6.10197225,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
167,2024-12-30,8033BK,52.53345965454545,6.112478136363637,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
