postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8015CB,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Glasisolatie,Triple glas U <= 0,52.47630796666667,6.1189324944444445,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CB,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Glasisolatie,HR++ glas U <= 1,52.47630796666667,6.1189324944444445,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2021.0,Dakisolatie,Dakisolatie,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2021.0,Glasisolatie,HR++ glas U <= 1,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Vloerisolatie,Vloerisolatie,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Glasisolatie,HR++ glas U <= 1,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 3,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Dakisolatie,Dakisolatie,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CC,Wijk 51 Ittersum,Ittersumerbroek,2025.0,Glasisolatie,HR++ glas U <= 1,52.475173129411765,6.120880770588236,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CD,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Glasisolatie,HR++ glas U <= 1,52.47366373846154,6.121787530769231,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CE,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Glasisolatie,HR++ glas U <= 1,52.47690738888889,6.117316755555556,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CE,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Vloerisolatie,Vloerisolatie,52.47690738888889,6.117316755555556,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CE,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Warmtepomp,Lucht-water >= 3,52.47690738888889,6.117316755555556,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CE,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Glasisolatie,HR++ glas U <= 1,52.47690738888889,6.117316755555556,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CE,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.47690738888889,6.117316755555556,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Glasisolatie,HR++ glas U <= 1,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Glasisolatie,Isolerende deur Ud <= 1,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Vloerisolatie,Vloerisolatie,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water < 1 kW,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 3,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
